Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.77, 4901, $3.4, $3.77, $3.4
07/30/2020, $3.4, 37992, $3.48, $3.5, $3.26
07/29/2020, $3.345, 25595, $3.385, $3.45, $3.32
07/28/2020, $3.35, 5455, $3.4, $3.42, $3.32
07/27/2020, $3.49, 9863, $3.8, $3.8816, $3.34
07/24/2020, $3.39, 7606, $3.3001, $4.09, $3.3001
07/23/2020, $3.46, 8071, $3.03, $3.59, $3.03
07/22/2020, $3.62, 7877, $3.67, $3.7, $3.5
07/21/2020, $3.5, 32618, $3.03, $3.6, $3.03
07/20/2020, $3.5, 16653, $3.3, $3.7999, $3.3
07/17/2020, $3.55, 28745, $3.75, $3.96, $3.3
07/16/2020, $3.75, 18060, $3.59, $3.75, $3.5601
07/15/2020, $3.74, 24623, $3.8, $3.8, $3.28
07/14/2020, $3.23, 38293, $3.06, $3.74, $2.89
07/13/2020, $3.5, 46906, $4.17, $4.17, $3.5
07/10/2020, $3.975, 38692, $3.95, $4.16, $3.6
07/09/2020, $3.95, 13515, $4.5, $4.5, $3.56
07/08/2020, $4.5001, 5607, $4.5, $4.65, $4.46
07/07/2020, $4.79, 28453, $4.58, $5, $4.01
07/06/2020, $5.5, 8980, $7.78, $8.49, $5.5
07/02/2020, $5.5, 1970, $5.5, $5.5, $5.4758
06/30/2020, $5.4, 69983, $6.7199, $6.7199, $5.348
06/29/2020, $5.89, 100409, $6.3, $6.8, $5.5
06/26/2020, $6, 87596, $5.695, $6, $5.04
06/25/2020, $5.38, 24821, $4.7683, $5.51, $4.7683
06/24/2020, $4.875, 39432, $5.5, $5.5002, $4.5
06/23/2020, $5.48, 32793, $5.64, $5.98, $5.19
06/22/2020, $5.47, 67323, $5.02, $5.86, $5.02
06/19/2020, $4.9, 76378, $4.69, $5.5799, $4.1
06/18/2020, $4.8, 27305, $5.6532, $5.6532, $4.8
06/17/2020, $4.83, 148130, $4.332, $6.2, $4.26
06/16/2020, $4.28, 69893, $4.9999, $4.9999, $3.95
06/15/2020, $3.675, 69511, $3.98, $4, $3.0001
06/12/2020, $4.14, 13428, $4.19, $4.475, $3.8
06/11/2020, $4.16, 28904, $5.56, $5.56, $3.85
06/10/2020, $5.56, 173463, $4.85, $5.6609, $4.545
06/09/2020, $4.98, 199129, $4.736, $5.1, $4.61
06/08/2020, $4.6439, 28908, $5, $5.075, $4.6439
06/05/2020, $4.91, 266051, $4.27, $4.97, $4.27
06/04/2020, $4.25, 31466, $4.85, $4.9, $4
06/03/2020, $4.56, 82413, $4.39, $4.95, $4.39
06/02/2020, $4.4, 329682, $5.2, $5.24, $4.25
06/01/2020, $4.5, 107824, $4.79, $5.24, $3.8
05/29/2020, $4.5, 426681, $2.75, $4.6, $2.55
05/28/2020, $2.7416, 13626, $2.85, $2.85, $2.55
05/27/2020, $2.4481, 15834, $2.46, $2.92, $2.397
05/26/2020, $2.36, 15971, $2.38, $2.75, $2.3
05/22/2020, $2.48, 45295, $2.9, $2.9, $2.405
05/21/2020, $2.85, 9602, $2.6823, $2.9, $2.6823
05/20/2020, $2.75, 172426, $2.95, $2.95, $2.75
05/19/2020, $2.8, 2205, $2.7, $2.8, $2.6
05/18/2020, $2.65, 938, $2.75, $2.75, $2.65
05/15/2020, $2.5999, 25585, $2.4432, $4.3, $2.4
05/14/2020, $2.6, 8450, $2.05, $2.64, $1.9
05/13/2020, $2.13, 10038, $2, $2.53, $1.87
05/12/2020, $2.13, 10700, $2, $2.64, $2
05/11/2020, $2.05, 16900, $2, $2.1, $2
