Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.46, 6753415, $1.47, $1.54, $1.37
07/30/2020, $1.47, 3149503, $1.47, $1.5, $1.41
07/29/2020, $1.49, 5524217, $1.5, $1.56, $1.43
07/28/2020, $1.53, 7369575, $1.5, $1.58, $1.42
07/27/2020, $1.45, 4268276, $1.43, $1.5, $1.37
07/24/2020, $1.46, 20715410, $1.32, $1.63, $1.25
07/23/2020, $1.34, 3248040, $1.4, $1.45, $1.34
07/22/2020, $1.4, 6301090, $1.56, $1.57, $1.3
07/21/2020, $1.5, 14510310, $1.47, $1.58, $1.4
07/20/2020, $1.37, 9541669, $1.25, $1.44, $1.23
07/17/2020, $1.23, 2572092, $1.18, $1.25, $1.18
07/16/2020, $1.2, 1655802, $1.2, $1.2, $1.16
07/15/2020, $1.2, 2599896, $1.18, $1.22, $1.16
07/14/2020, $1.18, 2847349, $1.19, $1.19, $1.11
07/13/2020, $1.21, 3570821, $1.32, $1.32, $1.19
07/10/2020, $1.27, 4215168, $1.22, $1.32, $1.19
07/09/2020, $1.22, 3014971, $1.3, $1.3, $1.18
07/08/2020, $1.28, 9198467, $1.23, $1.36, $1.2
07/07/2020, $1.15, 4439684, $1.21, $1.22, $1.15
07/06/2020, $1.23, 6456688, $1.28, $1.29, $1.18
07/02/2020, $1.26, 5505826, $1.36, $1.38, $1.24
07/01/2020, $1.37, 2863971, $1.38, $1.43, $1.32
06/30/2020, $1.37, 4761364, $1.48, $1.49, $1.33
06/29/2020, $1.49, 3716764, $1.55, $1.56, $1.41
06/26/2020, $1.53, 3984705, $1.66, $1.66, $1.52
06/25/2020, $1.66, 4418693, $1.65, $1.69, $1.57
06/24/2020, $1.58, 5180511, $1.67, $1.67, $1.5
06/23/2020, $1.67, 14268880, $1.71, $1.85, $1.6
06/22/2020, $1.56, 8082090, $1.59, $1.7, $1.5
06/19/2020, $1.65, 6492786, $1.74, $1.775, $1.65
06/18/2020, $1.67, 4588643, $1.66, $1.75, $1.62
06/17/2020, $1.7, 3319385, $1.73, $1.74, $1.63
06/16/2020, $1.75, 7151039, $1.69, $1.8, $1.61
06/15/2020, $1.67, 5221714, $1.62, $1.7, $1.48
06/12/2020, $1.59, 6538924, $1.7, $1.7, $1.46
06/11/2020, $1.57, 9183530, $1.7, $1.78, $1.55
06/10/2020, $1.9, 10479690, $2, $2.03, $1.76
06/09/2020, $2, 17789890, $1.9, $2.16, $1.72
06/08/2020, $1.84, 22958070, $2.037, $2.05, $1.71
06/05/2020, $1.82, 15902510, $1.59, $1.82, $1.56
06/04/2020, $1.57, 6771283, $1.65, $1.7, $1.55
06/03/2020, $1.62, 14621800, $1.63, $1.71, $1.43
06/02/2020, $1.58, 48666790, $1.82, $1.96, $1.54
06/01/2020, $1.42, 17766450, $1.3, $1.43, $1.28
05/29/2020, $1.31, 4561700, $1.39, $1.39, $1.27
05/28/2020, $1.37, 7903073, $1.4, $1.55, $1.34
05/27/2020, $1.4, 9769420, $1.33, $1.405, $1.23
05/26/2020, $1.31, 5399605, $1.36, $1.36, $1.23
05/22/2020, $1.32, 3302317, $1.26, $1.34, $1.25
05/21/2020, $1.3, 7398248, $1.43, $1.43, $1.26
05/20/2020, $1.44, 19017600, $1.44, $1.58, $1.31
05/19/2020, $1.29, 22406570, $1.29, $1.42, $1.23
05/18/2020, $1.19, 14601370, $1.17, $1.32, $1.17
05/15/2020, $1.17, 4602499, $1.23, $1.24, $1.15
05/14/2020, $1.2, 17628490, $1.13, $1.38, $1.1
05/13/2020, $1.14, 4915301, $1.26, $1.26, $1.08
05/12/2020, $1.24, 26776750, $1.29, $1.44, $1.13
05/11/2020, $1.12, 6197057, $1.11, $1.19, $1.06
