Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.3, 58205, $3.35, $3.43, $3.26
07/30/2020, $3.38, 35642, $3.32, $3.45, $3.31
07/29/2020, $3.38, 64763, $3.41, $3.41, $3.22
07/28/2020, $3.43, 48075, $3.41, $3.44, $3.305
07/27/2020, $3.37, 118391, $3.59, $3.6, $3.2
07/24/2020, $3.57, 172588, $3.45, $3.63, $3.39
07/23/2020, $3.42, 107580, $3.46, $3.54, $3.39
07/22/2020, $3.47, 109155, $3.48, $3.75, $3.36
07/21/2020, $3.49, 133774, $3.35, $3.55, $3.35
07/20/2020, $3.32, 177259, $3.64, $3.7, $3.3134
07/17/2020, $3.64, 108656, $3.4, $3.64, $3.28
07/16/2020, $3.44, 195259, $3.5, $3.5, $3.31
07/15/2020, $3.39, 128907, $3.36, $3.5, $3.31
07/14/2020, $3.33, 230233, $3.65, $3.65, $3.1101
07/13/2020, $3.63, 908141, $3.78, $4.15, $3.51
07/10/2020, $3.28, 891526, $2.45, $3.42, $2.45
07/09/2020, $2.43, 92471, $2.53, $2.56, $2.385
07/08/2020, $2.52, 179621, $2.67, $2.69, $2.51
07/07/2020, $2.66, 50407, $2.76, $2.765, $2.64
07/06/2020, $2.76, 26500, $2.79, $2.84, $2.725
07/02/2020, $2.78, 104725, $2.9, $2.93, $2.72
07/01/2020, $2.85, 140164, $2.9, $3.0114, $2.81
06/30/2020, $2.9, 62912, $2.95, $2.95, $2.86
06/29/2020, $2.98, 107645, $3.1, $3.11, $2.93
06/26/2020, $3.1, 947944, $2.97, $3.17, $2.83
06/25/2020, $3.01, 378930, $2.79, $3.05, $2.68
06/24/2020, $2.56, 223215, $2.86, $2.86, $2.55
06/23/2020, $2.9, 174378, $3.06, $3.06, $2.8
06/22/2020, $3.03, 153489, $3.11, $3.1133, $2.95
06/19/2020, $3.11, 178470, $3.14, $3.3, $3.01
06/18/2020, $3.07, 147946, $3.42, $3.42, $3.045
06/17/2020, $3.38, 259393, $3.12, $3.5, $2.98
06/16/2020, $3.04, 308827, $3.18, $3.69, $3
06/15/2020, $2.89, 114953, $2.85, $3, $2.62
06/12/2020, $2.92, 114132, $2.98, $3.138, $2.835
06/11/2020, $2.75, 249316, $3.06, $3.1, $2.6301
06/10/2020, $3.39, 112656, $3.4, $3.485, $3.2041
06/09/2020, $3.43, 206429, $3.63, $3.68, $3.1
06/08/2020, $3.66, 261142, $3.99, $4, $3.55
06/05/2020, $3.87, 273211, $3.57, $4, $3.57
06/04/2020, $3.63, 346632, $3.76, $3.79, $3.45
06/03/2020, $3.84, 289459, $3.8, $4.05, $3.72
06/02/2020, $3.79, 575605, $3.86, $4.04, $3.635
06/01/2020, $3.49, 1442759, $2.8, $3.97, $2.78
05/29/2020, $2.69, 230437, $3.05, $3.07, $2.5499
05/28/2020, $3.05, 201542, $3.06, $3.25, $2.79
05/27/2020, $3.06, 301312, $2.6135, $3.25, $2.6135
05/26/2020, $2.68, 194777, $2.55, $2.7799, $2.5001
05/22/2020, $2.45, 171374, $2.36, $2.56, $2.26
05/21/2020, $2.37, 102272, $2.38, $2.41, $2.26
05/20/2020, $2.38, 190216, $2.29, $2.47, $2.275
05/19/2020, $2.27, 167391, $2.45, $2.45, $2.24
05/18/2020, $2.5, 815255, $2.26, $2.55, $2.21
05/15/2020, $2.11, 248329, $1.97, $2.13, $1.9
05/14/2020, $1.97, 162281, $1.95, $1.99, $1.87
05/13/2020, $1.98, 337108, $2.2, $2.2, $1.92
05/12/2020, $2.19, 240404, $2.23, $2.285, $2.17
05/11/2020, $2.24, 182143, $2.1, $2.3, $1.98
