Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.75, 333723, $2.72, $2.76, $2.72
07/30/2020, $2.74, 438813, $2.72, $2.76, $2.7
07/29/2020, $2.74, 475342, $2.75, $2.76, $2.67
07/28/2020, $2.75, 380305, $2.74, $2.755, $2.71
07/27/2020, $2.75, 718592, $2.73, $2.785, $2.72
07/24/2020, $2.73, 496704, $2.78, $2.79, $2.7199
07/23/2020, $2.78, 1068035, $2.81, $2.82, $2.74
07/22/2020, $2.8, 1410111, $2.85, $2.85, $2.8
07/21/2020, $2.85, 1427363, $2.86, $2.87, $2.81
07/20/2020, $2.85, 2140464, $2.82, $2.9, $2.82
07/17/2020, $2.83, 3818667, $2.8, $2.9, $2.77
07/16/2020, $2.85, 17954590, $2.93, $2.94, $2.69
07/15/2020, $1.32, 440239, $1.29, $1.34, $1.245
07/14/2020, $1.25, 226063, $1.26, $1.28, $1.19
07/13/2020, $1.26, 418248, $1.22, $1.3, $1.22
07/10/2020, $1.21, 225056, $1.24, $1.25, $1.19
07/09/2020, $1.23, 287266, $1.23, $1.245, $1.16
07/08/2020, $1.18, 401503, $1.2, $1.24, $1.15
07/07/2020, $1.2, 218319, $1.25, $1.25, $1.2
07/06/2020, $1.25, 256204, $1.28, $1.31, $1.23
07/02/2020, $1.25, 600195, $1.3, $1.35, $1.22
07/01/2020, $1.28, 490853, $1.33, $1.38, $1.28
06/30/2020, $1.32, 486724, $1.28, $1.33, $1.24
06/29/2020, $1.28, 585555, $1.26, $1.37, $1.2501
06/26/2020, $1.26, 5072290, $1.25, $1.305, $1.2
06/25/2020, $1.29, 860409, $1.32, $1.34, $1.25
06/24/2020, $1.35, 1097230, $1.39, $1.4, $1.26
06/23/2020, $1.4, 1122210, $1.4, $1.5, $1.31
06/22/2020, $1.375, 839489, $1.47, $1.5, $1.35
06/19/2020, $1.5, 860000, $1.61, $1.66, $1.45
06/18/2020, $1.6, 1147785, $1.63, $1.67, $1.46
06/17/2020, $1.71, 4606861, $2.43, $2.45, $1.6953
06/16/2020, $1.61, 2269750, $1.64, $1.66, $1.48
06/15/2020, $1.52, 493219, $1.4, $1.6, $1.305
06/12/2020, $1.46, 542063, $1.37, $1.46, $1.27
06/11/2020, $1.24, 974245, $1.33, $1.47, $1.18
06/10/2020, $1.45, 700218, $1.73, $1.73, $1.37
06/09/2020, $1.72, 543381, $1.81, $1.8999, $1.57
06/08/2020, $1.81, 753024, $1.8, $1.89, $1.66
06/05/2020, $1.62, 1095361, $1.47, $1.85, $1.4467
06/04/2020, $1.37, 901073, $1.2, $1.43, $1.1882
06/03/2020, $1.23, 495309, $1.16, $1.26, $1.1401
06/02/2020, $1.13, 260700, $1.16, $1.19, $1.12
06/01/2020, $1.16, 342466, $1.2, $1.25, $1.15
05/29/2020, $1.19, 373154, $1.29, $1.29, $1.16
05/28/2020, $1.3, 541077, $1.35, $1.42, $1.24
05/27/2020, $1.26, 376235, $1.1, $1.28, $1.07
05/26/2020, $1.09, 481359, $1.21, $1.21, $1.07
05/22/2020, $1.13, 202343, $1.12, $1.18, $1.11
05/21/2020, $1.12, 275759, $1.15, $1.27, $1.12
05/20/2020, $1.15, 473955, $1.11, $1.17, $1.1
05/19/2020, $1.1, 322277, $1.22, $1.24, $1.09
05/18/2020, $1.2, 253247, $1.21, $1.3201, $1.18
05/15/2020, $1.18, 219539, $1.18, $1.29, $1.15
05/14/2020, $1.15, 145552, $1.17, $1.22, $1.12
05/13/2020, $1.19, 288157, $1.26, $1.26, $1.06
05/12/2020, $1.26, 181516, $1.46, $1.47, $1.25
05/11/2020, $1.44, 194496, $1.45, $1.47, $1.31
