Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.04, 410524, $1.15, $1.17, $1.01
07/30/2020, $1.15, 528995, $1.18, $1.23, $1.12
07/29/2020, $1.31, 786657, $1.34, $1.36, $1.23
07/28/2020, $1.37, 1225443, $1.38, $1.45, $1.2815
07/27/2020, $1.33, 1361954, $1.85, $1.85, $1.18
07/24/2020, $1.93, 136536, $1.85, $2.09, $1.8103
07/23/2020, $1.81, 25730, $1.891, $1.905, $1.8
07/22/2020, $1.81, 86418, $1.87, $2.07, $1.8
07/21/2020, $1.88, 27158, $1.91, $2.03, $1.88
07/20/2020, $1.92, 73461, $1.88, $2.12, $1.8501
07/17/2020, $1.88, 36523, $2.15, $2.15, $1.88
07/16/2020, $1.96, 217895, $1.9, $2.14, $1.79
07/15/2020, $1.95, 68816, $1.87, $2.09, $1.87
07/14/2020, $1.86, 60674, $2.03, $2.06, $1.78
07/13/2020, $1.94, 270698, $2.18, $2.4, $1.93
07/10/2020, $2.21, 168530, $1.98, $2.27, $1.98
07/09/2020, $2.02, 90172, $2.08, $2.1968, $1.98
07/08/2020, $2.06, 230758, $2.29, $2.33, $2.05
07/07/2020, $2.3417, 90483, $2.32, $2.5899, $2.32
07/06/2020, $2.33, 304841, $2.87, $2.88, $2.33
07/02/2020, $2.88, 418522, $3.06, $3.1799, $2.8
07/01/2020, $2.97, 242142, $2.81, $3.2, $2.65
06/30/2020, $2.86, 761514, $3.5, $3.6, $2.82
06/29/2020, $3.36, 2291586, $2.8, $3.98, $2.72
06/26/2020, $3.2, 2447608, $2.68, $3.54, $2.33
06/25/2020, $3.69, 3666846, $1.42, $3.69, $1.4
06/24/2020, $1.52, 8914562, $2.33, $2.68, $1.3728
06/23/2020, $0.91, N/A, $0.91, $0.91, $0.91
06/22/2020, $0.91, N/A, $0.91, $0.91, $0.91
06/19/2020, $0.91, N/A, $0.91, $0.91, $0.91
06/18/2020, $0.91, N/A, $0.91, $0.91, $0.91
06/17/2020, $0.91, N/A, $0.91, $0.91, $0.91
06/16/2020, $0.91, N/A, $0.91, $0.91, $0.91
06/15/2020, $0.91, N/A, $0.91, $0.91, $0.91
06/12/2020, $0.91, N/A, $0.91, $0.91, $0.91
06/11/2020, $0.91, N/A, $0.91, $0.91, $0.91
06/10/2020, $0.91, N/A, $0.91, $0.91, $0.91
06/09/2020, $0.91, N/A, $0.91, $0.91, $0.91
06/08/2020, $0.91, N/A, $0.91, $0.91, $0.91
06/05/2020, $0.91, N/A, $0.91, $0.91, $0.91
06/04/2020, $0.91, N/A, $0.91, $0.91, $0.91
06/03/2020, $0.91, N/A, $0.91, $0.91, $0.91
06/02/2020, $0.91, N/A, $0.91, $0.91, $0.91
06/01/2020, $0.91, N/A, $0.91, $0.91, $0.91
05/29/2020, $0.91, N/A, $0.91, $0.91, $0.91
05/28/2020, $0.91, N/A, $0.91, $0.91, $0.91
05/27/2020, $0.91, N/A, $0.91, $0.91, $0.91
05/26/2020, $0.91, N/A, $0.91, $0.91, $0.91
05/22/2020, $0.91, N/A, $0.91, $0.91, $0.91
05/21/2020, $0.91, N/A, $0.91, $0.91, $0.91
05/20/2020, $0.91, N/A, $0.91, $0.91, $0.91
05/19/2020, $0.91, N/A, $0.91, $0.91, $0.91
05/18/2020, $0.91, N/A, $0.91, $0.91, $0.91
05/15/2020, $0.91, N/A, $0.91, $0.91, $0.91
05/14/2020, $0.91, N/A, $0.91, $0.91, $0.91
05/13/2020, $0.91, N/A, $0.91, $0.91, $0.91
05/12/2020, $0.91, N/A, $0.91, $0.91, $0.91
05/11/2020, $0.91, N/A, $0.91, $0.91, $0.91
