Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.6538, 2865686, $0.66, $0.6798, $0.6429
07/30/2020, $0.67, 4771455, $0.66, $0.7021, $0.6206
07/29/2020, $0.6776, 3712456, $0.68, $0.69, $0.6501
07/28/2020, $0.6854, 3193091, $0.701, $0.7042, $0.6627
07/27/2020, $0.6988, 8611515, $0.71, $0.765, $0.675
07/24/2020, $0.698, 5409383, $0.6699, $0.7075, $0.64
07/23/2020, $0.6735, 11578600, $0.71, $0.729, $0.6351
07/22/2020, $0.7385, 11611250, $0.7, $0.77, $0.69
07/21/2020, $0.7166, 4215810, $0.76, $0.76, $0.68
07/20/2020, $0.76, 7819259, $0.7289, $0.7799, $0.6893
07/17/2020, $0.6887, 2896925, $0.7005, $0.7049, $0.67
07/16/2020, $0.6961, 5055778, $0.6522, $0.7099, $0.6311
07/15/2020, $0.6611, 4792110, $0.5808, $0.669, $0.58
07/14/2020, $0.6266, 4555110, $0.635, $0.65, $0.5601
07/13/2020, $0.6565, 6917804, $0.7201, $0.75, $0.6428
07/10/2020, $0.695, 23747410, $0.64, $0.82, $0.6
07/09/2020, $0.6519, 15211580, $0.5729, $0.6677, $0.542
07/08/2020, $0.5607, 4266229, $0.547, $0.59, $0.5414
07/07/2020, $0.54, 6815509, $0.49, $0.5742, $0.48
07/06/2020, $0.49, 1423936, $0.484, $0.4938, $0.471
07/02/2020, $0.475, 1578593, $0.4974, $0.4974, $0.465
07/01/2020, $0.4807, 1071447, $0.4842, $0.5, $0.4705
06/30/2020, $0.4849, 1306733, $0.4881, $0.495, $0.4732
06/29/2020, $0.494, 1528146, $0.5, $0.5099, $0.46
06/26/2020, $0.5, 1401337, $0.5231, $0.53, $0.4926
06/25/2020, $0.523, 2699263, $0.52, $0.5399, $0.4924
06/24/2020, $0.5211, 2072764, $0.5307, $0.5499, $0.5064
06/23/2020, $0.5381, 2675634, $0.551, $0.578, $0.5231
06/22/2020, $0.5634, 2371773, $0.58, $0.58, $0.55
06/19/2020, $0.545, 5013770, $0.55, $0.5972, $0.535
06/18/2020, $0.549, 7722021, $0.5055, $0.584, $0.495
06/17/2020, $0.5134, 1330808, $0.525, $0.53, $0.49
06/16/2020, $0.524, 1759162, $0.545, $0.5593, $0.5109
06/15/2020, $0.545, 5714334, $0.5, $0.559, $0.4762
06/12/2020, $0.5, 2954893, $0.5, $0.5399, $0.464
06/11/2020, $0.4883, 2446735, $0.483, $0.5, $0.462
06/10/2020, $0.5391, 6007976, $0.565, $0.5994, $0.5125
06/09/2020, $0.57, 12413820, $0.51, $0.586, $0.477
06/08/2020, $0.4899, 4442731, $0.47, $0.5, $0.455
06/05/2020, $0.468, 7998670, $0.446, $0.494, $0.43
06/04/2020, $0.4426, 3486905, $0.45, $0.4524, $0.435
06/03/2020, $0.4524, 3663845, $0.463, $0.47, $0.443
06/02/2020, $0.4424, 4780801, $0.44, $0.46, $0.431
06/01/2020, $0.44, 4222108, $0.4354, $0.45, $0.42
05/29/2020, $0.4831, 36197470, $0.53, $0.6, $0.451
05/28/2020, $0.4227, 7155211, $0.441, $0.441, $0.411
05/27/2020, $0.4115, 3072286, $0.4277, $0.43, $0.401
05/26/2020, $0.435, 5214870, $0.445, $0.4488, $0.421
05/22/2020, $0.439, 12473730, $0.432, $0.469, $0.43
05/21/2020, $0.64, 6207572, $0.517, $0.68, $0.49
05/20/2020, $0.505, 262937, $0.509, $0.5188, $0.4901
05/19/2020, $0.515, 339074, $0.509, $0.53, $0.5001
05/18/2020, $0.4999, 279460, $0.4916, $0.519, $0.485
05/15/2020, $0.4924, 394476, $0.5019, $0.51, $0.4705
05/14/2020, $0.507, 334017, $0.53, $0.535, $0.5
05/13/2020, $0.5407, 740950, $0.57, $0.57, $0.49
05/12/2020, $0.5732, 1346127, $0.58, $0.6247, $0.53
05/11/2020, $0.54, 385730, $0.56, $0.5672, $0.53
