Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.53, 13464, $0.41, $0.6061, $0.41
07/30/2020, $0.485, 33470, $0.5265, $0.5265, $0.4
07/29/2020, $0.351, 1303, $0.351, $0.351, $0.351
07/28/2020, $0.4101, 2406, $0.4, $0.4101, $0.4
07/27/2020, $0.4, N/A, $0.4, $0.4, $0.4
07/24/2020, $0.4, N/A, $0.4, $0.4, $0.4
07/23/2020, $0.4, 5000, $0.4, $0.4, $0.4
07/22/2020, $0.4, 5750, $0.4, $0.4, $0.4
07/21/2020, $0.35, 2700, $0.35, $0.35, $0.35
07/20/2020, $0.351, 100, $0.351, $0.351, $0.351
07/17/2020, $0.35, N/A, $0.35, $0.35, $0.35
07/16/2020, $0.35, 150, $0.35, $0.35, $0.35
07/15/2020, $0.35, N/A, $0.35, $0.35, $0.35
07/14/2020, $0.35, 14506, $0.39, $0.4, $0.35
07/13/2020, $0.365, 2245, $0.36, $0.365, $0.36
07/10/2020, $0.38, 3427, $0.37, $0.38, $0.35
07/09/2020, $0.37, 942, $0.37, $0.39, $0.37
07/08/2020, $0.37, 12279, $0.35, $0.37, $0.35
07/07/2020, $0.35, 2309, $0.3475, $0.35, $0.3475
07/06/2020, $0.321, 2707, $0.3, $0.321, $0.3
07/02/2020, $0.3303, 596, $0.35, $0.35, $0.3303
07/01/2020, $0.35, 1572, $0.35, $0.365, $0.35
06/30/2020, $0.3275, 13275, $0.35, $0.3753, $0.3133
06/29/2020, $0.31, 6410, $0.296, $0.35, $0.296
06/26/2020, $0.296, 1102, $0.296, $0.296, $0.296
06/25/2020, $0.295, N/A, $0.295, $0.295, $0.295
06/24/2020, $0.295, 38657, $0.384, $0.4083, $0.295
06/23/2020, $0.32, 2036, $0.295, $0.3399, $0.295
06/22/2020, $0.31, 12825, $0.31, $0.31, $0.3
06/19/2020, $0.28, 29603, $0.3, $0.3, $0.28
06/18/2020, $0.29, 110021, $0.3, $0.3, $0.29
06/17/2020, $0.3, 42526, $0.32, $0.32, $0.294
06/16/2020, $0.3, 256204, $0.32, $0.3599, $0.2933
06/15/2020, $0.46, 2592, $0.44, $0.46, $0.333
06/12/2020, $0.425, 33400, $0.55, $0.55, $0.425
06/11/2020, $0.45, 37037, $0.361, $0.58, $0.3601
06/10/2020, $0.46, 64247, $0.33, $0.55, $0.33
06/09/2020, $0.4, 22423, $0.3745, $0.4001, $0.35
06/08/2020, $0.35, 8422, $0.31, $0.35, $0.2799
06/05/2020, $0.31, N/A, $0.31, $0.31, $0.31
06/04/2020, $0.31, 21731, $0.3201, $0.3201, $0.31
06/03/2020, $0.35, N/A, $0.35, $0.35, $0.35
06/02/2020, $0.35, 19002, $0.35, $0.35, $0.35
06/01/2020, $0.3101, 20000, $0.3101, $0.3101, $0.31
05/29/2020, $0.29, N/A, $0.29, $0.29, $0.29
05/28/2020, $0.29, N/A, $0.29, $0.29, $0.29
05/27/2020, $0.29, 12349, $0.26, $0.3, $0.26
05/26/2020, $0.26, 43100, $0.3, $0.3, $0.26
05/22/2020, $0.3, 153499, $0.2521, $0.3, $0.2521
05/21/2020, $0.3275, 153470, $0.3, $0.35, $0.3
05/20/2020, $0.3, N/A, $0.3, $0.3, $0.3
05/19/2020, $0.3, 228, $0.3, $0.3, $0.3
05/18/2020, $0.3, N/A, $0.3, $0.3, $0.3
05/15/2020, $0.3, 700, $0.3, $0.3, $0.3
05/14/2020, $0.3, 200, $0.3, $0.3, $0.3
05/13/2020, $0.3, 5576, $0.2999, $0.3, $0.2994
05/12/2020, $0.3, N/A, $0.3, $0.3, $0.3
05/11/2020, $0.3, 18404, $0.3, $0.3, $0.2923
