Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.81, 13473, $2.87, $2.9291, $2.81
07/30/2020, $2.9, 16958, $2.98, $2.9839, $2.9
07/29/2020, $2.97, 14868, $2.98, $3.01, $2.89
07/28/2020, $2.9409, 24884, $2.91, $2.9699, $2.88
07/27/2020, $2.9, 32731, $3.06, $3.06, $2.8789
07/24/2020, $3, 29178, $2.96, $3.06, $2.8901
07/23/2020, $2.92, 23421, $2.93, $2.97, $2.85
07/22/2020, $2.93, 18116, $2.9, $2.93, $2.8226
07/21/2020, $2.87, 14104, $2.91, $2.94, $2.81
07/20/2020, $2.9, 26415, $2.8, $2.9, $2.7699
07/17/2020, $2.81, 42307, $2.94, $3.0199, $2.77
07/16/2020, $2.95, 23700, $2.98, $2.99, $2.88
07/15/2020, $2.945, 12407, $2.96, $2.9997, $2.9101
07/14/2020, $2.95, 34761, $2.919, $3, $2.9
07/13/2020, $2.97, 24532, $3.08, $3.08, $2.9
07/10/2020, $3, 36179, $2.99, $3.02, $2.86
07/09/2020, $3.03, 20909, $3.05, $3.05, $2.9501
07/08/2020, $3.08, 18618, $3.0886, $3.14, $3.05
07/07/2020, $3.0502, 15410, $3.07, $3.09, $3.0195
07/06/2020, $3.05, 32764, $3.11, $3.29, $2.99
07/02/2020, $3.04, 13237, $3.05, $3.0802, $2.97
07/01/2020, $2.96, 13880, $2.99, $3.09, $2.96
06/30/2020, $3, 13625, $2.97, $3.0399, $2.952
06/29/2020, $3.02, 44434, $2.99, $3.09, $2.98
06/26/2020, $2.99, 76861, $3.05, $3.2, $2.9
06/25/2020, $3.02, 123090, $3.08, $3.38, $2.94
06/24/2020, $3.08, 58592, $3.01, $3.13, $2.96
06/23/2020, $3.0678, 69169, $3.05, $3.1944, $3.0234
06/22/2020, $3.11, 52655, $3.36, $3.36, $3.01
06/19/2020, $3.32, 117095, $3.54, $3.69, $3.21
06/18/2020, $3.4482, 243441, $2.95, $3.6817, $2.82
06/17/2020, $2.95, 21705, $2.94, $3, $2.9201
06/16/2020, $3, 30982, $3, $3.246, $2.93
06/15/2020, $3, 111469, $3.2, $3.4516, $3
06/12/2020, $2.9, 25611, $2.85, $2.94, $2.8101
06/11/2020, $2.77, 39772, $3.04, $3.11, $2.7
06/10/2020, $3.06, 29781, $3.13, $3.2, $2.99
06/09/2020, $3.1732, 29227, $3.09, $3.2399, $3.06
06/08/2020, $3.09, 45001, $3, $3.1, $2.91
06/05/2020, $2.91, 47563, $2.84, $2.9509, $2.83
06/04/2020, $2.88, 28498, $2.68, $2.88, $2.68
06/03/2020, $2.7199, 36926, $2.78, $2.78, $2.7199
06/02/2020, $2.81, 22783, $2.85, $2.89, $2.737
06/01/2020, $2.92, 14855, $2.85, $3, $2.83
05/29/2020, $2.81, 71854, $2.9, $2.9, $2.51
05/28/2020, $2.95, 13869, $2.92, $3.0232, $2.92
05/27/2020, $2.95, 11843, $3.04, $3.04, $2.884
05/26/2020, $2.95, 20257, $2.95, $3.0622, $2.9
05/22/2020, $2.84, 20501, $2.8, $2.88, $2.72
05/21/2020, $2.82, 49778, $2.71, $2.83, $2.69
05/20/2020, $2.69, 31849, $2.61, $2.72, $2.61
05/19/2020, $2.59, 9499, $2.63, $2.65, $2.5601
05/18/2020, $2.55, 26681, $2.38, $2.6041, $2.38
05/15/2020, $2.41, 16298, $2.5, $2.5508, $2.3859
05/14/2020, $2.46, 18237, $2.52, $2.5543, $2.41
05/13/2020, $2.57, 20882, $2.64, $2.65, $2.51
05/12/2020, $2.67, 18244, $2.75, $2.8002, $2.67
05/11/2020, $2.73, 15338, $2.71, $2.79, $2.7064
