Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.18, 1936, $0.18, $0.18, $0.18
07/30/2020, $0.1801, 17698, $0.1796, $0.1801, $0.1796
07/29/2020, $0.18, 21643, $0.19, $0.2, $0.1601
07/28/2020, $0.181, 51061, $0.153, $0.2, $0.15
07/27/2020, $0.178, 51837, $0.18, $0.19, $0.1575
07/24/2020, $0.1837, 35524, $0.1997, $0.1997, $0.18
07/23/2020, $0.1799, 279322, $0.151, $0.2269, $0.151
07/22/2020, $0.1599, 80528, $0.1608, $0.19, $0.15
07/21/2020, $0.165, 59872, $0.165, $0.1899, $0.155
07/20/2020, $0.1599, 43234, $0.17, $0.17, $0.1599
07/17/2020, $0.17, 65597, $0.1986, $0.1986, $0.17
07/16/2020, $0.18, 120212, $0.1899, $0.2075, $0.171
07/15/2020, $0.19, 16035, $0.182, $0.19, $0.171
07/14/2020, $0.18, 102604, $0.1802, $0.2114, $0.171
07/13/2020, $0.19, 83147, $0.21, $0.21, $0.176
07/10/2020, $0.19, 85028, $0.181, $0.2, $0.181
07/09/2020, $0.21, 292487, $0.18, $0.2399, $0.1711
07/08/2020, $0.18, 108755, $0.2296, $0.2296, $0.1514
07/07/2020, $0.215, 317822, $0.212, $0.215, $0.1934
07/06/2020, $0.2203, 204560, $0.215, $0.2397, $0.215
07/02/2020, $0.2398, 173881, $0.25, $0.25, $0.2102
07/01/2020, $0.2299, 1577919, $0.23, $0.2399, $0.18
06/30/2020, $0.25, 1372749, $0.32, $0.335, $0.201
06/29/2020, $0.25, 1066585, $0.163, $0.3699, $0.141
06/26/2020, $0.1247, 5919, $0.14, $0.14, $0.1103
06/25/2020, $0.14, 5615, $0.14, $0.14, $0.14
06/24/2020, $0.14, 2953, $0.14, $0.15, $0.14
06/23/2020, $0.15, 55366, $0.15, $0.15, $0.14
06/22/2020, $0.1599, 97371, $0.175, $0.175, $0.14
06/19/2020, $0.165, 47297, $0.1502, $0.1693, $0.14
06/18/2020, $0.1634, 170114, $0.185, $0.185, $0.15
06/17/2020, $0.17, 250748, $0.15, $0.1973, $0.15
06/16/2020, $0.1503, 28837, $0.19, $0.19, $0.14
06/15/2020, $0.17, 988189, $0.13, $0.25, $0.105
06/12/2020, $0.1329, 54491, $0.2, $0.2, $0.1277
06/11/2020, $0.14, 146057, $0.1011, $0.1484, $0.1011
06/10/2020, $0.1483, 199933, $0.29, $0.29, $0.1399
06/09/2020, $0.14, 181890, $0.3, $0.3, $0.13
06/08/2020, $0.1499, 68424, $0.1, $0.15, $0.09
06/05/2020, $0.0989, 21468, $0.07, $0.1, $0.07
06/04/2020, $0.0848, 3848, $0.085, $0.085, $0.0801
06/03/2020, $0.085, 3543, $0.08, $0.085, $0.0781
06/02/2020, $0.0899, 32031, $0.0801, $0.09, $0.0766
06/01/2020, $0.0704, 55021, $0.1025, $0.1025, $0.0676
05/29/2020, $0.0673, 23660, $0.072, $0.09, $0.0661
05/28/2020, $0.09, 12112, $0.0887, $0.09, $0.065
05/27/2020, $0.0894, 71550, $0.0891, $0.0959, $0.0612
05/26/2020, $0.0605, 11059, $0.068, $0.0765, $0.0605
05/22/2020, $0.07, 910, $0.07, $0.07, $0.07
05/21/2020, $0.07, N/A, $0.07, $0.07, $0.07
05/20/2020, $0.07, 23728, $0.0849, $0.0849, $0.0699
05/19/2020, $0.07, 3101, $0.08, $0.08, $0.07
05/18/2020, $0.08, N/A, $0.08, $0.08, $0.08
05/15/2020, $0.08, N/A, $0.08, $0.08, $0.08
05/14/2020, $0.08, 2624, $0.07, $0.0892, $0.07
05/13/2020, $0.07, 9759, $0.08, $0.08, $0.063
05/12/2020, $0.08, 728, $0.06, $0.08, $0.06
05/11/2020, $0.08, 9282, $0.066, $0.0894, $0.066
