Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.43, 16812, $2.425, $2.46, $2.35
07/30/2020, $2.47, 19052, $2.35, $2.48, $2.33
07/29/2020, $2.37, 228658, $2.31, $2.65, $2.31
07/28/2020, $2.34, 22329, $2.37, $2.4, $2.3
07/27/2020, $2.36, 40443, $2.39, $2.42, $2.3
07/24/2020, $2.3, 15226, $2.45, $2.45, $2.3
07/23/2020, $2.34, 24282, $2.44, $2.44, $2.33
07/22/2020, $2.415, 41026, $2.37, $2.45, $2.32
07/21/2020, $2.35, 45504, $2.33, $2.4899, $2.33
07/20/2020, $2.31, 41157, $2.36, $2.42, $2.31
07/17/2020, $2.41, 23899, $2.45, $2.5398, $2.36
07/16/2020, $2.39, 35111, $2.34, $2.47, $2.34
07/15/2020, $2.38, 74689, $2.38, $2.4899, $2.32
07/14/2020, $2.475, 76582, $2.58, $2.65, $2.38
07/13/2020, $2.59, 119811, $2.49, $2.705, $2.31
07/10/2020, $2.43, 171202, $2.37, $2.57, $2.26
07/09/2020, $2.42, 38326, $2.45, $2.52, $2.38
07/08/2020, $2.46, 19635, $2.36, $2.54, $2.34
07/07/2020, $2.4, 130516, $2.3, $2.6, $2.27
07/06/2020, $2.31, 52589, $2.45, $2.49, $2.2
07/02/2020, $2.35, 47072, $2.42, $2.544, $2.34
07/01/2020, $2.42, 38714, $2.4, $2.527, $2.27
06/30/2020, $2.4, 96715, $2.26, $2.53, $2.2101
06/29/2020, $2.28, 85488, $2.19, $2.38, $2.18
06/26/2020, $2.37, 167057, $2.33, $2.44, $2.17
06/25/2020, $2.51, 199096, $2.64, $2.6613, $2.32
06/24/2020, $2.8, 2579340, $2.77, $2.97, $2.44
06/23/2020, $2.35, 242766, $2.27, $2.4, $2.21
06/22/2020, $2.17, 249851, $2.3, $2.5159, $2.15
06/19/2020, $2.43, 90541, $2.2, $2.52, $2.14
06/18/2020, $2.16, 85492, $2.1, $2.34, $2.07
06/17/2020, $2.21, 138997, $2.33, $2.35, $2.17
06/16/2020, $2.45, 162623, $2.44, $2.6, $2.35
06/15/2020, $2.58, 358799, $2.45, $2.588, $2.23
06/12/2020, $2.89, 9988052, $4.44, $4.45, $2.46
06/11/2020, $2.2, 416921, $1.98, $2.37, $1.9
06/10/2020, $1.9, 148180, $1.9, $2.12, $1.75
06/09/2020, $1.9, 420011, $1.94, $2.69, $1.8638
06/08/2020, $2.05, 135661, $1.83, $2.2035, $1.82
06/05/2020, $1.93, 49807, $1.79, $1.95, $1.7
06/04/2020, $1.78, 82099, $1.68, $1.94, $1.67
06/03/2020, $1.71, 23590, $1.735, $1.75, $1.66
06/02/2020, $1.7, 4797, $1.67, $1.7, $1.67
06/01/2020, $1.69, 4032, $1.71, $1.74, $1.66
05/29/2020, $1.77, 28739, $1.75, $1.77, $1.66
05/28/2020, $1.8018, 20275, $1.85, $1.85, $1.78
05/27/2020, $1.81, 40552, $1.725, $1.85, $1.69
05/26/2020, $1.67, 38313, $1.73, $1.75, $1.65
05/22/2020, $1.66, 7339, $1.65, $1.7463, $1.65
05/21/2020, $1.6683, 34358, $1.67, $1.8, $1.66
05/20/2020, $1.75, 81341, $1.62, $1.8998, $1.59
05/19/2020, $1.62, 11640, $1.7, $1.73, $1.58
05/18/2020, $1.66, 5447, $1.69, $1.7, $1.64
05/15/2020, $1.6899, 17363, $1.68, $1.83, $1.62
05/14/2020, $1.68, 8411, $1.75, $1.75, $1.67
05/13/2020, $1.71, 11614, $1.8, $1.8, $1.7
05/12/2020, $1.8164, 16897, $1.92, $1.92, $1.76
05/11/2020, $1.83, 23028, $1.9, $1.9, $1.71
