Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.5701, 120361, $0.6082, $0.6082, $0.56
07/30/2020, $0.62, 67480, $0.58, $0.634, $0.58
07/29/2020, $0.6202, 139010, $0.63, $0.63, $0.6037
07/28/2020, $0.635, 187404, $0.61, $0.65, $0.61
07/27/2020, $0.61, 465312, $0.6801, $0.6801, $0.57
07/24/2020, $0.6413, 303773, $0.7199, $0.72, $0.6
07/23/2020, $0.72, 1268366, $0.75, $0.778, $0.6711
07/22/2020, $0.828, 14919750, $0.6082, $1.46, $0.58
07/21/2020, $0.5659, 1261274, $0.54, $0.71, $0.5256
07/20/2020, $0.54, 641237, $0.5249, $0.57, $0.5
07/17/2020, $0.5199, 186860, $0.524, $0.5299, $0.48
07/16/2020, $0.52, 471591, $0.4502, $0.5645, $0.4502
07/15/2020, $0.4634, 171766, $0.4545, $0.48, $0.45
07/14/2020, $0.47, 153064, $0.5, $0.5, $0.4612
07/13/2020, $0.5062, 890910, $0.52, $0.53, $0.4602
07/10/2020, $0.52, 473473, $0.5002, $0.582, $0.5002
07/09/2020, $0.527, 273296, $0.5168, $0.538, $0.48
07/08/2020, $0.5403, 648561, $0.5636, $0.64, $0.5373
07/07/2020, $0.5636, 717736, $0.4892, $0.59, $0.4701
07/06/2020, $0.5047, 789688, $0.4804, $0.53, $0.43
07/02/2020, $0.48, 1523837, $0.5601, $0.63, $0.4301
07/01/2020, $0.6, 607974, $0.67, $0.72, $0.5769
06/30/2020, $0.7118, 759045, $0.72, $0.82, $0.632
06/29/2020, $0.85, 788172, $0.831, $1.01, $0.67
06/26/2020, $1.115, 44134, $1.08, $1.12, $1.08
06/25/2020, $1.1, 32512, $1.11, $1.145, $1.1
06/24/2020, $1.13, 84172, $1.12, $1.14, $1.06
06/23/2020, $1.1301, 129161, $1.11, $1.2104, $1.09
06/22/2020, $1.115, 212307, $1.29, $1.295, $1.1
06/19/2020, $1.2762, 553949, $1.13, $1.3, $1.13
06/18/2020, $1.12, 41012, $1.13, $1.17, $1.12
06/17/2020, $1.15, 246142, $1.06, $1.23, $1.06
06/16/2020, $1.07, 68597, $1.11, $1.11, $1.05
06/15/2020, $1.07, 105043, $1.02, $1.14, $1.02
06/12/2020, $1.0483, 256060, $1.14, $1.15, $1.01
06/11/2020, $1.04, 3504312, $1.3, $1.66, $1
06/10/2020, $1.28, 278155, $1.16, $1.32, $1.1
06/09/2020, $1.206, 814650, $1.05, $1.28, $1.05
06/08/2020, $1.03, 58057, $1.03, $1.03, $1.02
06/05/2020, $1.02, 48305, $1.03, $1.03, $1.01
06/04/2020, $1.05, 28199, $1.02, $1.0673, $0.98
06/03/2020, $1.005, 24516, $1.01, $1.01, $0.97
06/02/2020, $0.9819, 20496, $1.02, $1.06, $0.97
06/01/2020, $0.98, 148407, $1.01, $1.01, $0.9601
05/29/2020, $1, 19543, $1, $1.01, $0.96
05/28/2020, $0.9801, 45293, $0.99, $0.992, $0.9734
05/27/2020, $0.9785, 101876, $1.01, $1.02, $0.9501
05/26/2020, $1.01, 38279, $1.02, $1.02, $1
05/22/2020, $1.005, 60066, $1.07, $1.08, $0.97
05/21/2020, $1.0878, 14358, $1.1, $1.1, $1.08
05/20/2020, $1.1018, 56342, $1.0899, $1.12, $1.0701
05/19/2020, $1.08, 20112, $1.075, $1.1, $1.05
05/18/2020, $1.0766, 40667, $1.13, $1.13, $1.06
05/15/2020, $1.095, 184551, $1.03, $1.13, $1
05/14/2020, $1.005, 102181, $1, $1.01, $1
05/13/2020, $1.01, 80380, $1.03, $1.03, $1
05/12/2020, $1, 21182, $1.04, $1.04, $1
05/11/2020, $1.02, 24578, $1.03, $1.04, $1.01
