Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.29, 303861, $3.38, $3.41, $3.2
07/30/2020, $3.36, 313925, $3.36, $3.405, $3.26
07/29/2020, $3.34, 395137, $3.59, $3.71, $3.32
07/28/2020, $3.5, 383520, $3.76, $3.8099, $3.49
07/27/2020, $3.79, 146716, $3.84, $3.945, $3.78
07/24/2020, $3.88, 115338, $4.01, $4.03, $3.856
07/23/2020, $4.03, 157274, $4.05, $4.0981, $3.97
07/22/2020, $4.05, 168575, $4.08, $4.12, $3.93
07/21/2020, $4.08, 115880, $4.08, $4.13, $4.01
07/20/2020, $4.02, 195892, $4.2, $4.265, $4
07/17/2020, $4.16, 335216, $4.17, $4.28, $4.07
07/16/2020, $4.17, 260050, $4.15, $4.18, $4.01
07/15/2020, $4.19, 274831, $4.1, $4.3, $4.05
07/14/2020, $4.11, 204922, $3.93, $4.12, $3.82
07/13/2020, $3.85, 237456, $3.95, $4.14, $3.85
07/10/2020, $3.89, 189236, $3.98, $4.07, $3.8693
07/09/2020, $3.98, 214288, $4.18, $4.27, $3.86
07/08/2020, $4.09, 212450, $3.8, $4.1, $3.78
07/07/2020, $3.87, 235930, $4.08, $4.0999, $3.86
07/06/2020, $4.04, 280028, $4.27, $4.2944, $3.9601
07/02/2020, $4.17, 381899, $4.59, $4.59, $4.115
07/01/2020, $4.52, 427719, $4.61, $4.6426, $4.2207
06/30/2020, $4.49, 503725, $4.28, $4.63, $4.22
06/29/2020, $4.26, 621909, $4.16, $4.3, $3.87
06/26/2020, $4.13, 4074716, $4.27, $5.4344, $4.055
06/25/2020, $4.23, 254675, $4.28, $4.415, $4.18
06/24/2020, $4.28, 167151, $4.43, $4.46, $4.14
06/23/2020, $4.46, 252122, $4.32, $4.55, $4.28
06/22/2020, $4.26, 265537, $4.29, $4.5051, $4.14
06/19/2020, $4.35, 267472, $4.32, $4.53, $4.26
06/18/2020, $4.27, 330778, $4.36, $4.5, $4.13
06/17/2020, $4.36, 200799, $4.46, $4.49, $4.32
06/16/2020, $4.45, 200764, $4.63, $4.7357, $4.27
06/15/2020, $4.48, 200565, $4.35, $4.62, $4.225
06/12/2020, $4.34, 283139, $4.65, $4.85, $4.29
06/11/2020, $4.44, 357389, $5.14, $5.14, $4.33
06/10/2020, $5.22, 361268, $4.84, $5.33, $4.81
06/09/2020, $4.85, 734405, $4.8, $5, $4.75
06/08/2020, $4.98, 389840, $4.84, $5.07, $4.75
06/05/2020, $4.7, 491793, $4.91, $5.01, $4.68
06/04/2020, $4.77, 456648, $4.84, $5.055, $4.74
06/03/2020, $4.93, 475279, $4.88, $5.14, $4.8
06/02/2020, $4.81, 956783, $4.78, $5.07, $4.69
06/01/2020, $4.74, 727213, $4.27, $4.92, $4.2201
05/29/2020, $4.29, 406446, $4.4, $4.5325, $4.21
05/28/2020, $4.4, 2560881, $4.6, $4.67, $4.31
05/27/2020, $4.55, 344308, $4.92, $4.96, $4.49
05/26/2020, $4.77, 448127, $4.99, $5.24, $4.76
05/22/2020, $5.12, 611372, $4.58, $5.21, $4.55
05/21/2020, $4.53, 417592, $4.48, $4.71, $4.2
05/20/2020, $4.4, 1139284, $5, $5.14, $4.27
05/19/2020, $4.55, 135472, $4.97, $5.05, $4.55
05/18/2020, $5.01, 215272, $5, $5.255, $4.99
05/15/2020, $4.82, 218182, $4.68, $5.1, $4.6
05/14/2020, $4.69, 177219, $4.71, $4.85, $4.6
05/13/2020, $4.86, 592181, $5.26, $5.26, $4.61
05/12/2020, $5.3, 257122, $4.94, $5.39, $4.86
05/11/2020, $4.9, 665648, $4.91, $4.9725, $4.61
