Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.21, 52193, $3.24, $3.29, $3.21
07/30/2020, $3.22, 76439, $3.3, $3.3027, $3.21
07/29/2020, $3.32, 76261, $3.36, $3.48, $3.28
07/28/2020, $3.3473, 49190, $3.44, $3.59, $3.33
07/27/2020, $3.45, 58336, $3.5, $3.64, $3.43
07/24/2020, $3.47, 39518, $3.43, $3.5, $3.41
07/23/2020, $3.4303, 60725, $3.47, $3.59, $3.43
07/22/2020, $3.48, 47478, $3.65, $3.69, $3.42
07/21/2020, $3.63, 74256, $3.63, $3.78, $3.63
07/20/2020, $3.62, 51069, $3.47, $3.69, $3.4673
07/17/2020, $3.45, 90258, $3.6, $3.64, $3.4
07/16/2020, $3.61, 83790, $3.5, $3.7141, $3.4499
07/15/2020, $3.52, 77652, $3.48, $3.78, $3.45
07/14/2020, $3.48, 97456, $3.73, $3.78, $3.4
07/13/2020, $3.68, 237601, $3.75, $4.05, $3.62
07/10/2020, $3.53, 363128, $4.17, $4.17, $3.39
07/09/2020, $4.07, 408515, $4.26, $4.5, $4
07/08/2020, $4.08, 233066, $3.72, $4.1, $3.7
07/07/2020, $3.83, 162350, $3.41, $3.9, $3.33
07/06/2020, $3.4136, 156833, $3.4, $3.57, $3.26
07/02/2020, $3.37, 67395, $3.39, $3.4835, $3.34
07/01/2020, $3.43, 41036, $3.4, $3.55, $3.36
06/30/2020, $3.33, 141532, $3.52, $3.7273, $3.33
06/29/2020, $3.51, 50270, $3.52, $3.8577, $3.51
06/26/2020, $3.51, 40318, $3.7, $3.7, $3.51
06/25/2020, $3.71, 65182, $3.71, $3.92, $3.6
06/24/2020, $3.83, 67363, $3.5, $3.8899, $3.42
06/23/2020, $3.5999, 103533, $3.8, $3.8, $3.46
06/22/2020, $3.71, 114252, $4.05, $4.0535, $3.71
06/19/2020, $4.22, 36842, $4.48, $4.54, $4.1612
06/18/2020, $4.48, 91185, $4.3, $4.7, $4.21
06/17/2020, $4.65, 84131, $5, $5, $4.59
06/16/2020, $5.05, 53993, $5.17, $5.395, $5
06/15/2020, $5.24, 25047, $5.0001, $5.32, $5.0001
06/12/2020, $5.31, 26424, $5.64, $5.64, $5.2001
06/11/2020, $5.82, 48154, $5.68, $5.86, $5.1801
06/10/2020, $5.95, 7264, $5.71, $6, $5.71
06/09/2020, $5.94, 21834, $6.14, $6.15, $5.47
06/08/2020, $5.95, 13780, $5.55, $5.95, $5.55
06/05/2020, $5.79, 8648, $6.02, $6.02, $5.55
06/04/2020, $5.59, 18962, $5.45, $5.7, $5.45
06/03/2020, $5.398, 44824, $5.51, $5.97, $5.398
06/02/2020, $5.625, 102639, $5.299, $5.95, $5.2
06/01/2020, $5.26, 19923, $5.76, $5.76, $5.26
05/29/2020, $5.765, 12328, $5.92, $5.92, $5.5768
05/28/2020, $5.88, 65480, $6, $6.2, $5.51
05/27/2020, $6.8, 167780, $4.426, $6.8, $4.36
05/26/2020, $4.5, 43001, $5.2, $5.2, $4.5
05/22/2020, $4.95, 66233, $4.25, $5.39, $4.21
05/21/2020, $4.21, 10249, $4.297, $4.3, $4.075
05/20/2020, $4.12, 9750, $4.146, $4.3, $4.1
05/19/2020, $4.09, 1886, $4.3, $4.3, $4.0297
05/18/2020, $4.05, 21211, $3.88, $4.48, $3.88
05/15/2020, $3.86, N/A, $3.86, $3.86, $3.86
05/14/2020, $3.86, 7229, $4.08, $4.08, $3.65
05/13/2020, $4.0173, 7260, $4.26, $4.26, $3.88
05/12/2020, $4.25, 9192, $4.26, $4.46, $4.22
05/11/2020, $4.35, 11727, $4.29, $4.54, $4.15
