Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.3, 95522, $0.35, $0.35, $0.3
07/30/2020, $0.35, 48067, $0.36, $0.3701, $0.3284
07/29/2020, $0.37, 32191, $0.39, $0.41, $0.36
07/28/2020, $0.39, 10097, $0.4599, $0.4599, $0.3621
07/27/2020, $0.4, 41181, $0.33, $0.44, $0.33
07/24/2020, $0.4, 80010, $0.3501, $0.5, $0.3501
07/23/2020, $0.4, 143316, $0.3533, $0.4001, $0.3499
07/22/2020, $0.4, 35096, $0.38, $0.41, $0.38
07/21/2020, $0.4199, 30634, $0.43, $0.4402, $0.401
07/20/2020, $0.4301, 84082, $0.3808, $0.46, $0.3808
07/17/2020, $0.4595, 208206, $0.4401, $0.5, $0.44
07/16/2020, $0.52, 736388, $0.3001, $0.53, $0.3001
07/15/2020, $0.5807, 87997, $0.64, $0.65, $0.5551
07/14/2020, $0.644, 44289, $0.63, $0.644, $0.551
07/13/2020, $0.55, 291231, $0.69, $0.84, $0.54
07/10/2020, $0.6799, 253142, $0.62, $0.75, $0.5838
07/09/2020, $0.59, 117455, $0.59, $0.62, $0.545
07/08/2020, $0.5092, 114401, $0.59, $0.59, $0.4162
07/07/2020, $0.5, 85600, $0.55, $0.6, $0.5
07/06/2020, $0.5913, 211637, $0.6, $0.65, $0.5
07/02/2020, $0.6299, 513622, $0.84, $0.84, $0.5
07/01/2020, $0.7401, 586010, $1.05, $1.06, $0.7301
06/30/2020, $0.93, 1894934, $0.8256, $1.17, $0.6706
06/29/2020, $0.6, 397405, $0.68, $0.71, $0.55
06/26/2020, $0.49, 110446, $0.56, $0.56, $0.47
06/25/2020, $0.5672, 46820, $0.5598, $0.6, $0.4495
06/24/2020, $0.54, 308874, $0.5001, $0.56, $0.39
06/23/2020, $0.5801, 329466, $0.69, $0.74, $0.51
06/22/2020, $0.5901, 619805, $0.71, $0.8, $0.52
06/19/2020, $0.785, 707531, $1, $1.05, $0.6264
06/18/2020, $0.9, 1021903, $1.23, $1.34, $0.89
06/17/2020, $0.9065, 1362481, $0.6, $1.2, $0.4799
06/16/2020, $0.5, 283956, $0.6, $0.6999, $0.42
06/15/2020, $0.57, 113469, $0.42, $0.6, $0.4
06/12/2020, $0.48, 14300, $0.53, $0.53, $0.4
06/11/2020, $0.4799, 13995, $0.6, $0.6, $0.4
06/10/2020, $0.6, 32919, $0.58, $0.6398, $0.5501
06/09/2020, $0.5196, 79681, $0.53, $0.63, $0.5
06/08/2020, $0.5133, 36912, $0.47, $0.5133, $0.4601
06/05/2020, $0.4459, 76636, $0.3701, $0.49, $0.3501
06/04/2020, $0.3604, 18562, $0.4, $0.4, $0.3501
06/03/2020, $0.4001, 95117, $0.4, $0.5199, $0.32
06/02/2020, $0.33, 69620, $0.3769, $0.3769, $0.3201
06/01/2020, $0.29, 13275, $0.35, $0.35, $0.29
05/29/2020, $0.35, 16545, $0.3, $0.35, $0.3
05/28/2020, $0.3487, 7761, $0.35, $0.35, $0.305
05/27/2020, $0.3553, N/A, $0.3553, $0.3553, $0.3553
05/26/2020, $0.3553, 3396, $0.3255, $0.3553, $0.3255
05/22/2020, $0.27, 3000, $0.32, $0.35, $0.26
05/21/2020, $0.34, 1952, $0.3726, $0.3726, $0.3065
05/20/2020, $0.48, 8278, $0.31, $0.48, $0.31
05/19/2020, $0.3117, 1800, $0.169, $0.3117, $0.169
05/18/2020, $0.13, N/A, $0.13, $0.13, $0.13
05/15/2020, $0.13, N/A, $0.13, $0.13, $0.13
05/14/2020, $0.13, 3222, $0.1305, $0.1305, $0.13
05/13/2020, $0.11, N/A, $0.11, $0.11, $0.11
05/12/2020, $0.11, N/A, $0.11, $0.11, $0.11
05/11/2020, $0.11, 10000, $0.11, $0.11, $0.11
