Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.3, 12139, $0.3, $0.3, $0.26
07/30/2020, $0.3001, 25817, $0.32, $0.3201, $0.3
07/29/2020, $0.3131, 271, $0.3131, $0.3131, $0.3131
07/28/2020, $0.3301, 313, $0.3101, $0.3301, $0.3101
07/27/2020, $0.33, 15671, $0.35, $0.35, $0.33
07/24/2020, $0.35, N/A, $0.35, $0.35, $0.35
07/23/2020, $0.35, 94434, $0.35, $0.3696, $0.35
07/22/2020, $0.3466, 98085, $0.4, $0.4, $0.335
07/21/2020, $0.3499, 133920, $0.4, $0.4, $0.34
07/20/2020, $0.3995, 72852, $0.312, $0.4, $0.312
07/17/2020, $0.3346, 108549, $0.35, $0.4, $0.3346
07/16/2020, $0.3849, 25901, $0.44, $0.4598, $0.36
07/15/2020, $0.42, N/A, $0.42, $0.42, $0.42
07/14/2020, $0.42, 12821, $0.49, $0.49, $0.4164
07/13/2020, $0.45, 1292, $0.4803, $0.4803, $0.438
07/10/2020, $0.49, 81300, $0.416, $0.49, $0.416
07/09/2020, $0.4104, 3312, $0.45, $0.45, $0.4104
07/08/2020, $0.45, 5900, $0.45, $0.45, $0.441
07/07/2020, $0.48, 156354, $0.5, $0.51, $0.48
07/06/2020, $0.501, 104292, $0.45, $0.51, $0.4123
07/02/2020, $0.4, 87750, $0.43, $0.45, $0.4
07/01/2020, $0.3902, 23353, $0.4, $0.42, $0.35
06/30/2020, $0.35, N/A, $0.35, $0.35, $0.35
06/29/2020, $0.35, 1340, $0.4, $0.4, $0.35
06/26/2020, $0.35, 36241, $0.37, $0.37, $0.31
06/25/2020, $0.39, 17179, $0.34, $0.41, $0.34
06/24/2020, $0.31, 4897, $0.3001, $0.31, $0.3001
06/23/2020, $0.32, 26301, $0.32, $0.32, $0.3001
06/22/2020, $0.3001, N/A, $0.3001, $0.3001, $0.3001
06/19/2020, $0.3001, 39455, $0.35, $0.37, $0.3
06/18/2020, $0.35, 87102, $0.3, $0.35, $0.2999
06/17/2020, $0.29, 116339, $0.29, $0.3, $0.2899
06/16/2020, $0.2999, 3349, $0.29, $0.3, $0.28
06/15/2020, $0.296, 148700, $0.28, $0.296, $0.26
06/12/2020, $0.25, 138200, $0.25, $0.25, $0.25
06/11/2020, $0.25, 4100, $0.25, $0.25, $0.25
06/10/2020, $0.25, 449894, $0.25, $0.3, $0.25
06/09/2020, $0.25, 527220, $0.25, $0.27, $0.2385
06/08/2020, $0.2599, N/A, $0.2599, $0.2599, $0.2599
06/05/2020, $0.2599, 13800, $0.2599, $0.26, $0.2596
06/04/2020, $0.28, N/A, $0.28, $0.28, $0.28
06/03/2020, $0.28, 2000, $0.27, $0.28, $0.27
06/02/2020, $0.23, N/A, $0.23, $0.23, $0.23
06/01/2020, $0.23, N/A, $0.23, $0.23, $0.23
05/29/2020, $0.23, 137482, $0.24, $0.245, $0.2134
05/28/2020, $0.21, 19618, $0.24, $0.24, $0.21
05/27/2020, $0.24, N/A, $0.24, $0.24, $0.24
05/26/2020, $0.24, N/A, $0.24, $0.24, $0.24
05/22/2020, $0.24, 200, $0.24, $0.24, $0.24
05/21/2020, $0.15, N/A, $0.15, $0.15, $0.15
05/20/2020, $0.15, 1000, $0.24, $0.24, $0.15
05/19/2020, $0.15, N/A, $0.15, $0.15, $0.15
05/18/2020, $0.15, N/A, $0.15, $0.15, $0.15
05/15/2020, $0.15, 81684, $0.1501, $0.1501, $0.15
05/14/2020, $0.1501, N/A, $0.1501, $0.1501, $0.1501
05/13/2020, $0.1501, N/A, $0.1501, $0.1501, $0.1501
05/12/2020, $0.1501, N/A, $0.1501, $0.1501, $0.1501
05/11/2020, $0.1501, N/A, $0.1501, $0.1501, $0.1501
