Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.03, 491414, $3.16, $3.2279, $3.03
07/30/2020, $3.14, 1064009, $3.1, $3.3, $2.7
07/29/2020, $3.02, 1328808, $3.25, $3.28, $2.995
07/28/2020, $3.21, 515652, $3.31, $3.36, $3.19
07/27/2020, $3.28, 1003243, $3.6, $3.66, $3.21
07/24/2020, $3.57, 847343, $3.88, $3.88, $3.53
07/23/2020, $3.91, 1422579, $4.08, $4.265, $3.8
07/22/2020, $4, 604422, $4.24, $4.2515, $3.92
07/21/2020, $4.22, 463975, $4.13, $4.31, $4.13
07/20/2020, $4.13, 656935, $4.2, $4.21, $4.06
07/17/2020, $4.23, 1155800, $4.05, $4.29, $4.01
07/16/2020, $3.995, 1050620, $3.77, $4.16, $3.64
07/15/2020, $3.765, 710996, $3.72, $3.8301, $3.615
07/14/2020, $3.66, 782361, $3.69, $3.77, $3.55
07/13/2020, $3.71, 2069209, $4.4, $4.41, $3.58
07/10/2020, $4.32, 1119453, $4.14, $4.47, $4.03
07/09/2020, $4.13, 397407, $4.37, $4.4298, $4.0782
07/08/2020, $4.25, 1066919, $4.5, $4.5, $4.07
07/07/2020, $4.51, 1249336, $4.55, $4.79, $4.26
07/06/2020, $4.59, 3576311, $3.91, $4.89, $3.81
07/02/2020, $3.77, 1007224, $3.59, $3.875, $3.45
07/01/2020, $3.57, 845402, $3.71, $3.83, $3.37
06/30/2020, $3.62, 917625, $3.31, $3.6586, $3.28
06/29/2020, $3.28, 580514, $3.38, $3.42, $3.1885
06/26/2020, $3.33, 1720462, $3.39, $3.4267, $3.1
06/25/2020, $3.39, 384462, $3.45, $3.46, $3.31
06/24/2020, $3.44, 953153, $3.62, $3.69, $3.23
06/23/2020, $3.59, 825893, $3.58, $3.78, $3.51
06/22/2020, $3.63, 1066078, $3.78, $3.78, $3.41
06/19/2020, $3.81, 3496384, $3.85, $3.9, $3.31
06/18/2020, $3.75, 3188090, $3.59, $3.94, $3.35
06/17/2020, $3.56, 1358690, $3.1, $3.8, $3.03
06/16/2020, $3.09, 427190, $3.13, $3.17, $3.05
06/15/2020, $3.06, 619441, $3.1, $3.195, $2.92
06/12/2020, $3.09, 587758, $2.92, $3.09, $2.81
06/11/2020, $2.78, 728760, $2.89, $2.89, $2.68
06/10/2020, $2.99, 788105, $3.17, $3.17, $2.952
06/09/2020, $3.16, 619375, $3.22, $3.3, $2.97
06/08/2020, $3.22, 637123, $3.39, $3.39, $3.1
06/05/2020, $3.3, 982400, $3.44, $3.44, $3.08
06/04/2020, $3.47, 5150710, $3.92, $4.15, $3.29
06/03/2020, $3.07, 571141, $2.97, $3.15, $2.88
06/02/2020, $2.92, 329020, $2.94, $3, $2.85
06/01/2020, $2.9, 587311, $2.9, $3, $2.86
05/29/2020, $2.86, 445117, $2.93, $2.98, $2.7
05/28/2020, $2.94, 479606, $3.06, $3.11, $2.89
05/27/2020, $3.01, 687877, $3.24, $3.24, $2.82
05/26/2020, $3.18, 436065, $3.25, $3.285, $3.12
05/22/2020, $3.28, 393595, $3.35, $3.36, $3.13
05/21/2020, $3.33, 286761, $3.35, $3.42, $3.28
05/20/2020, $3.37, 448043, $3.38, $3.45, $3.25
05/19/2020, $3.31, 479615, $3.37, $3.47, $3.2001
05/18/2020, $3.35, 704352, $3.58, $3.58, $3.3
05/15/2020, $3.4, 662309, $3.3, $3.5, $3.22
05/14/2020, $3.38, 821213, $3.19, $3.63, $3.0096
05/13/2020, $3.2, 328481, $3.4, $3.4, $3.05
05/12/2020, $3.31, 531595, $3.4, $3.43, $3.02
05/11/2020, $3.365, 737920, $3.38, $3.49, $3.31
