Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.98, 478132, $4.14, $4.168, $3.92
07/30/2020, $4.18, 356603, $4.03, $4.25, $3.99
07/29/2020, $4.03, 549593, $3.99, $4.14, $3.84
07/28/2020, $3.89, 604822, $3.95, $4, $3.81
07/27/2020, $3.925, 1251937, $4.03, $4.11, $3.68
07/24/2020, $4.03, 568922, $4.12, $4.12, $4.005
07/23/2020, $4.15, 511596, $4.29, $4.35, $4.07
07/22/2020, $4.29, 444969, $4.39, $4.52, $4.22
07/21/2020, $4.43, 445808, $4.66, $4.74, $4.4
07/20/2020, $4.59, 350673, $4.78, $4.84, $4.45
07/17/2020, $4.7, 520207, $4.41, $4.86, $4.41
07/16/2020, $4.39, 168209, $4.39, $4.4, $4.26
07/15/2020, $4.44, 208186, $4.34, $4.4799, $4.31
07/14/2020, $4.27, 256864, $4.18, $4.3, $4.08
07/13/2020, $4.14, 328674, $4.35, $4.41, $4.1299
07/10/2020, $4.32, 183110, $4.34, $4.39, $4.18
07/09/2020, $4.34, 196823, $4.49, $4.55, $4.28
07/08/2020, $4.49, 302560, $4.6, $4.6, $4.405
07/07/2020, $4.58, 359776, $4.44, $4.64, $4.32
07/06/2020, $4.44, 457639, $4.47, $4.48, $4.24
07/02/2020, $4.41, 289657, $4.59, $4.59, $4.39
07/01/2020, $4.52, 575163, $4.24, $4.54, $4.14
06/30/2020, $4.26, 533813, $4.4, $4.46, $4.24
06/29/2020, $4.39, 571016, $4.51, $4.62, $4.3325
06/26/2020, $4.5, 1133225, $4.64, $4.64, $4.42
06/25/2020, $4.68, 607536, $4.86, $4.88, $4.561
06/24/2020, $4.8, 682685, $5.05, $5.1688, $4.79
06/23/2020, $5.06, 468091, $5.3, $5.345, $4.94
06/22/2020, $5.22, 782690, $5.32, $5.32, $4.78
06/19/2020, $5.31, 535701, $5.53, $5.6, $5.25
06/18/2020, $5.49, 459704, $5.36, $5.59, $5.21
06/17/2020, $5.38, 699885, $5.55, $5.655, $5.33
06/16/2020, $5.53, 978034, $5.49, $5.64, $5.1417
06/15/2020, $5.31, 1006588, $4.95, $5.32, $4.83
06/12/2020, $5.08, 997141, $5.39, $5.39, $4.91
06/11/2020, $5.22, 833837, $5.47, $5.47, $5.13
06/10/2020, $5.64, 406247, $5.85, $5.94, $5.61
06/09/2020, $5.85, 535203, $5.64, $5.99, $5.42
06/08/2020, $5.65, 664301, $5.52, $5.789, $5.22
06/05/2020, $5.41, 1398592, $5.55, $5.88, $5.39
06/04/2020, $5.01, 665312, $4.87, $5.05, $4.86
06/03/2020, $4.93, 620897, $4.87, $5.06, $4.76
06/02/2020, $4.96, 1537146, $4.56, $5.05, $4.34
06/01/2020, $4.55, 703042, $4.727, $4.74, $4.51
05/29/2020, $4.72, 1085997, $4.6, $4.79, $4.31
05/28/2020, $4.66, 1499772, $5.11, $5.18, $4.65
05/27/2020, $5.03, 3465523, $5.523, $5.67, $4.8
05/26/2020, $6.83, 614494, $7.19, $7.43, $6.8
05/22/2020, $7.21, 334183, $7.16, $7.25, $7.01
05/21/2020, $7.17, 279340, $7.23, $7.2991, $7.05
05/20/2020, $7.22, 418113, $7.34, $7.43, $7.11
05/19/2020, $7.23, 429866, $7.18, $7.59, $7.13
05/18/2020, $7.13, 693199, $7.09, $7.391, $7.04
05/15/2020, $6.89, 806738, $7.12, $7.25, $6.86
05/14/2020, $7.1, 567556, $6.75, $7.19, $6.55
05/13/2020, $6.89, 1003905, $7.42, $7.75, $6.77
05/12/2020, $7.39, 762990, $7.34, $7.87, $7.24
05/11/2020, $7.31, 682180, $7.33, $7.67, $7.16
