Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.5536, 574428, $0.5995, $0.5998, $0.5433
07/30/2020, $0.5978, 754486, $0.56, $0.6194, $0.55
07/29/2020, $0.568, 668239, $0.58, $0.5987, $0.553
07/28/2020, $0.5789, 486992, $0.5885, $0.5885, $0.56
07/27/2020, $0.59, 1038967, $0.62, $0.64, $0.5806
07/24/2020, $0.6441, 872686, $0.65, $0.68, $0.6201
07/23/2020, $0.6731, 1561462, $0.7, $0.73, $0.6538
07/22/2020, $0.7, 4657386, $0.65, $0.73, $0.62
07/21/2020, $0.617, 1549514, $0.6946, $0.6999, $0.59
07/20/2020, $0.6625, 3425604, $0.6299, $0.7, $0.6267
07/17/2020, $0.59, 505747, $0.61, $0.61, $0.573
07/16/2020, $0.605, 1044026, $0.5615, $0.619, $0.55
07/15/2020, $0.5772, 939370, $0.522, $0.6045, $0.522
07/14/2020, $0.533, 1063951, $0.532, $0.565, $0.501
07/13/2020, $0.559, 1658023, $0.61, $0.614, $0.5416
07/10/2020, $0.6085, 997540, $0.6225, $0.629, $0.5901
07/09/2020, $0.643, 657187, $0.6551, $0.6551, $0.6201
07/08/2020, $0.6653, 1068720, $0.6734, $0.7, $0.64
07/07/2020, $0.6874, 1128661, $0.6669, $0.688, $0.6264
07/06/2020, $0.6801, 2797539, $0.705, $0.74, $0.65
07/02/2020, $0.6499, 1936124, $0.6301, $0.67, $0.604
07/01/2020, $0.6307, 1932808, $0.644, $0.67, $0.61
06/30/2020, $0.6853, 3305356, $0.627, $0.727, $0.6161
06/29/2020, $0.6644, 2535834, $0.62, $0.676, $0.56
06/26/2020, $0.64, 3339287, $0.7039, $0.71, $0.6201
06/25/2020, $0.7299, 3014987, $0.69, $0.78, $0.69
06/24/2020, $0.77, 7603531, $0.79, $0.8098, $0.6506
06/23/2020, $0.81, 8827096, $0.81, $0.86, $0.731
06/22/2020, $0.7478, 14415110, $0.7438, $0.8678, $0.66
06/19/2020, $0.7146, 11746000, $0.72, $0.84, $0.64
06/18/2020, $0.69, 7071493, $0.6261, $0.699, $0.5825
06/17/2020, $0.595, 2285824, $0.643, $0.66, $0.58
06/16/2020, $0.6598, 5584830, $0.61, $0.7361, $0.61
06/15/2020, $0.613, 7017723, $0.57, $0.7, $0.5301
06/12/2020, $0.633, 5994671, $0.66, $0.709, $0.61
06/11/2020, $0.81, 35233060, $0.51, $0.84, $0.5
06/10/2020, $0.56, 5358727, $0.5197, $0.62, $0.485
06/09/2020, $0.4906, 3053748, $0.45, $0.52, $0.435
06/08/2020, $0.46, 2862589, $0.46, $0.5, $0.425
06/05/2020, $0.4469, 1739264, $0.43, $0.47, $0.41
06/04/2020, $0.4138, 1157268, $0.4022, $0.4325, $0.38
06/03/2020, $0.408, 765962, $0.4015, $0.4143, $0.4
06/02/2020, $0.4109, 387975, $0.4106, $0.42, $0.4075
06/01/2020, $0.4185, 449138, $0.4106, $0.4299, $0.407
05/29/2020, $0.4143, 844611, $0.42, $0.4265, $0.405
05/28/2020, $0.4265, 616898, $0.437, $0.4483, $0.4211
05/27/2020, $0.4504, 1390348, $0.4645, $0.4673, $0.4362
05/26/2020, $0.4595, 2202684, $0.453, $0.47, $0.432
05/22/2020, $0.4299, 1723483, $0.42, $0.47, $0.4104
05/21/2020, $0.4278, 513516, $0.441, $0.441, $0.413
05/20/2020, $0.4317, 1445066, $0.4387, $0.465, $0.4126
05/19/2020, $0.4436, 1613482, $0.4397, $0.466, $0.43
05/18/2020, $0.4275, 651246, $0.42, $0.44, $0.41
05/15/2020, $0.4143, 370508, $0.41, $0.4341, $0.4
05/14/2020, $0.4292, 1420225, $0.4195, $0.49, $0.4
05/13/2020, $0.42, 716048, $0.45, $0.45, $0.391
05/12/2020, $0.4488, 595219, $0.46, $0.46, $0.444
05/11/2020, $0.46, 512218, $0.45, $0.47, $0.446
