Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.0801, 2334, $0.0801, $0.0803, $0.0801
07/30/2020, $0.1098, 4733, $0.1041, $0.1099, $0.08
07/29/2020, $0.1178, 200, $0.1178, $0.1178, $0.1178
07/28/2020, $0.0801, 19881, $0.0804, $0.1199, $0.08
07/27/2020, $0.08, N/A, $0.08, $0.08, $0.08
07/24/2020, $0.08, 7175, $0.0904, $0.1299, $0.08
07/23/2020, $0.1257, N/A, $0.1257, $0.1257, $0.1257
07/22/2020, $0.1257, 20006, $0.1, $0.13, $0.0989
07/21/2020, $0.1, 3277, $0.097, $0.11, $0.097
07/20/2020, $0.1059, 27433, $0.12, $0.12, $0.102
07/17/2020, $0.1294, N/A, $0.1294, $0.1294, $0.1294
07/16/2020, $0.1294, 15646, $0.1026, $0.1298, $0.1026
07/15/2020, $0.102, 14836, $0.1397, $0.1397, $0.102
07/14/2020, $0.096, 27554, $0.1091, $0.14, $0.0951
07/13/2020, $0.1091, N/A, $0.1091, $0.1091, $0.1091
07/10/2020, $0.1091, 2080, $0.1101, $0.1107, $0.1091
07/09/2020, $0.1398, 21296, $0.1071, $0.1399, $0.107
07/08/2020, $0.13, 22204, $0.1101, $0.1301, $0.1021
07/07/2020, $0.14, 19071, $0.101, $0.1439, $0.101
07/06/2020, $0.15, 107526, $0.17, $0.23, $0.14
07/02/2020, $0.1222, 16590, $0.14, $0.1455, $0.1
07/01/2020, $0.1399, 3407, $0.09, $0.1399, $0.09
06/30/2020, $0.14, 25351, $0.12, $0.155, $0.1193
06/29/2020, $0.11, 68259, $0.15, $0.15, $0.08
06/26/2020, $0.12, 3439, $0.147, $0.166, $0.12
06/25/2020, $0.123, 21511, $0.1301, $0.165, $0.12
06/24/2020, $0.131, 16824, $0.13, $0.1866, $0.13
06/23/2020, $0.1362, 55998, $0.1499, $0.2048, $0.1301
06/22/2020, $0.1106, 91837, $0.2469, $0.2469, $0.025
06/19/2020, $0.17, 64902, $0.1601, $0.28, $0.1502
06/18/2020, $0.2209, 36439, $0.3121, $0.3121, $0.1502
06/17/2020, $0.24, 642512, $0.1541, $0.5, $0.1441
06/16/2020, $0.0851, 18656, $0.0819, $0.11, $0.07
06/15/2020, $0.08, 39150, $0.0601, $0.0999, $0.06
06/12/2020, $0.08, 29939, $0.1, $0.1399, $0.08
06/11/2020, $0.0901, 26853, $0.14, $0.16, $0.0901
06/10/2020, $0.1051, 176762, $0.131, $0.16, $0.08
06/09/2020, $0.081, 443130, $0.0304, $0.156, $0.03
06/08/2020, $0.0234, 32956, $0.0204, $0.052, $0.02
06/05/2020, $0.04, 42511, $0.035, $0.04, $0.02
06/04/2020, $0.03, 1455, $0.04, $0.04, $0.03
06/03/2020, $0.04, 15303, $0.0358, $0.04, $0.0299
06/02/2020, $0.0299, 3149, $0.0299, $0.0299, $0.0299
06/01/2020, $0.0299, 5510, $0.032, $0.032, $0.0299
05/29/2020, $0.033, 50675, $0.024, $0.04, $0.024
05/28/2020, $0.02, 25855, $0.025, $0.025, $0.02
05/27/2020, $0.0199, 2203, $0.0143, $0.0259, $0.0143
05/26/2020, $0.011, 32390, $0.02, $0.02, $0.011
05/22/2020, $0.026, N/A, $0.026, $0.026, $0.026
05/21/2020, $0.026, N/A, $0.026, $0.026, $0.026
05/20/2020, $0.026, 37202, $0.0325, $0.0325, $0.026
05/19/2020, $0.0324, 21750, $0.0278, $0.033, $0.011
05/18/2020, $0.0116, 162, $0.0116, $0.0116, $0.0116
05/15/2020, $0.0164, 100, $0.0164, $0.0164, $0.0164
05/14/2020, $0.0194, 400, $0.0227, $0.0227, $0.0159
05/13/2020, $0.0194, N/A, $0.0194, $0.0194, $0.0194
05/12/2020, $0.0194, 296, $0.0194, $0.0194, $0.0194
05/11/2020, $0.0228, 600, $0.0226, $0.0228, $0.0225
