Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.2005, 1400, $0.2007, $0.2007, $0.2005
07/30/2020, $0.21, N/A, $0.21, $0.21, $0.21
07/29/2020, $0.21, 360, $0.21, $0.21, $0.21
07/28/2020, $0.2006, 3097, $0.251, $0.2915, $0.2006
07/27/2020, $0.2189, N/A, $0.2189, $0.2189, $0.2189
07/24/2020, $0.2189, N/A, $0.2189, $0.2189, $0.2189
07/23/2020, $0.2189, 1755, $0.2505, $0.2505, $0.2101
07/22/2020, $0.2017, 557, $0.2017, $0.2017, $0.2017
07/21/2020, $0.2015, 1070, $0.2013, $0.2015, $0.2013
07/20/2020, $0.2013, 4950, $0.2011, $0.221, $0.201
07/17/2020, $0.22, N/A, $0.22, $0.22, $0.22
07/16/2020, $0.22, 1820, $0.2705, $0.2705, $0.22
07/15/2020, $0.265, 1165, $0.2817, $0.2817, $0.265
07/14/2020, $0.2817, 2349, $0.23, $0.2817, $0.23
07/13/2020, $0.2301, 67548, $0.38, $0.4939, $0.2
07/10/2020, $0.2001, N/A, $0.2001, $0.2001, $0.2001
07/09/2020, $0.2001, 2860, $0.2001, $0.2001, $0.2
07/08/2020, $0.2001, 23721, $0.29, $0.32, $0.2001
07/07/2020, $0.2, N/A, $0.2, $0.2, $0.2
07/06/2020, $0.2, N/A, $0.2, $0.2, $0.2
07/02/2020, $0.2, N/A, $0.2, $0.2, $0.2
07/01/2020, $0.2, N/A, $0.2, $0.2, $0.2
06/30/2020, $0.2, 312, $0.2, $0.2, $0.2
06/29/2020, $0.2001, 900, $0.21, $0.2111, $0.2001
06/26/2020, $0.2212, N/A, $0.2212, $0.2212, $0.2212
06/25/2020, $0.2212, 1701, $0.21, $0.225, $0.21
06/24/2020, $0.2501, 3045, $0.28, $0.3, $0.25
06/23/2020, $0.27, 3214, $0.24, $0.3599, $0.24
06/22/2020, $0.2, 549, $0.2, $0.2, $0.2
06/19/2020, $0.2, 10705, $0.2, $0.2, $0.2
06/18/2020, $0.1601, 7000, $0.23, $0.23, $0.1601
06/17/2020, $0.235, 1304, $0.235, $0.235, $0.235
06/16/2020, $0.2101, 3710, $0.2, $0.2101, $0.1998
06/15/2020, $0.1998, 3649, $0.2166, $0.2166, $0.1931
06/12/2020, $0.1931, 13183, $0.24, $0.24, $0.1601
06/11/2020, $0.23, 3567, $0.21, $0.24, $0.21
06/10/2020, $0.21, 3500, $0.21, $0.21, $0.21
06/09/2020, $0.2, 11762, $0.1601, $0.21, $0.1601
06/08/2020, $0.16, 20580, $0.13, $0.16, $0.13
06/05/2020, $0.14, 5471, $0.139, $0.14, $0.139
06/04/2020, $0.1101, N/A, $0.1101, $0.1101, $0.1101
06/03/2020, $0.1101, N/A, $0.1101, $0.1101, $0.1101
06/02/2020, $0.1101, N/A, $0.1101, $0.1101, $0.1101
06/01/2020, $0.1101, 20555, $0.11, $0.16, $0.11
05/29/2020, $0.1164, 13118, $0.15, $0.16, $0.1164
05/28/2020, $0.15, 5627, $0.1499, $0.17, $0.1201
05/27/2020, $0.1429, N/A, $0.1429, $0.1429, $0.1429
05/26/2020, $0.1429, N/A, $0.1429, $0.1429, $0.1429
05/22/2020, $0.1429, N/A, $0.1429, $0.1429, $0.1429
05/21/2020, $0.1429, 1919, $0.15, $0.15, $0.1429
05/20/2020, $0.11, N/A, $0.11, $0.11, $0.11
05/19/2020, $0.11, N/A, $0.11, $0.11, $0.11
05/18/2020, $0.11, 1802, $0.1296, $0.1296, $0.11
05/15/2020, $0.1126, N/A, $0.1126, $0.1126, $0.1126
05/14/2020, $0.1126, 500, $0.112, $0.1126, $0.112
05/13/2020, $0.112, 509, $0.112, $0.112, $0.112
05/12/2020, $0.1201, 2080, $0.1202, $0.1202, $0.1201
05/11/2020, $0.12, 4388, $0.1524, $0.1524, $0.111
