Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.3799, 729633, $0.371, $0.3852, $0.37
07/30/2020, $0.3858, 796407, $0.41, $0.41, $0.375
07/29/2020, $0.419, 509124, $0.4015, $0.4298, $0.4
07/28/2020, $0.3986, 895606, $0.4293, $0.43, $0.395
07/27/2020, $0.4457, 448148, $0.4656, $0.4749, $0.44
07/24/2020, $0.4498, 634827, $0.48, $0.48, $0.4201
07/23/2020, $0.4898, 1268123, $0.55, $0.56, $0.4611
07/22/2020, $0.593, 7556664, $0.567, $0.719, $0.5136
07/21/2020, $0.51, 2567620, $0.39, $0.51, $0.3782
07/20/2020, $0.3795, 533857, $0.3896, $0.39, $0.365
07/17/2020, $0.3725, 305072, $0.3792, $0.38, $0.3639
07/16/2020, $0.3725, 532118, $0.39, $0.4, $0.365
07/15/2020, $0.373, 312874, $0.399, $0.403, $0.3701
07/14/2020, $0.3795, 224025, $0.39, $0.402, $0.36
07/13/2020, $0.393, 266358, $0.4198, $0.4198, $0.3815
07/10/2020, $0.3999, 533383, $0.3857, $0.425, $0.373
07/09/2020, $0.3846, 400552, $0.398, $0.3981, $0.375
07/08/2020, $0.375, 894694, $0.399, $0.4, $0.3626
07/07/2020, $0.405, 740899, $0.4399, $0.4551, $0.405
07/06/2020, $0.4411, 943484, $0.4719, $0.5, $0.44
07/02/2020, $0.465, 658247, $0.48, $0.5, $0.451
07/01/2020, $0.4701, 644746, $0.48, $0.525, $0.4501
06/30/2020, $0.4705, 1456553, $0.5551, $0.5551, $0.45
06/29/2020, $0.5516, 431663, $0.5314, $0.5802, $0.525
06/26/2020, $0.5477, 929135, $0.588, $0.588, $0.54
06/25/2020, $0.6, 906648, $0.595, $0.6283, $0.56
06/24/2020, $0.598, 2052518, $0.64, $0.6899, $0.58
06/23/2020, $0.6693, 3304979, $0.7078, $0.77, $0.6541
06/22/2020, $0.6342, 2490834, $0.6, $0.67, $0.5612
06/19/2020, $0.615, 639780, $0.7, $0.71, $0.615
06/18/2020, $0.6612, 694617, $0.78, $0.7807, $0.66
06/17/2020, $0.75, 482013, $0.86, $0.9, $0.75
06/16/2020, $0.818, 601313, $0.9975, $1.05, $0.818
06/15/2020, $0.8814, 265105, $0.78, $0.895, $0.76
06/12/2020, $0.82, 511924, $0.8326, $0.8821, $0.77
06/11/2020, $0.7339, 471313, $0.7, $0.8791, $0.66
06/10/2020, $0.9197, 580138, $0.9193, $0.9668, $0.747
06/09/2020, $1.07, 864338, $1.2, $1.2, $0.96
06/08/2020, $1.22, 3520457, $1.07, $1.43, $0.9304
06/05/2020, $0.72, 1777437, $0.63, $0.9, $0.61
06/04/2020, $0.5749, 342320, $0.58, $0.59, $0.55
06/03/2020, $0.5552, 94936, $0.57, $0.5952, $0.55
06/02/2020, $0.5629, 214343, $0.5748, $0.6, $0.55
06/01/2020, $0.5759, 77267, $0.6, $0.63, $0.552
05/29/2020, $0.5835, 64298, $0.58, $0.59, $0.55
05/28/2020, $0.58, 165759, $0.647, $0.675, $0.58
05/27/2020, $0.622, 60005, $0.618, $0.6897, $0.5901
05/26/2020, $0.6112, 127805, $0.6, $0.6161, $0.595
05/22/2020, $0.5896, 80736, $0.62, $0.62, $0.58
05/21/2020, $0.59, 105118, $0.6248, $0.6248, $0.59
05/20/2020, $0.62, 80626, $0.616, $0.6499, $0.59
05/19/2020, $0.5951, 73998, $0.614, $0.635, $0.582
05/18/2020, $0.6135, 173846, $0.58, $0.6399, $0.58
05/15/2020, $0.58, 65108, $0.5862, $0.5999, $0.58
05/14/2020, $0.5877, 79196, $0.61, $0.615, $0.57
05/13/2020, $0.6014, 142291, $0.619, $0.6253, $0.57
05/12/2020, $0.5992, 261007, $0.65, $0.67, $0.59
05/11/2020, $0.646, 93325, $0.69, $0.7, $0.646
