Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.32, 1444583, $4.43, $4.6, $4.09
07/30/2020, $4.31, 1478351, $3.87, $4.35, $3.73
07/29/2020, $3.87, 1473325, $3.714, $4.1, $3.697
07/28/2020, $3.68, 2278663, $3.54, $4.05, $3.54
07/27/2020, $3.46, 386349, $3.35, $3.5, $3.33
07/24/2020, $3.37, 509029, $3.25, $3.43, $3.07
07/23/2020, $3.31, 735075, $3.36, $3.59, $3.25
07/22/2020, $3.28, 499812, $3.21, $3.43, $3.13
07/21/2020, $3.18, 388512, $3.22, $3.3, $3.13
07/20/2020, $3.17, 406765, $3.21, $3.2675, $3.0101
07/17/2020, $3.21, 393608, $3.12, $3.37, $3.12
07/16/2020, $3.13, 177975, $3.13, $3.13, $3
07/15/2020, $3.11, 319674, $3.08, $3.15, $2.98
07/14/2020, $2.96, 151222, $2.81, $2.96, $2.8
07/13/2020, $2.8, 595292, $3.2, $3.25, $2.61
07/10/2020, $3.2, 195017, $3.15, $3.21, $3.06
07/09/2020, $3.16, 319032, $3.13, $3.23, $3
07/08/2020, $3.1, 459837, $3.02, $3.11, $2.88
07/07/2020, $3.02, 434219, $3.29, $3.29, $3.02
07/06/2020, $3.3, 288058, $3.31, $3.39, $3.22
07/02/2020, $3.3, 359682, $3.2, $3.39, $3.2
07/01/2020, $3.24, 475763, $3.45, $3.47, $3.2
06/30/2020, $3.34, 1390435, $3.1, $3.3777, $3.07
06/29/2020, $3.03, 326745, $3.09, $3.206, $2.97
06/26/2020, $3.09, 392315, $3.11, $3.13, $2.95
06/25/2020, $3.13, 472699, $2.94, $3.2199, $2.9302
06/24/2020, $2.97, 286469, $3.07, $3.14, $2.87
06/23/2020, $3.05, 295924, $3.03, $3.17, $3.03
06/22/2020, $3.04, 400522, $2.94, $3.0999, $2.81
06/19/2020, $2.95, 313503, $2.96, $2.9699, $2.82
06/18/2020, $2.93, 393165, $2.92, $2.98, $2.77
06/17/2020, $3, 307820, $3.14, $3.15, $2.97
06/16/2020, $3.04, 326167, $3.15, $3.22, $2.96
06/15/2020, $3.03, 671034, $3, $3.09, $2.83
06/12/2020, $3.14, 554926, $3.25, $3.3, $3.1
06/11/2020, $3.1, 1090919, $3.37, $3.389, $3.06
06/10/2020, $3.41, 2741837, $3.14, $3.69, $3.09
06/09/2020, $3.03, 1326814, $2.75, $3.14, $2.71
06/08/2020, $2.72, 1094680, $2.61, $2.75, $2.59
06/05/2020, $2.53, 652170, $2.4, $2.59, $2.355
06/04/2020, $2.31, 239224, $2.36, $2.44, $2.3
06/03/2020, $2.42, 229198, $2.31, $2.44, $2.3
06/02/2020, $2.36, 249215, $2.52, $2.52, $2.22
06/01/2020, $2.49, 812308, $2.26, $2.54, $2.23
05/29/2020, $2.32, 77938, $2.33, $2.37, $2.29
05/28/2020, $2.31, 144464, $2.3, $2.35, $2.26
05/27/2020, $2.31, 150736, $2.33, $2.3525, $2.2
05/26/2020, $2.31, 388736, $2.35, $2.425, $2.3
05/22/2020, $2.28, 117954, $2.28, $2.2999, $2.2
05/21/2020, $2.26, 130914, $2.35, $2.35, $2.1701
05/20/2020, $2.35, 331213, $2.44, $2.46, $2.28
05/19/2020, $2.36, 575389, $2.16, $2.48, $2.15
05/18/2020, $2.15, 334737, $2.1, $2.2, $2.06
05/15/2020, $2.13, 249089, $2.15, $2.22, $2.06
05/14/2020, $2.16, 193596, $2.24, $2.25, $2.13
05/13/2020, $2.16, 391704, $2.3, $2.31, $2.13
05/12/2020, $2.31, 481237, $2.41, $2.47, $2.26
05/11/2020, $2.42, 659910, $2.31, $2.47, $2.29
