Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.48, 1311604, $2.66, $2.66, $2.36
07/30/2020, $2.66, 982676, $2.65, $2.68, $2.4701
07/29/2020, $2.71, 599592, $2.7, $2.73, $2.62
07/28/2020, $2.66, 2029380, $2.51, $2.77, $2.5
07/27/2020, $2.55, 1224414, $2.36, $2.56, $2.32
07/24/2020, $2.37, 764612, $2.37, $2.41, $2.26
07/23/2020, $2.37, 645202, $2.35, $2.46, $2.31
07/22/2020, $2.38, 538162, $2.37, $2.405, $2.31
07/21/2020, $2.37, 822214, $2.32, $2.425, $2.3
07/20/2020, $2.35, 830420, $2.31, $2.37, $2.2
07/17/2020, $2.33, 761029, $2.3, $2.35, $2.26
07/16/2020, $2.3, 800090, $2.41, $2.41, $2.27
07/15/2020, $2.43, 2128913, $2.24, $2.465, $2.24
07/14/2020, $2.14, 771596, $2.14, $2.19, $2.09
07/13/2020, $2.15, 990349, $2.28, $2.3, $2.14
07/10/2020, $2.28, 696904, $2.2, $2.285, $2.131
07/09/2020, $2.22, 1088768, $2.17, $2.25, $2.05
07/08/2020, $2.17, 904581, $2.2, $2.21, $2.07
07/07/2020, $2.19, 1435645, $2.25, $2.32, $2.18
07/06/2020, $2.32, 1647302, $2.27, $2.325, $2.15
07/02/2020, $2.18, 806067, $2.24, $2.28, $2.135
07/01/2020, $2.17, 1318611, $2.16, $2.26, $2.12
06/30/2020, $2.13, 1080568, $2.19, $2.21, $2.07
06/29/2020, $2.17, 2016506, $2.04, $2.22, $1.975
06/26/2020, $1.96, 3284610, $2.1, $2.11, $1.95
06/25/2020, $2.12, 1373113, $2.01, $2.14, $1.96
06/24/2020, $2.05, 3139245, $2.25, $2.32, $2
06/23/2020, $2.44, 5729342, $2, $2.59, $1.96
06/22/2020, $2, 2793594, $2.1, $2.15, $1.88
06/19/2020, $2.08, 3099927, $2.31, $2.33, $2.05
06/18/2020, $2.21, 1732106, $2.29, $2.29, $2.12
06/17/2020, $2.26, 3028652, $2.6, $2.6, $2.25
06/16/2020, $2.56, 1929735, $2.88, $2.89, $2.5
06/15/2020, $2.63, 1610102, $2.41, $2.68, $2.28
06/12/2020, $2.53, 2171479, $2.83, $2.83, $2.42
06/11/2020, $2.37, 2496240, $2.57, $2.82, $2.35
06/10/2020, $3.1, 1872915, $3.45, $3.45, $2.96
06/09/2020, $3.42, 2673446, $3.63, $3.63, $3.32
06/08/2020, $3.76, 2519806, $4, $4.09, $3.6
06/05/2020, $3.68, 5480454, $3.07, $4.03, $3.07
06/04/2020, $2.85, 1203964, $2.95, $3.02, $2.81
06/03/2020, $3.03, 1809504, $2.82, $3.04, $2.79
06/02/2020, $2.69, 2160449, $3.12, $3.13, $2.67
06/01/2020, $2.97, 2054371, $2.35, $3.02, $2.33
05/29/2020, $2.375, 2118818, $2.82, $2.8244, $2.3
05/28/2020, $2.85, 1441689, $3.29, $3.3252, $2.84
05/27/2020, $3.23, 3100993, $3.02, $3.25, $2.87
05/26/2020, $2.84, 3428245, $2.45, $2.95, $2.41
05/22/2020, $2.3, 749315, $2.31, $2.39, $2.19
05/21/2020, $2.35, 1403569, $2.36, $2.43, $2.25
05/20/2020, $2.34, 1681278, $2.19, $2.36, $2.1504
05/19/2020, $2.11, 2140467, $2.2, $2.3, $2.02
05/18/2020, $2.16, 3321170, $1.71, $2.2, $1.69
05/15/2020, $1.58, 719740, $1.5, $1.62, $1.46
05/14/2020, $1.5, 1346010, $1.49, $1.5279, $1.36
05/13/2020, $1.53, 2358398, $1.74, $1.74, $1.5
05/12/2020, $1.75, 1058828, $1.68, $1.77, $1.63
05/11/2020, $1.64, 1572388, $1.82, $1.87, $1.64
