Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4, 129953, $4.07, $4.14, $3.91
07/30/2020, $4.02, 325100, $3.64, $4.13, $3.64
07/29/2020, $3.73, 88755, $3.66, $3.77, $3.65
07/28/2020, $3.64, 43516, $3.7, $3.729, $3.61
07/27/2020, $3.71, 74191, $3.7, $3.74, $3.66
07/24/2020, $3.67, 52980, $3.62, $3.71, $3.56
07/23/2020, $3.66, 110814, $3.68, $3.7601, $3.62
07/22/2020, $3.66, 57273, $3.6, $3.71, $3.5799
07/21/2020, $3.66, 35112, $3.75, $3.7601, $3.65
07/20/2020, $3.72, 58447, $3.68, $3.75, $3.64
07/17/2020, $3.67, 122643, $3.45, $3.695, $3.45
07/16/2020, $3.51, 509406, $3.29, $3.84, $3.29
07/15/2020, $3.5, 61784, $3.48, $3.54, $3.38
07/14/2020, $3.44, 115004, $3.49, $3.59, $3.42
07/13/2020, $3.48, 124741, $3.58, $3.7, $3.45
07/10/2020, $3.58, 26282, $3.52, $3.595, $3.51
07/09/2020, $3.56, 56265, $3.63, $3.66, $3.53
07/08/2020, $3.63, 52837, $3.61, $3.66, $3.56
07/07/2020, $3.58, 59731, $3.7, $3.72, $3.55
07/06/2020, $3.72, 99128, $3.77, $3.79, $3.7
07/02/2020, $3.72, 98869, $3.78, $3.79, $3.689
07/01/2020, $3.74, 66103, $3.72, $3.77, $3.64
06/30/2020, $3.71, 77123, $3.64, $3.745, $3.62
06/29/2020, $3.64, 143163, $3.5, $3.68, $3.4901
06/26/2020, $3.49, 99656, $3.5, $3.5, $3.37
06/25/2020, $3.49, 119435, $3.34, $3.52, $3.34
06/24/2020, $3.32, 342510, $3.34, $3.4681, $3.16
06/23/2020, $3.36, 140430, $3.48, $3.5615, $3.29
06/22/2020, $3.45, 89071, $3.52, $3.62, $3.45
06/19/2020, $3.52, 96655, $3.64, $3.67, $3.47
06/18/2020, $3.59, 91450, $3.5, $3.67, $3.44
06/17/2020, $3.5, 90443, $3.45, $3.6, $3.45
06/16/2020, $3.49, 84718, $3.61, $3.61, $3.47
06/15/2020, $3.49, 92936, $3.39, $3.55, $3.3601
06/12/2020, $3.48, 117270, $3.55, $3.6518, $3.33
06/11/2020, $3.48, 122512, $3.61, $3.72, $3.45
06/10/2020, $3.73, 196798, $3.82, $3.85, $3.414
06/09/2020, $3.8, 58885, $3.76, $3.81, $3.69
06/08/2020, $3.8, 201264, $3.75, $3.88, $3.72
06/05/2020, $3.74, 183408, $3.68, $3.75, $3.57
06/04/2020, $3.68, 125898, $3.84, $3.8496, $3.52
06/03/2020, $3.82, 256918, $3.71, $3.95, $3.71
06/02/2020, $3.7, 93123, $3.68, $3.78, $3.6
06/01/2020, $3.64, 228715, $3.63, $3.94, $3.59
05/29/2020, $3.61, 77240, $3.63, $3.69, $3.59
05/28/2020, $3.64, 146019, $3.76, $3.82, $3.62
05/27/2020, $3.77, 195774, $3.85, $3.86, $3.6
05/26/2020, $3.8176, 280638, $3.6, $3.93, $3.55
05/22/2020, $3.57, 170072, $3.56, $3.66, $3.4572
05/21/2020, $3.54, 446369, $3.4, $3.5698, $3.23
05/20/2020, $3.38, 126327, $3.36, $3.43, $3.26
05/19/2020, $3.35, 140110, $3.32, $3.39, $3.22
05/18/2020, $3.39, 369123, $3.3, $3.46, $3.21
05/15/2020, $3.29, 803598, $3.08, $3.47, $3.04
05/14/2020, $2.99, 133838, $2.8, $3, $2.75
05/13/2020, $2.76, 198727, $2.81, $2.81, $2.64
05/12/2020, $2.82, 157650, $2.94, $2.96, $2.8
05/11/2020, $2.9, 128800, $3.04, $3.06, $2.9
