Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.03, 39462040, $1.73, $2.19, $1.67
07/30/2020, $1.78, 10582970, $1.716, $1.8, $1.54
07/29/2020, $1.82, 26702480, $1.8, $1.935, $1.72
07/28/2020, $1.71, 73062620, $1.52, $2.03, $1.44
07/27/2020, $1.42, 75828460, $1.37, $1.72, $1.27
07/24/2020, $1.04, 25520010, $0.932, $1.15, $0.91
07/23/2020, $0.961, 12385690, $1.12, $1.2, $0.932
07/22/2020, $1.05, 13490880, $0.965, $1.22, $0.96
07/21/2020, $0.9446, 3776000, $0.95, $1, $0.929
07/20/2020, $0.925, 1136514, $0.91, $0.93, $0.895
07/17/2020, $0.8975, 879453, $0.9194, $0.93, $0.89
07/16/2020, $0.9076, 897712, $0.9, $0.93, $0.8999
07/15/2020, $0.918, 1278545, $0.91, $0.936, $0.8862
07/14/2020, $0.91, 1110662, $0.92, $0.92, $0.88
07/13/2020, $0.878, 1681410, $0.931, $0.95, $0.87
07/10/2020, $0.93, 723070, $0.92, $0.955, $0.91
07/09/2020, $0.938, 2313787, $1.02, $1.02, $0.905
07/08/2020, $1, 5136534, $0.9201, $1.05, $0.9103
07/07/2020, $0.9, 1024249, $0.918, $0.93, $0.9
07/06/2020, $0.9389, 1900076, $0.93, $0.96, $0.9054
07/02/2020, $0.9101, 1649934, $0.9613, $0.9613, $0.9
07/01/2020, $0.9336, 2344531, $0.899, $0.9562, $0.885
06/30/2020, $0.91, 1905650, $0.8698, $0.967, $0.861
06/29/2020, $0.8901, 1539943, $0.9, $0.9175, $0.8501
06/26/2020, $0.9225, 2501109, $0.9801, $0.9801, $0.9
06/25/2020, $1.01, 2169259, $0.9631, $1.06, $0.963
06/24/2020, $0.9801, 3596764, $1, $1.04, $0.94
06/23/2020, $1.1, 8711870, $1.17, $1.19, $0.99
06/22/2020, $1.09, 12568590, $0.8731, $1.18, $0.855
06/19/2020, $0.8417, 1938158, $0.88, $0.92, $0.8417
06/18/2020, $0.86, 1584071, $0.8783, $0.9097, $0.84
06/17/2020, $0.876, 2763729, $0.93, $0.9425, $0.871
06/16/2020, $0.9389, 2845150, $1, $1.01, $0.9054
06/15/2020, $0.9496, 5714631, $0.95, $1.02, $0.91
06/12/2020, $0.9301, 2969608, $1.01, $1.02, $0.91
06/11/2020, $0.93, 7838841, $1, $1.09, $0.9
06/10/2020, $1.25, 35201010, $1.04, $1.4, $0.97
06/09/2020, $0.9, 2493541, $0.95, $0.95, $0.88
06/08/2020, $0.9134, 3241079, $0.9898, $0.9898, $0.9003
06/05/2020, $1, 3812076, $1.05, $1.0601, $0.9211
06/04/2020, $1.09, 11848180, $0.908, $1.18, $0.86
06/03/2020, $0.92, 12774850, $0.961, $0.9701, $0.8407
06/02/2020, $0.82, 14269490, $0.8777, $0.98, $0.7901
06/01/2020, $0.73, 4256717, $0.717, $0.75, $0.71
05/29/2020, $0.7, 1880596, $0.7733, $0.7788, $0.682
05/28/2020, $0.7332, 2930365, $0.748, $0.76, $0.71
05/27/2020, $0.72, 1979835, $0.73, $0.75, $0.7022
05/26/2020, $0.7194, 1907576, $0.71, $0.72, $0.6601
05/22/2020, $0.7295, 1786908, $0.71, $0.74, $0.7
05/21/2020, $0.709, 3494322, $0.796, $0.81, $0.7
05/20/2020, $0.83, 6305180, $0.845, $0.94, $0.805
05/19/2020, $0.8055, 2770645, $0.82, $0.8602, $0.791
05/18/2020, $0.81, 2733261, $0.861, $0.87, $0.78
05/15/2020, $0.8, 3576441, $0.7799, $0.84, $0.7158
05/14/2020, $0.8597, 20875620, $0.85, $1.05, $0.758
05/13/2020, $0.739, 7862972, $0.66, $0.74, $0.6239
05/12/2020, $0.6243, 4664964, $0.714, $0.75, $0.61
05/11/2020, $0.76, 9326952, $0.8, $0.834, $0.7
