Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.98, 5361, $1.92, $1.99, $1.92
07/30/2020, $1.92, 26098, $2.06, $2.06, $1.9
07/29/2020, $2.01, 39307, $2.58, $2.58, $1.91
07/28/2020, $1.9, 15389, $2.05, $2.15, $1.9
07/27/2020, $2, 11992, $2.23, $2.23, $2
07/24/2020, $2.05, 16301, $2.23, $2.23, $2.05
07/23/2020, $2.23, 50005, $2.2, $2.47, $2.17
07/22/2020, $2.3, 503927, $1.9, $2.99, $1.8998
07/21/2020, $1.88, 12363, $1.85, $1.88, $1.81
07/20/2020, $1.79, 15243, $1.82, $1.83, $1.79
07/17/2020, $1.75, 9837, $1.79, $1.83, $1.75
07/16/2020, $1.79, 12438, $1.88, $1.88, $1.73
07/15/2020, $1.75, 3597, $1.73, $1.82, $1.73
07/14/2020, $1.78, 2764, $1.78, $1.78, $1.75
07/13/2020, $1.75, 22570, $1.8, $1.81, $1.7
07/10/2020, $1.72, 20740, $1.8, $1.88, $1.72
07/09/2020, $1.81, 4679, $1.866, $1.866, $1.79
07/08/2020, $1.78, 16623, $1.78, $2.19, $1.7
07/07/2020, $1.85, 22381, $1.85, $1.98, $1.7
07/06/2020, $1.84, 69406, $1.93, $2.28, $1.75
07/02/2020, $1.93, 24895, $1.8, $1.95, $1.66
07/01/2020, $1.75, 15470, $1.88, $1.88, $1.71
06/30/2020, $1.88, 11408, $1.9, $1.9, $1.81
06/29/2020, $1.81, 9214, $1.94, $1.94, $1.8001
06/26/2020, $1.82, 13541, $1.94, $1.94, $1.82
06/25/2020, $1.85, 5606, $1.98, $1.98, $1.79
06/24/2020, $1.82, 10957, $1.91, $1.91, $1.8
06/23/2020, $1.95, 15673, $1.911, $1.95, $1.86
06/22/2020, $1.95, 11251, $1.94, $1.98, $1.8601
06/19/2020, $1.94, 14636, $1.95, $1.98, $1.8212
06/18/2020, $1.86, 19280, $1.9, $1.94, $1.75
06/17/2020, $1.83, 10226, $1.99, $1.99, $1.75
06/16/2020, $1.92, 16053, $2.01, $2.01, $1.75
06/15/2020, $1.88, 15725, $1.8, $1.88, $1.765
06/12/2020, $1.8001, 6886, $1.75, $1.82, $1.75
06/11/2020, $1.6763, 18412, $1.6, $1.84, $1.46
06/10/2020, $1.8899, 11178, $1.82, $1.8999, $1.7
06/09/2020, $1.8899, 15653, $1.91, $1.91, $1.8236
06/08/2020, $1.96, 25656, $1.86, $2, $1.8
06/05/2020, $1.85, 34326, $1.84, $2, $1.83
06/04/2020, $1.82, 36923, $1.87, $1.9498, $1.8
06/03/2020, $1.9404, 12570, $1.99, $2.014, $1.9
06/02/2020, $2, 8252, $2.07, $2.07, $1.92
06/01/2020, $2, 47351, $1.99, $2.12, $1.9
05/29/2020, $2.08, 31937, $2.19, $2.32, $2
05/28/2020, $2.34, 74382, $2.12, $2.44, $1.98
05/27/2020, $2.56, 197020, $2.33, $2.65, $2.3
05/26/2020, $2.28, 82007, $2.22, $2.3, $2.1
05/22/2020, $2.1899, 29999, $2.0235, $2.19, $2
05/21/2020, $2.075, 69818, $1.93, $2.22, $1.9297
05/20/2020, $1.92, 51801, $1.71, $1.92, $1.71
05/19/2020, $1.8, 100291, $1.76, $1.86, $1.58
05/18/2020, $1.68, 356840, $1.2, $1.93, $1.182
05/15/2020, $1.1156, 7427, $1.11, $1.1256, $1.1
05/14/2020, $1.1192, 3411, $1.1202, $1.16, $1.1192
05/13/2020, $1.15, 3990, $1.2, $1.2, $1.1417
05/12/2020, $1.1618, 1363, $1.2, $1.2, $1.1618
05/11/2020, $1.18, 15327, $1.17, $1.205, $1.03
