Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.11, 62744, $1.09, $1.13, $1.09
07/30/2020, $1.1, 143677, $1.12, $1.17, $1.1
07/29/2020, $1.18, 166994, $1.14, $1.2, $1.12
07/28/2020, $1.13, 160400, $1.2, $1.2, $1.13
07/27/2020, $1.15, 49649, $1.13, $1.19, $1.13
07/24/2020, $1.13, 101543, $1.19, $1.2, $1.12
07/23/2020, $1.18, 96098, $1.15, $1.2, $1.15
07/22/2020, $1.16, 64262, $1.17, $1.19, $1.15
07/21/2020, $1.17, 147364, $1.18, $1.2, $1.16
07/20/2020, $1.17, 129092, $1.15, $1.19, $1.15
07/17/2020, $1.15, 86348, $1.11, $1.17, $1.11
07/16/2020, $1.12, 63071, $1.14, $1.14, $1.12
07/15/2020, $1.135, 189506, $1.08, $1.15, $1.07
07/14/2020, $1.07, 60089, $1.06, $1.07, $1.051
07/13/2020, $1.06, 111112, $1.08, $1.1, $1.06
07/10/2020, $1.08, 45338, $1.08, $1.1, $1.07
07/09/2020, $1.08, 103224, $1.12, $1.13, $1.07
07/08/2020, $1.13, 114588, $1.08, $1.13, $1.06
07/07/2020, $1.07, 90252, $1.1, $1.1, $1.06
07/06/2020, $1.06, 102868, $1.1, $1.1, $1.06
07/02/2020, $1.09, 74421, $1.13, $1.14, $1.09
07/01/2020, $1.12, 161567, $1.17, $1.18, $1.08
06/30/2020, $1.17, 149942, $1.15, $1.19, $1.12
06/29/2020, $1.17, 365022, $1.07, $1.17, $1.03
06/26/2020, $1.04, 1744500, $1.03, $1.19, $1.03
06/25/2020, $1.05, 259919, $1.03, $1.1, $1.03
06/24/2020, $1.02, 177390, $1.08, $1.09, $0.99
06/23/2020, $1.07, 268798, $1.03, $1.12, $1.02
06/22/2020, $1.02, 125045, $1.06, $1.06, $1.01
06/19/2020, $1.05, 475473, $1.09, $1.11, $1.05
06/18/2020, $1.09, 194982, $1.09, $1.12, $1.06
06/17/2020, $1.09, 155492, $1.08, $1.12, $1.08
06/16/2020, $1.1, 203040, $1.1, $1.12, $1.09
06/15/2020, $1.1, 111689, $1.07, $1.1, $1.04
06/12/2020, $1.1, 145018, $1.1, $1.1, $1
06/11/2020, $1.065, 245318, $1.11, $1.125, $0.9205
06/10/2020, $1.155, 131197, $1.2, $1.2, $1.15
06/09/2020, $1.2, 588923, $1.19, $1.21, $1.16
06/08/2020, $1.185, 538760, $1.04, $1.2, $1.04
06/05/2020, $1.04, 163869, $1, $1.04, $0.9926
06/04/2020, $0.9989, 162891, $0.9881, $1.01, $0.98
06/03/2020, $0.9968, 211433, $1.01, $1.05, $0.985
06/02/2020, $1, 93934, $1.02, $1.04, $1
06/01/2020, $1.01, 139904, $1.08, $1.08, $0.97
05/29/2020, $1.07, 100910, $1.04, $1.08, $1.02
05/28/2020, $1.05, 86625, $1, $1.06, $0.9706
05/27/2020, $0.9722, 350285, $1.05, $1.05, $0.8856
05/26/2020, $1.03, 200802, $1.08, $1.08, $1.01
05/22/2020, $1.09, 244482, $1.11, $1.14, $1.06
05/21/2020, $1.11, 370840, $1.1, $1.14, $1.05
05/20/2020, $1.1, 205201, $1.1, $1.12, $1.06
05/19/2020, $1.1, 120547, $1.08, $1.11, $1.06
05/18/2020, $1.07, 236172, $1.05, $1.13, $1.0301
05/15/2020, $1.08, 413023, $1.14, $1.15, $1.02
05/14/2020, $1.1, 781645, $1.04, $1.1, $0.9651
05/13/2020, $1.04, 730392, $0.93, $1.04, $0.88
05/12/2020, $0.93, 311986, $0.91, $1.03, $0.91
05/11/2020, $0.98, 393628, $1, $1.05, $0.98
