Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.08, 684535, $3.07, $3.1, $2.94
07/30/2020, $3.03, 609943, $3.05, $3.08, $2.96
07/29/2020, $3.05, 985310, $3.16, $3.2, $2.99
07/28/2020, $3.15, 276653, $3.17, $3.23, $3.13
07/27/2020, $3.2, 663745, $3.26, $3.35, $3.1
07/24/2020, $3.25, 668744, $3.28, $3.3258, $3.17
07/23/2020, $3.28, 1060123, $3.36, $3.4785, $3.22
07/22/2020, $3.36, 730995, $3.46, $3.54, $3.33
07/21/2020, $3.48, 1153123, $3.65, $3.69, $3.475
07/20/2020, $3.68, 2381232, $3.54, $3.81, $3.42
07/17/2020, $3.48, 3512002, $3.12, $3.64, $3.12
07/16/2020, $3.11, 604035, $3.13, $3.169, $3.05
07/15/2020, $3.14, 657089, $3.09, $3.18, $3.0301
07/14/2020, $3.08, 572678, $3.03, $3.09, $2.95
07/13/2020, $3.01, 994497, $3.15, $3.19, $3.01
07/10/2020, $3.17, 581388, $3.14, $3.2, $3.06
07/09/2020, $3.13, 601619, $3.13, $3.1885, $3.05
07/08/2020, $3.19, 745894, $3.22, $3.23, $3.03
07/07/2020, $3.2, 868679, $3.12, $3.23, $3.03
07/06/2020, $3.13, 619000, $3.08, $3.15, $3
07/02/2020, $3.06, 966823, $3.17, $3.19, $3.01
07/01/2020, $3.145, 886047, $3.2, $3.2141, $3.02
06/30/2020, $3.18, 933043, $3.19, $3.23, $3.1
06/29/2020, $3.185, 1118076, $3.23, $3.3, $3.13
06/26/2020, $3.18, 1512059, $3.18, $3.24, $3.1326
06/25/2020, $3.14, 507221, $3.16, $3.195, $3.06
06/24/2020, $3.15, 1148575, $3.15, $3.176, $2.92
06/23/2020, $3.17, 954798, $3.28, $3.3, $3.125
06/22/2020, $3.25, 772025, $3.27, $3.3, $3.15
06/19/2020, $3.23, 1210888, $3.29, $3.32, $3.16
06/18/2020, $3.28, 1064944, $3.2, $3.29, $3.1801
06/17/2020, $3.16, 3218549, $3.5, $3.59, $3.04
06/16/2020, $3.4, 2874587, $3.53, $3.59, $3.3
06/15/2020, $3.22, 1158948, $3.18, $3.3, $3.13
06/12/2020, $3.15, 1517756, $3.36, $3.39, $3.15
06/11/2020, $3.25, 5492201, $3.36, $3.44, $3.24
06/10/2020, $4.6, 1629928, $4.29, $4.85, $4.1827
06/09/2020, $4.25, 471613, $4.23, $4.3, $4.14
06/08/2020, $4.26, 622059, $4.43, $4.48, $4.17
06/05/2020, $4.35, 1234778, $4.05, $4.39, $3.91
06/04/2020, $3.94, 831808, $3.77, $4.14, $3.66
06/03/2020, $3.74, 491037, $3.8, $3.8, $3.575
06/02/2020, $3.77, 281137, $3.82, $3.86, $3.65
06/01/2020, $3.76, 456875, $3.78, $3.9532, $3.71
05/29/2020, $3.73, 486607, $3.57, $3.77, $3.52
05/28/2020, $3.57, 353561, $3.71, $3.74, $3.55
05/27/2020, $3.65, 923817, $3.79, $3.8399, $3.3
05/26/2020, $3.7, 3942314, $3.36, $4.2, $3.34
05/22/2020, $3.08, 270366, $3.13, $3.19, $3.01
05/21/2020, $3.12, 476773, $3.13, $3.23, $2.97
05/20/2020, $3.13, 656893, $2.75, $3.18, $2.75
05/19/2020, $2.68, 173645, $2.82, $2.89, $2.65
05/18/2020, $2.81, 189593, $2.87, $2.995, $2.765
05/15/2020, $2.74, 127191, $2.8, $2.8, $2.73
05/14/2020, $2.81, 263116, $2.82, $2.8697, $2.75
05/13/2020, $2.91, 200399, $2.95, $3.06, $2.76
05/12/2020, $2.95, 486668, $3.34, $3.39, $2.89
05/11/2020, $3.19, 426131, $2.8, $3.29, $2.79
