Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.56, 46447, $1.59, $1.59, $1.525
07/30/2020, $1.57, 140536, $1.56, $1.62, $1.54
07/29/2020, $1.56, 45691, $1.59, $1.61, $1.55
07/28/2020, $1.61, 33943, $1.64, $1.66, $1.59
07/27/2020, $1.64, 46380, $1.67, $1.68, $1.63
07/24/2020, $1.67, 66081, $1.72, $1.72, $1.65
07/23/2020, $1.71, 136743, $1.7, $1.765, $1.7
07/22/2020, $1.69, 132148, $1.7, $1.74, $1.67
07/21/2020, $1.72, 40886, $1.71, $1.7347, $1.7
07/20/2020, $1.7, 116149, $1.73, $1.735, $1.6801
07/17/2020, $1.74, 51327, $1.72, $1.74, $1.7
07/16/2020, $1.72, 163902, $1.68, $1.79, $1.68
07/15/2020, $1.71, 86616, $1.73, $1.735, $1.7
07/14/2020, $1.7, 70971, $1.7, $1.71, $1.655
07/13/2020, $1.7, 96619, $1.73, $1.74, $1.67
07/10/2020, $1.7, 142979, $1.66, $1.74, $1.66
07/09/2020, $1.65, 175578, $1.56, $1.71, $1.53
07/08/2020, $1.55, 76374, $1.55, $1.6, $1.52
07/07/2020, $1.55, 155834, $1.51, $1.57, $1.51
07/06/2020, $1.52, 419333, $1.47, $1.53, $1.44
07/02/2020, $1.44, 155111, $1.57, $1.59, $1.43
07/01/2020, $1.55, 155080, $1.57, $1.69, $1.54
06/30/2020, $1.58, 249939, $1.48, $1.6, $1.46
06/29/2020, $1.52, 325681, $1.54, $1.63, $1.5101
06/26/2020, $1.5, 3481397, $1.52, $1.555, $1.395
06/25/2020, $1.52, 654967, $1.5, $1.58, $1.5
06/24/2020, $1.48, 616214, $1.5, $1.52, $1.475
06/23/2020, $1.52, 213127, $1.64, $1.66, $1.5
06/22/2020, $1.64, 234533, $1.6, $1.64, $1.59
06/19/2020, $1.6, 334002, $1.52, $1.61, $1.5
06/18/2020, $1.54, 141851, $1.52, $1.54, $1.47
06/17/2020, $1.52, 113841, $1.53, $1.5553, $1.48
06/16/2020, $1.52, 237229, $1.52, $1.55, $1.47
06/15/2020, $1.47, 193962, $1.45, $1.54, $1.41
06/12/2020, $1.51, 283656, $1.72, $1.73, $1.46
06/11/2020, $1.66, 501106, $1.66, $1.69, $1.6
06/10/2020, $1.7, 217220, $1.83, $1.83, $1.67
06/09/2020, $1.81, 197892, $1.74, $1.83, $1.665
06/08/2020, $1.74, 179916, $1.74, $1.765, $1.7
06/05/2020, $1.7, 262197, $1.73, $1.74, $1.66
06/04/2020, $1.655, 155023, $1.61, $1.67, $1.61
06/03/2020, $1.625, 307970, $1.59, $1.64, $1.55
06/02/2020, $1.55, 269890, $1.65, $1.665, $1.52
06/01/2020, $1.65, 313925, $1.56, $1.745, $1.55
05/29/2020, $1.55, 174691, $1.59, $1.6, $1.5
05/28/2020, $1.59, 175624, $1.55, $1.61, $1.52
05/27/2020, $1.55, 145920, $1.52, $1.575, $1.47
05/26/2020, $1.5, 181169, $1.4, $1.51, $1.3895
05/22/2020, $1.36, 161423, $1.35, $1.4, $1.285
05/21/2020, $1.35, 179630, $1.26, $1.37, $1.26
05/20/2020, $1.26, 446656, $1.35, $1.46, $1.23
05/19/2020, $1.29, 184133, $1.38, $1.38, $1.28
05/18/2020, $1.38, 144819, $1.4, $1.4307, $1.35
05/15/2020, $1.36, 93706, $1.34, $1.395, $1.34
05/14/2020, $1.34, 153003, $1.34, $1.34, $1.26
05/13/2020, $1.36, 218651, $1.46, $1.46, $1.2801
05/12/2020, $1.455, 450197, $1.7, $1.7, $1.43
05/11/2020, $1.81, 164565, $1.74, $1.84, $1.7
