Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.88, 9952, $2.98, $3.2, $2.88
07/30/2020, $2.99, 950, $2.99, $2.99, $2.99
07/29/2020, $3.02, 1356, $3.15, $3.15, $2.88
07/28/2020, $3.09, 2985, $2.95, $3.1, $2.92
07/27/2020, $3.19, 137, $3.19, $3.19, $3.19
07/24/2020, $3.0711, 1334, $2.9423, $3.1, $2.9423
07/23/2020, $3.05, 117, $3.05, $3.05, $3.05
07/22/2020, $2.9824, 1038, $3.07, $3.07, $2.9824
07/21/2020, $3.21, 2218, $3.0501, $3.24, $3.0501
07/20/2020, $3.25, 248, $3.25, $3.25, $3.25
07/17/2020, $3.1, 3374, $3.25, $3.25, $2.8
07/16/2020, $3.25, N/A, $3.25, $3.25, $3.25
07/15/2020, $3.25, N/A, $3.25, $3.25, $3.25
07/14/2020, $3.25, 564, $3.25, $3.25, $3.22
07/13/2020, $3.24, 8546, $2.984, $3.24, $2.97
07/10/2020, $3.09, 1833, $3.1393, $3.1393, $2.8001
07/09/2020, $2.98, 1225, $2.8396, $2.9899, $2.8396
07/08/2020, $3.15, 617, $2.94, $3.15, $2.94
07/07/2020, $3.13, 8870, $3.15, $3.22, $2.69
07/06/2020, $3.0754, 1962, $3.15, $3.15, $2.9001
07/02/2020, $2.97, 17372, $2.77, $3.1, $2.71
07/01/2020, $2.8, 2872, $2.84, $2.84, $2.61
06/30/2020, $2.72, 3438, $2.8187, $2.8187, $2.7
06/29/2020, $2.685, 10853, $2.88, $2.88, $2.65
06/26/2020, $2.9, 13286, $2.71, $2.94, $2.71
06/25/2020, $2.7, 3349, $2.9, $2.9894, $2.7
06/24/2020, $2.71, 9064, $3.0576, $3.0576, $2.68
06/23/2020, $2.65, 10627, $2.7, $2.78, $2.65
06/22/2020, $2.65, 13275, $2.93, $2.99, $2.65
06/19/2020, $2.72, 14149, $2.9234, $2.9234, $2.7
06/18/2020, $2.85, 35647, $3.14, $3.4, $2.8
06/17/2020, $3, 12161, $3.3, $3.4342, $3
06/16/2020, $3.34, 37065, $3.5, $3.5, $3.0897
06/15/2020, $3.5, 142197, $3.02, $4.41, $2.7
06/12/2020, $2.7, 94223, $3.02, $3.5, $2.6
06/11/2020, $2.59, 17867, $2.44, $2.65, $2.4
06/10/2020, $2.6573, 165902, $2.82, $4.1, $2.1
06/09/2020, $2.85, 575, $2.85, $2.85, $2.85
06/08/2020, $2.87, N/A, $2.87, $2.87, $2.87
06/05/2020, $2.87, N/A, $2.87, $2.87, $2.87
06/04/2020, $2.87, 894, $2.725, $2.9399, $2.63
06/03/2020, $2.7, 540, $2.7, $2.7, $2.7
06/02/2020, $2.7, 2914, $2.8781, $2.8781, $2.7
06/01/2020, $2.7, 1252, $2.87, $2.93, $2.675
05/29/2020, $2.68, 1780, $2.64, $2.99, $2.6146
05/28/2020, $2.7997, 746, $2.655, $2.7997, $2.655
05/27/2020, $2.799, 6175, $2.52, $3, $2.52
05/26/2020, $2.79, 563, $2.53, $2.79, $2.53
05/22/2020, $2.73, N/A, $2.73, $2.73, $2.73
05/21/2020, $2.73, 4278, $2.72, $2.73, $2.72
05/20/2020, $2.73, 1076, $2.72, $2.73, $2.72
05/19/2020, $2.7399, N/A, $2.7399, $2.7399, $2.7399
05/18/2020, $2.7399, 1751, $2.71, $2.75, $2.61
05/15/2020, $2.73, 1356, $2.71, $2.73, $2.7
05/14/2020, $2.74, 2236, $2.75, $2.75, $2.62
05/13/2020, $2.71, 4125, $2.79, $2.79, $2.6
05/12/2020, $2.7373, 761, $2.5501, $2.7373, $2.5501
05/11/2020, $2.76, 153, $2.76, $2.76, $2.76
