Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.92, 52508, $3.93, $3.98, $3.86
07/30/2020, $3.93, 41250, $4.01, $4.05, $3.85
07/29/2020, $4.03, 37499, $4.02, $4.08, $3.83
07/28/2020, $4, 91587, $4.11, $4.145, $3.84
07/27/2020, $4.05, 180829, $4.15, $4.44, $4
07/24/2020, $4.13, 67621, $4.19, $4.2, $3.98
07/23/2020, $4.145, 261764, $4.12, $4.28, $3.99
07/22/2020, $3.96, 67270, $4.02, $4.06, $3.85
07/21/2020, $3.96, 128843, $3.98, $4.04, $3.86
07/20/2020, $3.85, 79487, $3.67, $3.89, $3.67
07/17/2020, $3.67, 65364, $3.75, $3.75, $3.6399
07/16/2020, $3.7, 104321, $4.03, $4.03, $3.65
07/15/2020, $4.02, 152023, $3.89, $4.09, $3.84
07/14/2020, $3.79, 132533, $3.86, $3.93, $3.65
07/13/2020, $3.85, 563554, $3.56, $4.14, $3.2
07/10/2020, $3.52, 89364, $3.8, $3.8, $3.5
07/09/2020, $3.77, 87455, $3.59, $3.77, $3.57
07/08/2020, $3.59, 120477, $3.76, $3.9, $3.56
07/07/2020, $3.67, 153981, $3.66, $3.75, $3.42
07/06/2020, $3.67, 238620, $3.42, $3.67, $3.4002
07/02/2020, $3.37, 271032, $3.5, $3.628, $3.3
07/01/2020, $3.37, 432135, $2.92, $3.4, $2.92
06/30/2020, $2.97, 405583, $2.8, $3.07, $2.7183
06/29/2020, $2.67, 44224, $2.68, $2.695, $2.581
06/26/2020, $2.68, 135875, $2.74, $2.83, $2.562
06/25/2020, $2.75, 151901, $2.66, $2.78, $2.6101
06/24/2020, $2.66, 138204, $2.69, $2.75, $2.58
06/23/2020, $2.69, 114261, $2.5, $2.69, $2.462
06/22/2020, $2.46, 256679, $2.69, $2.69, $2.374
06/19/2020, $2.72, 188591, $2.8, $2.91, $2.66
06/18/2020, $2.79, 427915, $2.8, $2.93, $2.5
06/17/2020, $2.58, 541659, $2.19, $2.83, $2.19
06/16/2020, $2.17, 241703, $1.98, $2.18, $1.98
06/15/2020, $1.95, 89780, $1.89, $1.98, $1.88
06/12/2020, $1.92, 332407, $1.85, $2.07, $1.82
06/11/2020, $1.84, 394631, $2, $2.01, $1.81
06/10/2020, $2.05, 151030, $2.04, $2.1, $2.01
06/09/2020, $2.02, 164627, $2.05, $2.11, $2.02
06/08/2020, $2.05, 159095, $2.13, $2.158, $2.0301
06/05/2020, $2.085, 287119, $2.08, $2.1798, $1.99
06/04/2020, $2.07, 160725, $2.06, $2.09, $2.01
06/03/2020, $2.05, 89436, $2.07, $2.07, $2.03
06/02/2020, $2.04, 119639, $2.033, $2.05, $2.02
06/01/2020, $2.035, 249066, $2.05, $2.1231, $2
05/29/2020, $2.05, 341597, $2.07, $2.07, $2
05/28/2020, $2, 67185, $2.08, $2.09, $1.9602
05/27/2020, $2, 159558, $2.1, $2.1, $1.97
05/26/2020, $2.09, 491184, $2.1, $2.1797, $1.99
05/22/2020, $2.02, 60030, $2, $2.06, $1.95
05/21/2020, $2, 140663, $2.1, $2.1893, $1.99
05/20/2020, $1.9774, 336132, $2.1, $2.11, $1.9
05/19/2020, $1.96, 585149, $2.04, $2.47, $1.87
05/18/2020, $1.95, 84979, $1.94, $2, $1.85
05/15/2020, $1.93, 26173, $1.77, $1.94, $1.77
05/14/2020, $1.76, 28140, $1.806, $1.85, $1.76
05/13/2020, $1.82, 98553, $2, $2.02, $1.7299
05/12/2020, $2, 14473, $1.98, $2.03, $1.98
05/11/2020, $1.9999, 18462, $1.97, $2.04, $1.9614
