Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.3724, 15650, $0.4, $0.451, $0.36
07/30/2020, $0.3161, N/A, $0.3161, $0.3161, $0.3161
07/29/2020, $0.3161, 767, $0.25, $0.3161, $0.25
07/28/2020, $0.29, 20140, $0.3, $0.3, $0.28
07/27/2020, $0.38, 550, $0.3, $0.38, $0.3
07/24/2020, $0.38, N/A, $0.38, $0.38, $0.38
07/23/2020, $0.38, 6535, $0.06, $0.38, $0.06
07/22/2020, $0.434, 9442, $0.38, $0.494, $0.38
07/21/2020, $0.381, 8572, $0.4193, $0.42, $0.3625
07/20/2020, $0.4, 3441, $0.4, $0.4, $0.3951
07/17/2020, $0.45, 100, $0.45, $0.45, $0.45
07/16/2020, $0.45, 33772, $0.53, $0.53, $0.45
07/15/2020, $0.53, 56791, $0.3, $0.55, $0.3
07/14/2020, $0.52, 18275, $0.58, $0.58, $0.41
07/13/2020, $0.5, 5000, $0.5, $0.5, $0.5
07/10/2020, $0.51, 23160, $0.55, $0.55, $0.48
07/09/2020, $0.58, 4131, $0.4601, $0.58, $0.4601
07/08/2020, $0.57, 9465, $0.58, $0.58, $0.46
07/07/2020, $0.5, N/A, $0.5, $0.5, $0.5
07/06/2020, $0.5, 1000, $0.5, $0.5, $0.5
07/02/2020, $0.5599, 20400, $1.5, $1.61, $0.5
07/01/2020, $0.56, 1540, $0.56, $0.56, $0.56
06/30/2020, $0.56, 19929, $0.6, $0.6, $0.54
06/29/2020, $0.58, 22983, $0.55, $0.61, $0.48
06/26/2020, $0.6, 131849, $0.95, $0.95, $0.57
06/25/2020, $0.67, 54020, $0.989, $0.989, $0.57
06/24/2020, $0.85, 34702, $0.75, $0.869, $0.57
06/23/2020, $0.9, 59000, $1.18, $1.18, $0.87
06/22/2020, $0.92, 45620, $0.9, $1.1, $0.86
06/19/2020, $0.8298, 86163, $0.69, $0.9399, $0.51
06/18/2020, $0.58, 53400, $0.6, $0.6, $0.555
06/17/2020, $0.53, 265760, $0.4, $0.8382, $0.35
06/16/2020, $0.45, 122311, $0.35, $0.45, $0.35
06/15/2020, $0.3557, 9514, $0.39, $0.45, $0.29
06/12/2020, $0.3999, 74302, $0.36, $0.44, $0.346
06/11/2020, $0.3899, 400, $0.39, $0.39, $0.3899
06/10/2020, $0.37, 104989, $0.39, $0.39, $0.3501
06/09/2020, $0.3998, N/A, $0.3998, $0.3998, $0.3998
06/08/2020, $0.3998, N/A, $0.3998, $0.3998, $0.3998
06/05/2020, $0.3998, 51916, $0.35, $0.4, $0.3399
06/04/2020, $0.3999, 90807, $0.3489, $0.4399, $0.33
06/03/2020, $0.3489, 30006, $0.36, $0.38, $0.3489
06/02/2020, $0.3, 54560, $0.36, $0.3619, $0.3
06/01/2020, $0.35, N/A, $0.35, $0.35, $0.35
05/29/2020, $0.35, N/A, $0.35, $0.35, $0.35
05/28/2020, $0.35, 19100, $0.3224, $0.35, $0.3224
05/27/2020, $0.335, N/A, $0.335, $0.36, $0.31
05/26/2020, $0.39, 49388, $0.27, $0.39, $0.27
05/22/2020, $0.38, 2000, $0.325, $0.38, $0.325
05/21/2020, $0.27, 3751, $0.27, $0.27, $0.27
05/20/2020, $0.27, 61222, $0.35, $0.39, $0.27
05/19/2020, $0.36, N/A, $0.36, $0.36, $0.36
05/18/2020, $0.36, 35000, $0.36, $0.36, $0.255
05/15/2020, $0.35, 25000, $0.39, $0.4, $0.35
05/14/2020, $0.4, 40000, $0.4, $0.4, $0.39
05/13/2020, $0.4, 1000, $0.4, $0.4, $0.25
05/12/2020, $0.35, 3000, $0.35, $0.35, $0.35
05/11/2020, $0.35, 5200, $0.5051, $0.5051, $0.35
