Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.07, 105307, $3.31, $3.4, $3.04
07/30/2020, $3.3, 104157, $3.35, $3.45, $3.07
07/29/2020, $3.46, 162424, $3.3, $3.48, $3.09
07/28/2020, $3.22, 387217, $3.67, $4.04, $3.05
07/27/2020, $3.62, 741275, $3.33, $4.16, $3.33
07/24/2020, $3.24, 332466, $2.72, $3.24, $2.59
07/23/2020, $2.52, 63207, $2.27, $2.5632, $2.239
07/22/2020, $2.32, 52780, $2.28, $2.34, $2.07
07/21/2020, $2.29, 45774, $2.38, $2.3912, $2.2301
07/20/2020, $2.36, 58887, $2.38, $2.48, $2.27
07/17/2020, $2.48, 90838, $2.3, $2.5, $2.1326
07/16/2020, $2.29, 66446, $2.45, $2.505, $2.26
07/15/2020, $2.52, 310880, $2.79, $2.79, $2.4
07/14/2020, $2.82, 321040, $2.44, $2.89, $2.33
07/13/2020, $2.33, 141463, $2.5, $2.5, $2.17
07/10/2020, $2.18, 169159, $2.3, $2.47, $2.1
07/09/2020, $2.31, 258406, $2.45, $2.52, $1.94
07/08/2020, $2.58, 736706, $2.1, $2.99, $2.09
07/07/2020, $2.07, 107161, $1.81, $2.1005, $1.81
07/06/2020, $1.8, 127542, $1.81, $1.85, $1.4501
07/02/2020, $1.7, 320040, $1.55, $1.78, $1.47
07/01/2020, $1.41, 1922579, $1.5, $2.43, $1.35
06/30/2020, $1.47, 101711, $1.36, $1.48, $1.34
06/29/2020, $1.3, 81749, $1.3, $1.46, $1.25
06/26/2020, $1.24, 10917, $1.2605, $1.2633, $1.24
06/25/2020, $1.295, 36911, $1.36, $1.3748, $1.27
06/24/2020, $1.32, 44642, $1.38, $1.42, $1.2
06/23/2020, $1.35, 219086, $1.27, $1.42, $1.27
06/22/2020, $1.25, 97626, $1.14, $1.25, $1.12
06/19/2020, $1.17, 87829, $1.13, $1.17, $0.995
06/18/2020, $1.13, 9879, $1.2, $1.2, $1.13
06/17/2020, $1.19, 4335, $1.18, $1.2, $1.16
06/16/2020, $1.18, 49030, $1.16, $1.21, $1.16
06/15/2020, $1.14, 7724, $1.12, $1.16, $1.12
06/12/2020, $1.17, 9745, $1.13, $1.19, $1.13
06/11/2020, $1.13, 32303, $1.1969, $1.1999, $1.12
06/10/2020, $1.199, 44351, $1.195, $1.25, $1.16
06/09/2020, $1.15, 18406, $1.24, $1.24, $1.13
06/08/2020, $1.24, 10847, $1.21, $1.25, $1.2
06/05/2020, $1.2, 48772, $1.1357, $1.25, $1.1357
06/04/2020, $1.2, 10289, $1.17, $1.2, $1.14
06/03/2020, $1.15, 13597, $1.23, $1.23, $1.15
06/02/2020, $1.13, 54376, $1.22, $1.23, $1.09
06/01/2020, $1.21, 20868, $1.21, $1.22, $1.19
05/29/2020, $1.195, 55990, $1.19, $1.2, $1.17
05/28/2020, $1.14, 12175, $1.15, $1.18, $1.14
05/27/2020, $1.15, 28294, $1.2, $1.2, $1.135
05/26/2020, $1.15, 20952, $1.22, $1.22, $1.133
05/22/2020, $1.2, 11816, $1.14, $1.2, $1.1109
05/21/2020, $1.14, 12406, $1.2, $1.21, $1.14
05/20/2020, $1.2, 4384, $1.17, $1.21, $1.17
05/19/2020, $1.15, 3970, $1.16, $1.19, $1.13
05/18/2020, $1.18, 32278, $1.18, $1.22, $1.17
05/15/2020, $1.18, 15324, $1.12, $1.18, $1.115
05/14/2020, $1.12, 21242, $1.1, $1.21, $1.1
05/13/2020, $1.1, 13851, $1.13, $1.17, $1.06
05/12/2020, $1.105, 28529, $1.18, $1.18, $1.1
05/11/2020, $1.08, 12722, $1.12, $1.15, $1.08
