Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.28, 47850, $2.39, $2.4573, $2.25
07/30/2020, $2.37, 103906, $2.37, $2.44, $2.3
07/29/2020, $2.37, 55069, $2.37, $2.42, $2.3201
07/28/2020, $2.36, 122543, $2.49, $2.49, $2.3106
07/27/2020, $2.4, 292057, $2.58, $2.64, $2.4
07/24/2020, $2.58, 455957, $2.23, $2.73, $2.22
07/23/2020, $2.22, 180136, $2.395, $2.4214, $2.1601
07/22/2020, $2.36, 50942, $2.36, $2.45, $2.3401
07/21/2020, $2.37, 50672, $2.31, $2.4499, $2.31
07/20/2020, $2.28, 191989, $2.55, $2.55, $2.22
07/17/2020, $2.58, 131641, $2.55, $2.74, $2.55
07/16/2020, $2.55, 224170, $2.46, $2.6133, $2.21
07/15/2020, $2.74, 454062, $2.22, $2.7597, $2.22
07/14/2020, $2.23, 340331, $1.95, $2.265, $1.9
07/13/2020, $1.95, 777561, $1.83, $2.19, $1.75
07/10/2020, $1.58, 58301, $1.59, $1.64, $1.58
07/09/2020, $1.6, 109121, $1.64, $1.67, $1.57
07/08/2020, $1.65, 363622, $1.63, $1.71, $1.61
07/07/2020, $1.61, 69473, $1.64, $1.67, $1.6
07/06/2020, $1.64, 115212, $1.57, $1.68, $1.57
07/02/2020, $1.55, 156131, $1.59, $1.7123, $1.54
07/01/2020, $1.57, 97182, $1.6, $1.7499, $1.56
06/30/2020, $1.6, 129241, $1.64, $1.7571, $1.6
06/29/2020, $1.65, 110770, $1.6, $1.7967, $1.6
06/26/2020, $1.6, 157260, $1.63, $1.73, $1.6
06/25/2020, $1.69, 210764, $1.81, $1.85, $1.65
06/24/2020, $1.85, 145179, $2.05, $2.0501, $1.85
06/23/2020, $2.06, 65019, $2.08, $2.12, $2.0301
06/22/2020, $2.06, 116753, $2, $2.2141, $1.94
06/19/2020, $1.94, 154859, $2, $2.12, $1.87
06/18/2020, $1.96, 156078, $2.1, $2.16, $1.91
06/17/2020, $2.12, 138493, $2.32, $2.4, $2.1
06/16/2020, $2.29, 236225, $2.48, $2.6, $2.28
06/15/2020, $2.21, 771765, $2.05, $2.6184, $2
06/12/2020, $1.98, 164091, $1.88, $2.0999, $1.88
06/11/2020, $1.83, 128816, $1.66, $1.8802, $1.66
06/10/2020, $1.91, 186991, $2.1099, $2.1099, $1.64
06/09/2020, $2.08, 102308, $2.17, $2.17, $2.01
06/08/2020, $2.09, 393841, $1.94, $2.25, $1.94
06/05/2020, $1.88, 223520, $1.7, $1.98, $1.7
06/04/2020, $1.68, 102568, $1.76, $1.76, $1.6201
06/03/2020, $1.75, 156969, $1.68, $1.8, $1.65
06/02/2020, $1.68, 152083, $1.53, $1.69, $1.5001
06/01/2020, $1.54, 70598, $1.5, $1.5986, $1.47
05/29/2020, $1.54, 126233, $1.51, $1.5599, $1.45
05/28/2020, $1.57, 209387, $1.65, $1.75, $1.51
05/27/2020, $1.7, 524964, $1.68, $1.85, $1.55
05/26/2020, $1.85, 2770381, $1.35, $1.89, $1.3001
05/22/2020, $1.15, 1018545, $0.89, $1.25, $0.8379
05/21/2020, $0.871, 414505, $0.81, $0.9, $0.7601
05/20/2020, $0.7901, 1447040, $0.78, $0.84, $0.74
05/19/2020, $0.74, 136979, $0.773, $0.7927, $0.74
05/18/2020, $0.773, 42460, $0.798, $0.8539, $0.7206
05/15/2020, $0.756, 74378, $0.75, $0.89, $0.75
05/14/2020, $0.78, 98081, $0.7625, $0.7813, $0.75
05/13/2020, $0.8, 50467, $0.86, $0.86, $0.75
05/12/2020, $0.86, 22876, $0.88, $0.92, $0.86
05/11/2020, $0.88, 49805, $0.925, $0.9298, $0.85
