Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.23, 281440, $2.3, $2.3, $2.15
07/30/2020, $2.23, 526964, $2.1, $2.4, $2.06
07/29/2020, $2.1, 454691, $2.13, $2.19, $1.965
07/28/2020, $2.12, 465446, $2, $2.19, $1.91
07/27/2020, $1.9, 262745, $2.03, $2.09, $1.86
07/24/2020, $2, 556227, $1.99, $2.17, $1.9834
07/23/2020, $1.9899, 1122184, $1.81, $2.28, $1.8001
07/22/2020, $1.7999, 59371, $1.8219, $1.85, $1.79
07/21/2020, $1.77, 44614, $1.84, $1.84, $1.77
07/20/2020, $1.78, 44502, $1.83, $1.838, $1.77
07/17/2020, $1.81, 36550, $1.78, $1.86, $1.7601
07/16/2020, $1.81, 47661, $1.87, $1.87, $1.8
07/15/2020, $1.85, 24789, $1.83, $1.87, $1.83
07/14/2020, $1.82, 35829, $1.88, $1.88, $1.79
07/13/2020, $1.8499, 33872, $1.89, $1.89, $1.8101
07/10/2020, $1.86, 25790, $1.79, $1.89, $1.79
07/09/2020, $1.8099, 49089, $1.86, $1.86, $1.78
07/08/2020, $1.87, 22207, $1.89, $1.89, $1.828
07/07/2020, $1.86, 66604, $1.87, $1.9, $1.84
07/06/2020, $1.8342, 26869, $1.84, $1.9015, $1.82
07/02/2020, $1.8226, 24617, $1.85, $1.899, $1.82
07/01/2020, $1.8274, 42066, $1.83, $1.87, $1.8274
06/30/2020, $1.83, 107990, $1.89, $1.9, $1.75
06/29/2020, $1.85, 84683, $1.98, $1.98, $1.85
06/26/2020, $1.9, 102286, $2.06, $2.06, $1.8647
06/25/2020, $2.04, 1070645, $1.87, $2.4, $1.85
06/24/2020, $1.8742, 104714, $1.94, $1.96, $1.7866
06/23/2020, $1.92, 74308, $2, $2.05, $1.905
06/22/2020, $2.0653, 88599, $2.01, $2.1, $1.91
06/19/2020, $1.97, 30167, $2.03, $2.04, $1.97
06/18/2020, $1.97, 22436, $1.97, $2.01, $1.96
06/17/2020, $1.97, 29199, $2.01, $2.0502, $1.96
06/16/2020, $1.9726, 54323, $2.06, $2.08, $1.96
06/15/2020, $2.01, 67941, $1.94, $2.08, $1.9
06/12/2020, $1.925, 104192, $1.98, $2, $1.83
06/11/2020, $1.91, 156225, $2.02, $2.04, $1.87
06/10/2020, $2.07, 172096, $2.32, $2.32, $2.0041
06/09/2020, $2.1875, 320660, $2.11, $2.38, $2.06
06/08/2020, $2.12, 135083, $2.15, $2.2267, $2.07
06/05/2020, $2.06, 65952, $2.04, $2.16, $2.02
06/04/2020, $2.04, 51018, $2.01, $2.1, $1.9955
06/03/2020, $2.01, 60225, $2.09, $2.16, $2.01
06/02/2020, $2.0106, 87970, $1.95, $2.15, $1.95
06/01/2020, $1.97, 46810, $1.95, $2.002, $1.93
05/29/2020, $1.96, 68791, $2.02, $2.0299, $1.88
05/28/2020, $2, 66625, $2.08, $2.08, $2
05/27/2020, $2.0766, 101050, $2.13, $2.14, $1.92
05/26/2020, $2.1201, 142949, $2.22, $2.25, $2.01
05/22/2020, $2.2199, 59392, $2.22, $2.2879, $2.12
05/21/2020, $2.21, 81014, $2.27, $2.28, $2.16
05/20/2020, $2.21, 153724, $2.36, $2.36, $2.1301
05/19/2020, $2.22, 391092, $2.19, $2.46, $2.06
05/18/2020, $2.16, 561289, $1.96, $2.29, $1.911
05/15/2020, $1.89, 108909, $1.8, $1.9299, $1.8
05/14/2020, $1.82, 204726, $1.77, $2.05, $1.66
05/13/2020, $1.87, 229973, $2.13, $2.16, $1.76
05/12/2020, $2.1096, 434451, $1.83, $2.15, $1.76
05/11/2020, $1.7387, 165314, $1.72, $1.85, $1.71
