Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.31, 51842, $2.25, $2.3495, $2.2
07/30/2020, $2.255, 55757, $2.16, $2.32, $2.15
07/29/2020, $2.1501, 132759, $2.36, $2.36, $2.1001
07/28/2020, $2.32, 51127, $2.2, $2.4426, $2.2
07/27/2020, $2.32, 107273, $2.39, $2.39, $2.15
07/24/2020, $2.39, 439487, $2.33, $2.47, $2.12
07/23/2020, $2.59, 733003, $3.03, $3.08, $2.4901
07/22/2020, $2.6, 73010, $2.94, $2.94, $2.57
07/21/2020, $2.9459, 114342, $2.96, $3.35, $2.81
07/20/2020, $2.8956, 36398, $2.62, $2.91, $2.5
07/17/2020, $2.6, 71220, $2.52, $2.66, $2.42
07/16/2020, $2.485, 26905, $2.552, $2.69, $2.4
07/15/2020, $2.56, 12008, $2.54, $2.6375, $2.5
07/14/2020, $2.49, 22203, $2.81, $2.81, $2.39
07/13/2020, $2.54, 44731, $2.59, $2.74, $2.4101
07/10/2020, $2.45, 45033, $2.31, $2.5, $2.31
07/09/2020, $2.41, 81069, $2.82, $2.82, $2.35
07/08/2020, $2.35, 51419, $2.35, $2.5242, $2.2887
07/07/2020, $2.35, 28156, $2.34, $2.37, $2.25
07/06/2020, $2.32, 34627, $2.24, $2.49, $2.2
07/02/2020, $2.25, 122918, $2.22, $2.4999, $2.14
07/01/2020, $2.6, 258105, $2, $2.91, $1.95
06/30/2020, $1.995, 95447, $2, $2.1, $1.94
06/29/2020, $1.98, 101428, $1.8499, $2.0201, $1.721
06/26/2020, $1.71, 32160, $1.75, $1.8, $1.67
06/25/2020, $1.73, 14807, $1.9, $1.9, $1.73
06/24/2020, $1.78, 18142, $1.9, $1.9, $1.732
06/23/2020, $1.82, 21170, $1.84, $1.84, $1.74
06/22/2020, $1.72, 21598, $1.66, $1.92, $1.65
06/19/2020, $1.73, 45312, $1.72, $1.8199, $1.66
06/18/2020, $1.83, 62911, $1.73, $1.9, $1.61
06/17/2020, $1.8, 109745, $1.84, $1.84, $1.66
06/16/2020, $1.85, 786806, $2.1, $2.15, $1.8
06/15/2020, $2.2, 1001476, $1.3602, $2.23, $1.3491
06/12/2020, $1.3689, 2208, $1.4, $1.4, $1.3138
06/11/2020, $1.3662, 45578, $1.32, $1.3662, $1.2
06/10/2020, $1.33, 8338, $1.4, $1.4, $1.29
06/09/2020, $1.405, 50644, $1.4, $1.425, $1.3798
06/08/2020, $1.3999, 27753, $1.49, $1.49, $1.2552
06/05/2020, $1.25, 13468, $1.322, $1.335, $1.25
06/04/2020, $1.26, 39133, $1.403, $1.41, $1.25
06/03/2020, $1.37, 14075, $1.27, $1.375, $1.26
06/02/2020, $1.27, 29673, $1.28, $1.41, $1.25
06/01/2020, $1.44, 38628, $1.38, $1.45, $1.27
05/29/2020, $1.42, 125196, $1.57, $1.7, $1.27
05/28/2020, $1.56, 165834, $1.06, $1.69, $1
05/27/2020, $1.06, 22158, $1, $1.12, $1
05/26/2020, $0.99, 7527, $1.09, $1.09, $0.99
05/22/2020, $1.09, 23414, $1.1075, $1.1451, $0.9801
05/21/2020, $1, 11727, $1.03, $1.03, $0.981
05/20/2020, $1.03, 3386, $1.06, $1.0999, $1.03
05/19/2020, $0.985, 903, $0.95, $0.985, $0.95
05/18/2020, $0.978, 2739, $1.01, $1.01, $0.9407
05/15/2020, $1.02, 3402, $0.95, $1.0399, $0.925
05/14/2020, $0.97, 5304, $1.04, $1.04, $0.96
05/13/2020, $1.0415, 19257, $1.05, $1.1, $1.025
05/12/2020, $1.05, 1273, $1.0501, $1.0501, $1.05
05/11/2020, $1.04, 6542, $1.1, $1.11, $1.04
