Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.73, 377191, $1.81, $1.81, $1.71
07/30/2020, $1.82, 375084, $1.75, $1.8592, $1.73
07/29/2020, $1.78, 669542, $1.78, $1.8, $1.68
07/28/2020, $1.79, 725512, $1.98, $1.98, $1.78
07/27/2020, $1.975, 1048589, $1.84, $2.0196, $1.8
07/24/2020, $1.84, 1231494, $1.95, $1.98, $1.8
07/23/2020, $1.99, 3458534, $2.14, $2.14, $1.8882
07/22/2020, $2.025, 3022889, $1.8, $2.08, $1.73
07/21/2020, $1.76, 584850, $1.82, $1.88, $1.76
07/20/2020, $1.79, 467421, $1.74, $1.88, $1.73
07/17/2020, $1.75, 498040, $1.78, $1.82, $1.72
07/16/2020, $1.78, 915502, $1.65, $1.86, $1.645
07/15/2020, $1.7, 767159, $1.74, $1.7495, $1.625
07/14/2020, $1.71, 789122, $1.64, $1.73, $1.5508
07/13/2020, $1.61, 598921, $1.73, $1.73, $1.6
07/10/2020, $1.73, 376766, $1.68, $1.74, $1.6248
07/09/2020, $1.66, 438663, $1.71, $1.71, $1.62
07/08/2020, $1.68, 964669, $1.62, $1.74, $1.55
07/07/2020, $1.61, 835405, $1.71, $1.72, $1.61
07/06/2020, $1.73, 809954, $1.73, $1.77, $1.67
07/02/2020, $1.72, 630936, $1.71, $1.73, $1.6602
07/01/2020, $1.71, 658658, $1.76, $1.76, $1.67
06/30/2020, $1.76, 749612, $1.8, $1.8, $1.7
06/29/2020, $1.79, 1112070, $1.84, $1.84, $1.71
06/26/2020, $1.81, 2110645, $1.83, $1.85, $1.74
06/25/2020, $1.86, 1079024, $1.9, $1.91, $1.8
06/24/2020, $1.91, 2221110, $2.01, $2.02, $1.78
06/23/2020, $1.99, 3956620, $2.17, $2.35, $1.96
06/22/2020, $2.4, 2244662, $2.91, $2.93, $2.38
06/19/2020, $2.75, 1871063, $2.93, $3.08, $2.72
06/18/2020, $2.71, 4457070, $2.81, $3.23, $2.61
06/17/2020, $3.28, 17769090, $2.51, $3.64, $2.45
06/16/2020, $2.38, 1903749, $2.14, $2.4, $2.1
06/15/2020, $2.07, 524492, $1.99, $2.12, $1.93
06/12/2020, $2.02, 585615, $2.12, $2.1897, $1.92
06/11/2020, $1.99, 932007, $2.2, $2.2199, $1.96
06/10/2020, $2.27, 726303, $2.44, $2.47, $2.23
06/09/2020, $2.41, 1069920, $2.41, $2.48, $2.28
06/08/2020, $2.33, 1611167, $2.26, $2.5, $2.235
06/05/2020, $2.23, 720337, $2.18, $2.295, $2.15
06/04/2020, $2.185, 577033, $2.21, $2.25, $2.11
06/03/2020, $2.18, 1349848, $2.32, $2.32, $1.95
06/02/2020, $2.3, 852557, $2.5, $2.5, $2.25
06/01/2020, $2.39, 2147846, $2.6, $2.61, $2.17
05/29/2020, $2.66, 6898146, $2.04, $2.77, $1.98
05/28/2020, $1.98, 708660, $2.17, $2.17, $1.94
05/27/2020, $2.09, 666201, $1.98, $2.12, $1.94
05/26/2020, $1.99, 421393, $2, $2.02, $1.94
05/22/2020, $2, 363219, $1.95, $2, $1.94
05/21/2020, $2, 1243144, $2, $2.1701, $1.95
05/20/2020, $1.96, 857835, $1.86, $1.96, $1.82
05/19/2020, $1.8, 395891, $1.81, $1.87, $1.77
05/18/2020, $1.84, 933492, $1.78, $1.89, $1.76
05/15/2020, $1.72, 399766, $1.63, $1.74, $1.61
05/14/2020, $1.63, 399175, $1.65, $1.7, $1.59
05/13/2020, $1.69, 657333, $1.72, $1.74, $1.6
05/12/2020, $1.72, 1119408, $1.93, $1.95, $1.71
05/11/2020, $1.9, 1873374, $1.577, $1.95, $1.57
