Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.61, 2474951, $1.65, $1.66, $1.57
07/30/2020, $1.64, 2100928, $1.66, $1.67, $1.59
07/29/2020, $1.67, 2181292, $1.71, $1.72, $1.66
07/28/2020, $1.7, 1482114, $1.72, $1.72, $1.66
07/27/2020, $1.7, 1544355, $1.67, $1.72, $1.64
07/24/2020, $1.64, 1421197, $1.67, $1.7, $1.63
07/23/2020, $1.67, 2078335, $1.79, $1.791, $1.65
07/22/2020, $1.735, 1326736, $1.76, $1.78, $1.71
07/21/2020, $1.78, 1902664, $1.76, $1.83, $1.74
07/20/2020, $1.74, 2481056, $1.82, $1.825, $1.69
07/17/2020, $1.8, 3065050, $1.7, $1.84, $1.69
07/16/2020, $1.69, 2450150, $1.61, $1.69, $1.55
07/15/2020, $1.62, 2366295, $1.61, $1.67, $1.57
07/14/2020, $1.57, 4054436, $1.65, $1.66, $1.51
07/13/2020, $1.62, 3130042, $1.67, $1.76, $1.62
07/10/2020, $1.67, 2612518, $1.67, $1.73, $1.63
07/09/2020, $1.69, 2068267, $1.69, $1.73, $1.62
07/08/2020, $1.7, 2083970, $1.75, $1.76, $1.66
07/07/2020, $1.73, 2694555, $1.66, $1.75, $1.64
07/06/2020, $1.65, 3362447, $1.71, $1.73, $1.62
07/02/2020, $1.69, 3808694, $1.76, $1.771, $1.67
07/01/2020, $1.73, 3509266, $1.71, $1.82, $1.71
06/30/2020, $1.73, 5720237, $1.82, $1.82, $1.66
06/29/2020, $1.81, 3293893, $1.85, $1.89, $1.78
06/26/2020, $1.75, 14392140, $1.93, $1.9434, $1.73
06/25/2020, $1.94, 5457135, $1.97, $2.01, $1.885
06/24/2020, $1.93, 6800633, $2.03, $2.06, $1.88
06/23/2020, $2.03, 5571735, $2.18, $2.18, $2
06/22/2020, $2.16, 4425507, $2.27, $2.3299, $2.115
06/19/2020, $2.33, 11761810, $2.23, $2.37, $2.22
06/18/2020, $2.225, 3155763, $2.21, $2.29, $2.155
06/17/2020, $2.2, 3419359, $2.26, $2.32, $2.15
06/16/2020, $2.3, 5270262, $2.29, $2.34, $2.16
06/15/2020, $2.2, 6980860, $2.03, $2.24, $1.95
06/12/2020, $2.08, 9588101, $1.95, $2.16, $1.92
06/11/2020, $1.81, 5982220, $1.93, $1.99, $1.79
06/10/2020, $2.09, 3430361, $2.15, $2.1688, $2.07
06/09/2020, $2.09, 4832349, $2.21, $2.21, $2.04
06/08/2020, $2.23, 6990901, $2.02, $2.25, $1.98
06/05/2020, $2.06, 19505000, $1.91, $2.1, $1.9
06/04/2020, $2.21, 5355405, $2.09, $2.23, $2.06
06/03/2020, $2.13, 6482334, $2.27, $2.3, $2.05
06/02/2020, $2.23, 8080724, $2.43, $2.46, $2.16
06/01/2020, $2.37, 5670703, $2.34, $2.48, $2.22
05/29/2020, $2.39, 26351280, $2.6, $2.88, $2.2
05/28/2020, $2.51, 11053360, $2.48, $2.65, $2.38
05/27/2020, $2.43, 4684494, $2.49, $2.55, $2.3
05/26/2020, $2.4, 9338875, $2.5, $2.57, $2.35
05/22/2020, $2.24, 6430155, $2.31, $2.35, $2.06
05/21/2020, $2.2, 7747640, $2.05, $2.25, $1.95
05/20/2020, $1.965, 8467021, $1.92, $2.04, $1.826
05/19/2020, $1.82, 7045421, $1.75, $1.93, $1.7484
05/18/2020, $1.69, 3239744, $1.72, $1.75, $1.67
05/15/2020, $1.69, 1788571, $1.7, $1.72, $1.65
05/14/2020, $1.71, 1659120, $1.68, $1.75, $1.63
05/13/2020, $1.7, 4042568, $1.81, $1.85, $1.58
05/12/2020, $1.81, 2298840, $1.89, $1.93, $1.8
05/11/2020, $1.84, 5324726, $1.79, $1.9, $1.62
