Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.51, 14541, $4.44, $4.59, $4.44
07/30/2020, $4.5, 8187, $4.58, $4.58, $4.46
07/29/2020, $4.6581, 26672, $4.41, $4.6581, $4.3981
07/28/2020, $4.35, 32751, $4.39, $4.39, $4.22
07/27/2020, $4.23, 30398, $4.66, $4.66, $4.22
07/24/2020, $4.63, 9224, $4.69, $4.69, $4.5285
07/23/2020, $4.65, 10521, $4.54, $4.74, $4.53
07/22/2020, $4.55, 46908, $4.71, $5, $4.5
07/21/2020, $4.7, 10756, $4.58, $4.74, $4.56
07/20/2020, $4.46, 37716, $4.46, $4.58, $4.39
07/17/2020, $4.61, 23017, $4.66, $4.795, $4.6
07/16/2020, $4.68, 12589, $4.6, $4.684, $4.5947
07/15/2020, $4.61, 25093, $4.83, $4.88, $4.3227
07/14/2020, $4.69, 6886, $4.74, $4.8, $4.69
07/13/2020, $4.67, 3006, $4.6955, $4.7002, $4.63
07/10/2020, $4.58, 3994, $4.495, $4.58, $4.42
07/09/2020, $4.54, 8605, $4.68, $4.68, $4.43
07/08/2020, $4.69, 18825, $4.61, $4.69, $4.5515
07/07/2020, $4.59, 6068, $4.759, $4.79, $4.59
07/06/2020, $4.84, 12936, $4.74, $4.97, $4.74
07/02/2020, $4.8, 19314, $4.93, $5.0049, $4.71
07/01/2020, $4.83, 16725, $5.12, $5.15, $4.74
06/30/2020, $4.97, 34118, $5.35, $5.385, $4.96
06/29/2020, $5.11, 27349, $5.06, $5.43, $5.06
06/26/2020, $5.08, 51393, $4.96, $5.1, $4.74
06/25/2020, $4.98, 2896, $4.79, $4.99, $4.75
06/24/2020, $4.8, 4086, $4.773, $4.93, $4.75
06/23/2020, $4.83, 6296, $4.79, $4.96, $4.75
06/22/2020, $4.79, 41100, $4.84, $4.84, $4.75
06/19/2020, $4.84, 69157, $4.72, $5.07, $4.72
06/18/2020, $4.69, 20121, $4.38, $4.72, $4.38
06/17/2020, $4.45, 25968, $4.2, $4.5, $4.2
06/16/2020, $4.185, 50318, $5.03, $5.03, $4.05
06/15/2020, $4.03, 8905, $4.05, $4.2, $4.03
06/12/2020, $4.12, 22183, $4.09, $4.22, $4.09
06/11/2020, $4.09, 18884, $4.56, $4.56, $4.07
06/10/2020, $4.65, 24454, $4.81, $4.81, $4.43
06/09/2020, $4.77, 6369, $4.54, $5.09, $4.54
06/08/2020, $4.9, 17505, $4.75, $5, $4.63
06/05/2020, $4.55, 56762, $4.57, $4.72, $4.45
06/04/2020, $4.52, 46275, $4.385, $4.55, $4.385
06/03/2020, $4.38, 23148, $4.49, $4.49, $4.32
06/02/2020, $4.35, 38595, $4.33, $4.5, $4.26
06/01/2020, $4.34, 8378, $4.38, $4.4, $4.26
05/29/2020, $4.28, 8208, $4.03, $4.28, $4
05/28/2020, $4.01, 21432, $4.205, $4.305, $4.01
05/27/2020, $4.33, 58835, $4.49, $4.5095, $4.085
05/26/2020, $4.45, 16405, $4.529, $4.57, $4.335
05/22/2020, $4.23, 11045, $4.185, $4.3335, $4.04
05/21/2020, $4.4, 15313, $4.29, $4.57, $4.29
05/20/2020, $4.55, 20673, $4.5, $4.57, $4.385
05/19/2020, $4.47, 15565, $4.4, $4.49, $4.19
05/18/2020, $4.23, 22202, $4.0046, $4.45, $4.0046
05/15/2020, $4.24, 6189, $4.01, $4.3, $3.935
05/14/2020, $4.01, 12978, $4.12, $4.12, $3.85
05/13/2020, $4.19, 11276, $4.34, $4.34, $4.11
05/12/2020, $4.31, 27581, $4.77, $4.77, $4.21
05/11/2020, $4.6, 37268, $4.7, $4.82, $4.6
