Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.98, 2698975, $1.97, $2.2, $1.96
07/30/2020, $1.99, 671307, $2.02, $2.08, $1.92
07/29/2020, $2.03, 614257, $2.05, $2.09, $1.93
07/28/2020, $2, 2937593, $1.93, $2.35, $1.85
07/27/2020, $2.09, 1935479, $2.31, $2.35, $2.03
07/24/2020, $2.18, 6613550, $1.71, $2.36, $1.71
07/23/2020, $1.89, 2587926, $1.52, $1.94, $1.51
07/22/2020, $1.4, 331356, $1.53, $1.56, $1.4
07/21/2020, $1.55, 795160, $1.63, $1.79, $1.49
07/20/2020, $1.56, 1077640, $1.34, $1.56, $1.24
07/17/2020, $1.29, 651511, $1.35, $1.35, $1.2
07/16/2020, $1.32, 1531612, $1.4, $1.46, $1.13
07/15/2020, $1.39, 18510310, $2.56, $3.15, $1.26
07/14/2020, $0.925, 42801, $0.89, $0.95, $0.8821
07/13/2020, $0.9146, 54717, $0.94, $0.96, $0.9
07/10/2020, $0.9343, 17622, $0.9436, $0.9645, $0.93
07/09/2020, $0.9582, 116469, $0.9668, $0.98, $0.93
07/08/2020, $0.9452, 128424, $0.964, $0.9849, $0.93
07/07/2020, $0.9652, 84824, $1, $1.04, $0.9551
07/06/2020, $1.04, 197725, $1.01, $1.05, $0.9321
07/02/2020, $0.932, 143838, $0.9956, $0.9973, $0.91
07/01/2020, $0.9576, 67709, $0.92, $0.96, $0.91
06/30/2020, $0.9576, 60805, $0.92, $0.96, $0.91
06/29/2020, $0.9198, 151336, $0.88, $0.954, $0.88
06/26/2020, $0.8833, 98320, $0.92, $0.94, $0.8806
06/25/2020, $0.9486, 59740, $0.966, $0.9746, $0.9353
06/24/2020, $0.9408, 150828, $0.97, $0.98, $0.8921
06/23/2020, $0.9792, 75455, $1, $1.01, $0.9406
06/22/2020, $0.9999, 300160, $1, $1.08, $0.8936
06/19/2020, $1.04, 118300, $1.15, $1.15, $1.01
06/18/2020, $1.05, 77238, $1.1, $1.1, $1.05
06/17/2020, $1.12, 124360, $1.17, $1.2, $1.06
06/16/2020, $1.17, 164768, $1.14, $1.2, $1.12
06/15/2020, $1.1, 103765, $1.1, $1.1251, $1
06/12/2020, $1.149, 198472, $1.11, $1.2, $1.09
06/11/2020, $1.05, 489444, $1.39, $1.39, $0.99
06/10/2020, $1.32, 745304, $1.25, $1.48, $1.23
06/09/2020, $1.179, 679670, $1.05, $1.18, $1.04
06/08/2020, $1.04, 348268, $1.03, $1.08, $1.02
06/05/2020, $0.99, 221124, $0.992, $1.06, $0.9808
06/04/2020, $0.99, 721650, $0.9655, $1.15, $0.88
06/03/2020, $0.9711, 352547, $1, $1, $0.905
06/02/2020, $0.9749, 985205, $0.9499, $1.08, $0.901
06/01/2020, $0.885, 99022, $0.9, $0.9119, $0.85
05/29/2020, $0.862, 68816, $0.9119, $0.9119, $0.84
05/28/2020, $0.8752, 95724, $0.9201, $0.928, $0.87
05/27/2020, $0.93, 152239, $0.915, $0.9498, $0.9
05/26/2020, $0.9298, 354451, $0.9511, $1.03, $0.9
05/22/2020, $0.99, 322428, $0.945, $0.99, $0.94
05/21/2020, $0.9201, 508751, $0.88, $0.9682, $0.86
05/20/2020, $0.8401, 137163, $0.837, $0.8788, $0.82
05/19/2020, $0.837, 395076, $0.86, $0.935, $0.815
05/18/2020, $0.8403, 312384, $0.83, $0.89, $0.81
05/15/2020, $0.8403, 203298, $0.83, $0.89, $0.81
05/14/2020, $0.87, 882071, $0.9301, $0.9943, $0.8
05/13/2020, $0.89, 193127, $0.8517, $0.975, $0.8081
05/12/2020, $0.8937, 119009, $1.02, $1.02, $0.8855
05/11/2020, $1.02, 208016, $1.07, $1.129, $0.992
