Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.22, 52755, $1.25, $1.25, $1.2
07/30/2020, $1.25, 18750, $1.25, $1.29, $1.244
07/29/2020, $1.25, 63886, $1.28, $1.28, $1.23
07/28/2020, $1.28, 34500, $1.38, $1.39, $1.21
07/27/2020, $1.35, 292614, $1.22, $1.42, $1.195
07/24/2020, $1.22, 27516, $1.24, $1.24, $1.16
07/23/2020, $1.22, 66892, $1.24, $1.24, $1.1642
07/22/2020, $1.21, 16591, $1.24, $1.24, $1.19
07/21/2020, $1.2, 45750, $1.24, $1.24, $1.1982
07/20/2020, $1.22, 28384, $1.17, $1.24, $1.17
07/17/2020, $1.19, 23476, $1.22, $1.29, $1.15
07/16/2020, $1.22, 22779, $1.17, $1.2254, $1.16
07/15/2020, $1.18, 35822, $1.23, $1.23, $1.15
07/14/2020, $1.18, 35109, $1.3, $1.3, $1.14
07/13/2020, $1.24, 52768, $1.29, $1.2999, $1.13
07/10/2020, $1.25, 31365, $1.21, $1.27, $1.21
07/09/2020, $1.215, 39583, $1.3, $1.3, $1.2
07/08/2020, $1.29, 22741, $1.27, $1.32, $1.27
07/07/2020, $1.27, 26481, $1.25, $1.37, $1.24
07/06/2020, $1.33, 65172, $1.41, $1.41, $1.24
07/02/2020, $1.36, 44882, $1.33, $1.4, $1.33
07/01/2020, $1.33, 62419, $1.27, $1.4, $1.27
06/30/2020, $1.32, 23702, $1.27, $1.32, $1.2401
06/29/2020, $1.29, 36086, $1.33, $1.33, $1.21
06/26/2020, $1.33, 95845, $1.4, $1.4, $1.195
06/25/2020, $1.29, 69214, $1.38, $1.3999, $1.26
06/24/2020, $1.37, 85483, $1.4, $1.4973, $1.25
06/23/2020, $1.42, 68072, $1.49, $1.5, $1.38
06/22/2020, $1.45, 171589, $1.29, $1.45, $1.25
06/19/2020, $1.27, 40534, $1.25, $1.27, $1.2
06/18/2020, $1.23, 31560, $1.25, $1.31, $1.19
06/17/2020, $1.27, 111114, $1.295, $1.3, $1.25
06/16/2020, $1.28, 82578, $1.28, $1.32, $1.2
06/15/2020, $1.29, 384945, $1.12, $1.48, $1.0937
06/12/2020, $1.15, 65845, $1.22, $1.24, $1.11
06/11/2020, $1.1663, 84829, $1.24, $1.2599, $1.15
06/10/2020, $1.32, 36730, $1.37, $1.4, $1.3101
06/09/2020, $1.35, 41425, $1.36, $1.36, $1.29
06/08/2020, $1.34, 125067, $1.35, $1.42, $1.3
06/05/2020, $1.3, 124598, $1.23, $1.33, $1.18
06/04/2020, $1.23, 85612, $1.23, $1.23, $1.12
06/03/2020, $1.21, 124680, $1.24, $1.25, $1.2
06/02/2020, $1.25, 80783, $1.25, $1.25, $1.21
06/01/2020, $1.25, 142529, $1.25, $1.3899, $1.21
05/29/2020, $1.23, 104485, $1.32, $1.3778, $1.2001
05/28/2020, $1.31, 65365, $1.39, $1.4, $1.26
05/27/2020, $1.4, 137462, $1.32, $1.4, $1.3
05/26/2020, $1.3, 96847, $1.27, $1.35, $1.265
05/22/2020, $1.26, 52452, $1.25, $1.27, $1.2
05/21/2020, $1.23, 126018, $1.25, $1.27, $1.159
05/20/2020, $1.23, 156995, $1.14, $1.24, $1.1399
05/19/2020, $1.14, 126610, $1.06, $1.14, $1.02
05/18/2020, $1.05, 128320, $1.04, $1.1, $1.0033
05/15/2020, $1.06, 166668, $1.06, $1.09, $1
05/14/2020, $1.11, 103775, $1.09, $1.124, $1.01
05/13/2020, $1.09, 208503, $1.15, $1.18, $0.95
05/12/2020, $1.15, 168018, $1.17, $1.22, $1.12
05/11/2020, $1.14, 244246, $1.18, $1.22, $1.12
