Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.89, 27427, $0.892, $0.91, $0.811
07/30/2020, $0.879, 30375, $0.894, $0.898, $0.8698
07/29/2020, $0.878, 62124, $0.92, $0.927, $0.85
07/28/2020, $0.9235, 175214, $0.958, $0.99, $0.88
07/27/2020, $0.9169, 59386, $0.9558, $0.98, $0.86
07/24/2020, $0.93, 7811, $0.952, $0.99, $0.93
07/23/2020, $0.91, 49044, $0.9793, $0.9793, $0.9
07/22/2020, $0.975, 77707, $1.05, $1.0649, $0.962
07/21/2020, $1.035, 96060, $1.11, $1.11, $1.03
07/20/2020, $1.125, 72686, $1.12, $1.15, $1.11
07/17/2020, $1.12, 35745, $1.12, $1.135, $1.12
07/16/2020, $1.11, 33312, $1.05, $1.11, $1.05
07/15/2020, $1.09, 50922, $1.05, $1.09, $1.04
07/14/2020, $1.08, 67339, $1.06, $1.0899, $1
07/13/2020, $1.01, 300838, $1.05, $1.15, $0.943
07/10/2020, $1.05, 58270, $1.05, $1.08, $0.972
07/09/2020, $1.04, 76383, $1.1, $1.13, $0.9201
07/08/2020, $1.01, 179762, $0.9, $1.03, $0.86
07/07/2020, $0.8922, 55592, $0.82, $0.91, $0.82
07/06/2020, $0.8699, 109341, $0.7914, $0.8799, $0.78
07/02/2020, $0.78, 23722, $0.7766, $0.8097, $0.7511
07/01/2020, $0.7711, 142156, $0.82, $0.823, $0.751
06/30/2020, $0.82, 106101, $0.85, $0.8599, $0.801
06/29/2020, $0.8445, 26494, $0.85, $0.8697, $0.8363
06/26/2020, $0.835, 88073, $0.8729, $0.9499, $0.8348
06/25/2020, $0.95, 56710, $0.9504, $0.9701, $0.9
06/24/2020, $1, 59221, $0.997, $1.04, $0.93
06/23/2020, $1.04, 93100, $1.08, $1.08, $0.9912
06/22/2020, $1.03, 46712, $1.07, $1.15, $1.01
06/19/2020, $1.0947, 174621, $0.998, $1.2, $0.998
06/18/2020, $0.97, 144933, $1, $1.1, $0.9347
06/17/2020, $1.02, 71825, $1.02, $1.1, $0.99
06/16/2020, $0.995, 120010, $1.01, $1.11, $0.97
06/15/2020, $0.961, 217280, $1.05, $1.095, $0.9
06/12/2020, $1.1, 141846, $1.29, $1.3, $1.05
06/11/2020, $1.18, 424859, $1.22, $1.36, $1.1
06/10/2020, $1.63, 5752752, $1.23, $2.6, $1.11
06/09/2020, $1.2, 961832, $0.849, $1.35, $0.722
06/08/2020, $0.85, 44824, $0.809, $0.85, $0.72
06/05/2020, $0.77, 27827, $0.752, $0.82, $0.7502
06/04/2020, $0.76, 81686, $0.8799, $0.8799, $0.75
06/03/2020, $0.8996, 137037, $0.61, $0.93, $0.5915
06/02/2020, $0.6199, 22492, $0.5816, $0.6339, $0.5814
06/01/2020, $0.61, 31503, $0.58, $0.65, $0.58
05/29/2020, $0.6112, 22348, $0.643, $0.651, $0.582
05/28/2020, $0.643, 21446, $0.6153, $0.6754, $0.6126
05/27/2020, $0.6125, 46344, $0.7, $0.7, $0.5913
05/26/2020, $0.6533, 25611, $0.72, $0.72, $0.6171
05/22/2020, $0.6432, 14250, $0.6001, $0.6646, $0.59
05/21/2020, $0.6467, 26713, $0.6282, $0.71, $0.56
05/20/2020, $0.6557, 49064, $0.61, $0.73, $0.61
05/19/2020, $0.6206, 12473, $0.6683, $0.6683, $0.6
05/18/2020, $0.6388, 19498, $0.56, $0.639, $0.56
05/15/2020, $0.6217, 85425, $0.6663, $0.7014, $0.55
05/14/2020, $0.709, 20877, $0.7, $0.7116, $0.65
05/13/2020, $0.7527, 12290, $0.78, $0.78, $0.75
05/12/2020, $0.755, 21121, $0.812, $0.812, $0.755
05/11/2020, $0.79, 38049, $0.899, $0.899, $0.75
