Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.04, 270185, $2.06, $2.14, $2.01
07/30/2020, $2.04, 723978, $2.02, $2.2, $2
07/29/2020, $2.02, 885707, $2.03, $2.08, $1.93
07/28/2020, $2.1, 805791, $2.28, $2.38, $1.9799
07/27/2020, $2.36, 832367, $2.62, $2.62, $2.31
07/24/2020, $2.48, 1021601, $2.4, $2.62, $2.38
07/23/2020, $2.63, 1951571, $2.88, $2.9, $2.5
07/22/2020, $2.94, 5756870, $3.7, $3.71, $2.7958
07/21/2020, $4.3, 200351400, $3.08, $7.07, $3.06
07/20/2020, $1.7, 1474090, $1.53, $1.85, $1.42
07/17/2020, $1.55, 658662, $1.42, $1.59, $1.36
07/16/2020, $1.34, 62773, $1.34, $1.37, $1.29
07/15/2020, $1.32, 108089, $1.3, $1.3372, $1.26
07/14/2020, $1.29, 155178, $1.32, $1.3499, $1.25
07/13/2020, $1.32, 134974, $1.4, $1.4, $1.31
07/10/2020, $1.35, 123437, $1.34, $1.3896, $1.31
07/09/2020, $1.35, 124227, $1.38, $1.41, $1.34
07/08/2020, $1.4, 61869, $1.43, $1.43, $1.3501
07/07/2020, $1.38, 57664, $1.41, $1.443, $1.37
07/06/2020, $1.4, 78039, $1.41, $1.41, $1.34
07/02/2020, $1.37, 33139, $1.42, $1.4233, $1.37
07/01/2020, $1.37, 31456, $1.36, $1.44, $1.36
06/30/2020, $1.375, 80618, $1.3701, $1.4131, $1.34
06/29/2020, $1.37, 82491, $1.42, $1.45, $1.35
06/26/2020, $1.4099, 46893, $1.43, $1.43, $1.37
06/25/2020, $1.43, 73203, $1.34, $1.49, $1.34
06/24/2020, $1.4, 126710, $1.51, $1.51, $1.35
06/23/2020, $1.51, 837535, $1.37, $1.72, $1.37
06/22/2020, $1.38, 53917, $1.36, $1.4, $1.34
06/19/2020, $1.37, 65957, $1.35, $1.44, $1.33
06/18/2020, $1.34, 281085, $1.38, $1.56, $1.32
06/17/2020, $1.41, 78690, $1.4, $1.42, $1.37
06/16/2020, $1.39, 118690, $1.47, $1.47, $1.35
06/15/2020, $1.42, 120667, $1.37, $1.42, $1.31
06/12/2020, $1.39, 100132, $1.43, $1.4373, $1.35
06/11/2020, $1.42, 183825, $1.44, $1.5, $1.36
06/10/2020, $1.505, 235000, $1.4, $1.5263, $1.38
06/09/2020, $1.37, 434643, $1.5, $1.54, $1.275
06/08/2020, $1.5, 334783, $1.57, $1.57, $1.48
06/05/2020, $1.46, 122119, $1.5, $1.53, $1.43
06/04/2020, $1.48, 91323, $1.53, $1.54, $1.42
06/03/2020, $1.52, 209851, $1.55, $1.58, $1.5
06/02/2020, $1.52, 465398, $1.36, $1.5821, $1.36
06/01/2020, $1.36, 201937, $1.23, $1.3883, $1.23
05/29/2020, $1.25, 349735, $1.46, $1.46, $1.2254
05/28/2020, $1.39, 230634, $1.49, $1.49, $1.37
05/27/2020, $1.395, 153007, $1.4, $1.43, $1.37
05/26/2020, $1.4, 278251, $1.5, $1.5101, $1.38
05/22/2020, $1.42, 256740, $1.46, $1.54, $1.4
05/21/2020, $1.48, 251893, $1.47, $1.5699, $1.45
05/20/2020, $1.52, 277491, $1.59, $1.59, $1.48
05/19/2020, $1.55, 640802, $1.62, $1.68, $1.5301
05/18/2020, $1.62, 1496305, $1.64, $1.75, $1.525
05/15/2020, $2.55, 24962, $2.61, $2.85, $2.54
05/14/2020, $2.76, 17669, $2.84, $3.119, $2.69
05/13/2020, $2.78, 52107, $3.29, $3.3, $2.62
05/12/2020, $3.28, 83950, $3.14, $3.3499, $2.98
05/11/2020, $2.96, 51338, $3.05, $3.25, $2.89
