Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.18, 74227, $1.17, $1.23, $1.17
07/30/2020, $1.18, 253060, $1.22, $1.23, $1.1401
07/29/2020, $1.23, 98012, $1.26, $1.26, $1.22
07/28/2020, $1.28, 121788, $1.25, $1.28, $1.23
07/27/2020, $1.28, 169766, $1.3, $1.31, $1.27
07/24/2020, $1.32, 500345, $1.45, $1.45, $1.29
07/23/2020, $1.47, 1696639, $1.28, $1.49, $1.28
07/22/2020, $1.3, 270885, $1.24, $1.33, $1.24
07/21/2020, $1.27, 224394, $1.27, $1.29, $1.23
07/20/2020, $1.25, 191394, $1.31, $1.32, $1.24
07/17/2020, $1.28, 225057, $1.25, $1.29, $1.23
07/16/2020, $1.25, 446921, $1.26, $1.33, $1.22
07/15/2020, $1.32, 350322, $1.26, $1.35, $1.25
07/14/2020, $1.29, 275169, $1.21, $1.3, $1.1712
07/13/2020, $1.24, 586916, $1.34, $1.37, $1.22
07/10/2020, $1.37, 290205, $1.34, $1.39, $1.32
07/09/2020, $1.36, 429367, $1.4, $1.4401, $1.35
07/08/2020, $1.48, 3017157, $1.43, $1.51, $1.27
07/07/2020, $1.44, 1950952, $1.55, $1.65, $1.41
07/06/2020, $1.375, 1915793, $1.55, $1.65, $1.36
07/02/2020, $1.7, 8541975, $2.15, $2.42, $1.62
07/01/2020, $2.44, 225133700, $2.11, $3.85, $1.96
06/30/2020, $0.8849, 875361, $0.8904, $0.92, $0.8605
06/29/2020, $0.89, 18661, $0.8957, $0.92, $0.8876
06/26/2020, $0.923, 45573, $0.9, $0.95, $0.882
06/25/2020, $0.9095, 24826, $0.9, $0.91, $0.891
06/24/2020, $0.9007, 27069, $0.9, $0.92, $0.8811
06/23/2020, $0.9102, 28700, $0.92, $0.9271, $0.9
06/22/2020, $0.9271, 111454, $0.87, $0.93, $0.86
06/19/2020, $0.8722, 183015, $0.93, $0.9484, $0.87
06/18/2020, $0.9199, 141476, $0.958, $0.97, $0.91
06/17/2020, $0.9763, 93293, $0.94, $0.9763, $0.92
06/16/2020, $0.94, 94265, $0.975, $0.9801, $0.9304
06/15/2020, $0.9801, 216144, $0.921, $1.0158, $0.9
06/12/2020, $0.9103, 169472, $0.93, $0.98, $0.9
06/11/2020, $0.92, 1237046, $1.1, $1.1, $0.905
06/10/2020, $0.97, 294884, $0.94, $1.03, $0.9
06/09/2020, $0.939, 124534, $0.93, $0.95, $0.91
06/08/2020, $0.919, 83091, $0.939, $0.95, $0.88
06/05/2020, $0.92, 57302, $0.95, $0.959, $0.91
06/04/2020, $0.93, 154185, $0.924, $0.9695, $0.91
06/03/2020, $0.9011, 177207, $0.87, $0.948, $0.8554
06/02/2020, $0.865, 120249, $0.86, $0.9, $0.86
06/01/2020, $0.8808, 175243, $0.91, $0.91, $0.8431
05/29/2020, $0.885, 106527, $0.9135, $0.9193, $0.885
05/28/2020, $0.8854, 409694, $0.93, $0.995, $0.8395
05/27/2020, $0.9722, 428920, $0.98, $1.01, $0.96
05/26/2020, $0.9512, 352167, $0.98, $1, $0.951
05/22/2020, $1.01, 1018413, $0.955, $1.09, $0.91
05/21/2020, $1.03, 21222750, $1.29, $1.79, $1
05/20/2020, $0.9372, 42231, $0.97, $0.97, $0.91
05/19/2020, $1, 23929, $0.95, $1.02, $0.9321
05/18/2020, $0.9868, 57134, $0.99, $1.05, $0.93
05/15/2020, $1.0196, 17719, $1.0448, $1.05, $0.9976
05/14/2020, $1.0399, 74261, $1.05, $1.05, $0.99
05/13/2020, $0.97, 46680, $1.03, $1.03, $0.9502
05/12/2020, $1.03, 26123, $1.01, $1.03, $0.98
05/11/2020, $1.02, 91546, $1.11, $1.11, $1
