Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.435, 5134763, $0.46, $0.478, $0.4055
07/30/2020, $0.4445, 7461510, $0.485, $0.49, $0.416
07/29/2020, $0.5949, 3507147, $0.502, $0.61, $0.49
07/28/2020, $0.5017, 449888, $0.5, $0.508, $0.4805
07/27/2020, $0.4988, 632783, $0.5125, $0.515, $0.4755
07/24/2020, $0.505, 968041, $0.5159, $0.5159, $0.475
07/23/2020, $0.51, 828854, $0.5206, $0.525, $0.5015
07/22/2020, $0.528, 908702, $0.54, $0.54, $0.501
07/21/2020, $0.54, 1239506, $0.548, $0.55, $0.505
07/20/2020, $0.545, 1199388, $0.562, $0.562, $0.53
07/17/2020, $0.5661, 1599704, $0.5301, $0.5794, $0.53
07/16/2020, $0.5577, 1200941, $0.56, $0.56, $0.535
07/15/2020, $0.5741, 3600643, $0.61, $0.62, $0.535
07/14/2020, $0.65, 2648865, $0.67, $0.69, $0.6
07/13/2020, $0.69, 6057761, $0.81, $0.85, $0.6398
07/10/2020, $0.68, 2551572, $0.637, $0.73, $0.62
07/09/2020, $0.67, 3462886, $0.65, $0.68, $0.6
07/08/2020, $0.7, 14641840, $0.58, $0.777, $0.58
07/07/2020, $0.51, 1772955, $0.533, $0.533, $0.4601
07/06/2020, $0.5045, 3231761, $0.4, $0.585, $0.4
07/02/2020, $0.4293, 2721310, $0.49, $0.515, $0.416
07/01/2020, $0.5004, 1603153, $0.53, $0.547, $0.4951
06/30/2020, $0.5421, 2206598, $0.5936, $0.61, $0.51
06/29/2020, $0.5959, 1792429, $0.63, $0.64, $0.57
06/26/2020, $0.5791, 2674012, $0.7, $0.7, $0.57
06/25/2020, $0.7, 4911201, $0.7787, $0.7797, $0.665
06/24/2020, $1.1, 2348190, $0.98, $1.11, $0.9122
06/23/2020, $0.995, 261905, $0.9478, $1, $0.92
06/22/2020, $0.9706, 853987, $0.99, $1, $0.9102
06/19/2020, $1.01, 734966, $0.999, $1.04, $0.91
06/18/2020, $1.04, 1568007, $0.93, $1.13, $0.81
06/17/2020, $1.01, 1500671, $1.05, $1.09, $0.8801
06/16/2020, $1.1, 2611373, $1.13, $1.25, $0.9201
06/15/2020, $1.19, 4757847, $0.7018, $1.46, $0.68
06/12/2020, $0.7151, 2063448, $1, $1.05, $0.6601
06/11/2020, $0.865, 1280474, $0.68, $0.9, $0.63
06/10/2020, $0.6748, 700990, $0.61, $0.7, $0.59
06/09/2020, $0.61, 113956, $0.5995, $0.61, $0.5693
06/08/2020, $0.571, 206595, $0.565, $0.61, $0.5566
06/05/2020, $0.5301, 108055, $0.59, $0.6, $0.525
06/04/2020, $0.5638, 100068, $0.54, $0.57, $0.5201
06/03/2020, $0.5502, 75999, $0.54, $0.5775, $0.53
06/02/2020, $0.59, 39160, $0.6099, $0.6099, $0.54
06/01/2020, $0.6099, 75159, $0.649, $0.649, $0.5627
05/29/2020, $0.5892, 216847, $0.5356, $0.65, $0.53
05/28/2020, $0.5101, 59394, $0.5, $0.5362, $0.4917
05/27/2020, $0.504, 96355, $0.5289, $0.5289, $0.47
05/26/2020, $0.5071, 303746, $0.4746, $0.58, $0.46
05/22/2020, $0.452, 29516, $0.4614, $0.48, $0.45
05/21/2020, $0.4698, 98731, $0.47, $0.5, $0.46
05/20/2020, $0.47, 53697, $0.47, $0.47, $0.45
05/19/2020, $0.4613, 41139, $0.4799, $0.4799, $0.45
05/18/2020, $0.47, 75640, $0.4882, $0.4882, $0.45
05/15/2020, $0.4626, 155796, $0.45, $0.5, $0.45
05/14/2020, $0.4509, 32279, $0.435, $0.475, $0.435
05/13/2020, $0.455, 119952, $0.47, $0.475, $0.41
05/12/2020, $0.4692, 17296, $0.45, $0.47, $0.45
05/11/2020, $0.4521, 55031, $0.449, $0.47, $0.43
