Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.118, 16242, $0.12, $0.12, $0.11
07/30/2020, $0.105, 2500, $0.1002, $0.15, $0.1002
07/29/2020, $0.1492, 53350, $0.1492, $0.1492, $0.1
07/28/2020, $0.12, 21184, $0.1404, $0.1404, $0.1002
07/27/2020, $0.155, 21458, $0.1594, $0.1594, $0.1245
07/24/2020, $0.1595, 17200, $0.155, $0.16, $0.1416
07/23/2020, $0.152, 15980, $0.16, $0.179, $0.136
07/22/2020, $0.1809, 21724, $0.1799, $0.181, $0.1602
07/21/2020, $0.1799, 20404, $0.2, $0.2, $0.16
07/20/2020, $0.199, 7931, $0.2002, $0.2002, $0.1799
07/17/2020, $0.1921, 10757, $0.1601, $0.22, $0.1601
07/16/2020, $0.2025, N/A, $0.2025, $0.2025, $0.2025
07/15/2020, $0.2025, N/A, $0.2025, $0.2025, $0.2025
07/14/2020, $0.2025, 4310, $0.26, $0.2605, $0.2
07/13/2020, $0.26, 9415, $0.23, $0.26, $0.215
07/10/2020, $0.2, 9689, $0.19, $0.2052, $0.19
07/09/2020, $0.1974, 11610, $0.1999, $0.1999, $0.1902
07/08/2020, $0.1902, 2454, $0.1901, $0.1912, $0.1901
07/07/2020, $0.1999, 32290, $0.155, $0.2101, $0.155
07/06/2020, $0.16, 57017, $0.14, $0.18, $0.14
07/02/2020, $0.1402, 5350, $0.14, $0.1799, $0.14
07/01/2020, $0.18, 28463, $0.1899, $0.2079, $0.13
06/30/2020, $0.16, 42568, $0.15, $0.17, $0.12
06/29/2020, $0.1399, 59110, $0.15, $0.15, $0.1199
06/26/2020, $0.1494, 2310, $0.1001, $0.1499, $0.1001
06/25/2020, $0.1693, 8040, $0.17, $0.17, $0.1693
06/24/2020, $0.14, 9481, $0.12, $0.14, $0.1
06/23/2020, $0.1649, 101, $0.1649, $0.1649, $0.1649
06/22/2020, $0.13, 47322, $0.15, $0.175, $0.13
06/19/2020, $0.14, 34647, $0.17, $0.1949, $0.135
06/18/2020, $0.15, 6000, $0.15, $0.15, $0.15
06/17/2020, $0.14, 63123, $0.181, $0.21, $0.14
06/16/2020, $0.1393, 10758, $0.119, $0.14, $0.119
06/15/2020, $0.14, 2941, $0.2, $0.2, $0.14
06/12/2020, $0.2, 4318, $0.15, $0.2, $0.13
06/11/2020, $0.13, 575, $0.13, $0.13, $0.13
06/10/2020, $0.13, 28975, $0.0922, $0.13, $0.07
06/09/2020, $0.0805, N/A, $0.0805, $0.0805, $0.0805
06/08/2020, $0.0805, 35600, $0.0585, $0.095, $0.0585
06/05/2020, $0.05, N/A, $0.05, $0.05, $0.05
06/04/2020, $0.05, 1000, $0.0501, $0.0501, $0.05
06/03/2020, $0.045, 7525, $0.0451, $0.0451, $0.045
06/02/2020, $0.0409, N/A, $0.0409, $0.0409, $0.0409
06/01/2020, $0.0409, N/A, $0.0409, $0.0409, $0.0409
05/29/2020, $0.0409, N/A, $0.0409, $0.0409, $0.0409
05/28/2020, $0.0409, 2270, $0.0409, $0.0409, $0.0409
05/27/2020, $0.044, 10000, $0.044, $0.044, $0.044
05/26/2020, $0.0409, 14890, $0.0548, $0.0548, $0.0408
05/22/2020, $0.0412, 7000, $0.0409, $0.0412, $0.0409
05/21/2020, $0.05, N/A, $0.05, $0.05, $0.05
05/20/2020, $0.05, 21690, $0.05, $0.05, $0.0454
05/19/2020, $0.05, 82535, $0.05, $0.05, $0.05
05/18/2020, $0.0409, N/A, $0.0409, $0.0409, $0.0409
05/15/2020, $0.0409, N/A, $0.0409, $0.0409, $0.0409
05/14/2020, $0.0409, N/A, $0.0409, $0.0409, $0.0409
05/13/2020, $0.0409, 3189, $0.0409, $0.0409, $0.0409
05/12/2020, $0.0409, 911, $0.0409, $0.0409, $0.0409
05/11/2020, $0.0501, N/A, $0.0501, $0.0501, $0.0501
