Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.76, 2223854, $0.7648, $0.7779, $0.7501
07/30/2020, $0.7687, 4484466, $0.75, $0.7821, $0.7349
07/29/2020, $0.7883, 4756384, $0.805, $0.81, $0.77
07/28/2020, $0.82, 11676910, $0.8, $0.895, $0.794
07/27/2020, $0.81, 2320082, $0.83, $0.83, $0.8
07/24/2020, $0.8298, 3121058, $0.8103, $0.8399, $0.794
07/23/2020, $0.8377, 8011062, $0.85, $0.8521, $0.8
07/22/2020, $0.812, 4205978, $0.81, $0.82, $0.7914
07/21/2020, $0.8325, 10145430, $0.8, $0.8699, $0.78
07/20/2020, $0.841, 12338540, $0.9, $0.901, $0.822
07/17/2020, $0.9118, 27235080, $0.9711, $0.988, $0.9
07/16/2020, $0.84, 102391600, $1.02, $1.15, $0.805
07/15/2020, $0.665, 15364150, $0.6362, $0.6931, $0.633
07/14/2020, $0.637, 3245384, $0.665, $0.665, $0.6001
07/13/2020, $0.6616, 2717859, $0.68, $0.6849, $0.65
07/10/2020, $0.6885, 2079853, $0.69, $0.69, $0.673
07/09/2020, $0.6913, 1883559, $0.6954, $0.7034, $0.6712
07/08/2020, $0.69, 2814833, $0.725, $0.729, $0.6804
07/07/2020, $0.6992, 3844019, $0.6679, $0.7, $0.65
07/06/2020, $0.6695, 2671133, $0.6805, $0.6912, $0.66
07/02/2020, $0.678, 3217885, $0.66, $0.68, $0.6521
07/01/2020, $0.6786, 3424105, $0.6875, $0.6894, $0.65
06/30/2020, $0.6746, 3045066, $0.69, $0.69, $0.67
06/29/2020, $0.6931, 3337235, $0.693, $0.6998, $0.6702
06/26/2020, $0.7, 5043392, $0.731, $0.7379, $0.685
06/25/2020, $0.721, 6213073, $0.684, $0.7489, $0.675
06/24/2020, $0.7001, 7203927, $0.73, $0.7349, $0.6808
06/23/2020, $0.735, 7084600, $0.75, $0.7895, $0.73
06/22/2020, $0.7901, 20593350, $0.678, $0.821, $0.66
06/19/2020, $0.826, 27090970, $0.866, $0.96, $0.69
06/18/2020, $0.87, 12722800, $0.919, $0.921, $0.85
06/17/2020, $0.906, 13671770, $0.939, $0.94, $0.8
06/16/2020, $0.968, 19851250, $0.975, $1.02, $0.9201
06/15/2020, $0.899, 24303850, $0.82, $0.965, $0.819
06/12/2020, $0.81, 6216856, $0.82, $0.825, $0.78
06/11/2020, $0.78, 9319203, $0.8, $0.86, $0.7709
06/10/2020, $0.8658, 12218340, $0.92, $0.93, $0.85
06/09/2020, $0.8783, 25207550, $0.8, $0.99, $0.775
06/08/2020, $0.7888, 10134410, $0.799, $0.8, $0.77
06/05/2020, $0.7887, 15122990, $0.82, $0.825, $0.75
06/04/2020, $0.793, 15703310, $0.77, $0.7997, $0.75
06/03/2020, $0.7494, 11333920, $0.77, $0.785, $0.722
06/02/2020, $0.7534, 19104640, $0.825, $0.83, $0.73
06/01/2020, $0.781, 26150920, $0.86, $0.86, $0.7592
05/29/2020, $1.14, 23105140, $0.8764, $1.2, $0.856
05/28/2020, $0.8513, 1950104, $0.86, $0.8798, $0.8201
05/27/2020, $0.848, 5328028, $0.89, $0.89, $0.7654
05/26/2020, $0.85, 12759090, $0.81, $0.96, $0.8095
05/22/2020, $0.74, 2593762, $0.67, $0.74, $0.65
05/21/2020, $0.67, 1368706, $0.65, $0.69, $0.64
05/20/2020, $0.654, 1423537, $0.6613, $0.68, $0.642
05/19/2020, $0.6445, 2956073, $0.61, $0.699, $0.61
05/18/2020, $0.6095, 2111605, $0.58, $0.61, $0.57
05/15/2020, $0.5516, 1699433, $0.535, $0.5749, $0.53
05/14/2020, $0.5391, 1495453, $0.549, $0.5698, $0.53
05/13/2020, $0.5478, 4236683, $0.6362, $0.64, $0.525
05/12/2020, $0.62, 4430618, $0.643, $0.65, $0.611
05/11/2020, $0.73, 10561350, $0.62, $0.76, $0.616
