Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.575, 156026, $0.61, $0.6189, $0.56
07/30/2020, $0.6001, 159715, $0.57, $0.62, $0.55
07/29/2020, $0.5678, 78349, $0.572, $0.6, $0.5423
07/28/2020, $0.5727, 107220, $0.59, $0.59, $0.5715
07/27/2020, $0.59, 91405, $0.5803, $0.6099, $0.5689
07/24/2020, $0.5851, 66087, $0.5935, $0.6199, $0.57
07/23/2020, $0.5962, 133688, $0.616, $0.63, $0.58
07/22/2020, $0.6083, 96293, $0.6249, $0.63, $0.5995
07/21/2020, $0.6045, 199041, $0.59, $0.62, $0.5591
07/20/2020, $0.582, 59721, $0.61, $0.61, $0.58
07/17/2020, $0.5904, 78639, $0.5528, $0.63, $0.5519
07/16/2020, $0.5812, 163724, $0.548, $0.6, $0.537
07/15/2020, $0.5405, 148143, $0.5602, $0.6, $0.5401
07/14/2020, $0.5649, 175701, $0.538, $0.5766, $0.53
07/13/2020, $0.5331, 26618, $0.5421, $0.5574, $0.525
07/10/2020, $0.531, 38823, $0.55, $0.56, $0.5229
07/09/2020, $0.5259, 46658, $0.534, $0.543, $0.52
07/08/2020, $0.52, 111642, $0.5291, $0.5565, $0.5121
07/07/2020, $0.526, 82811, $0.541, $0.559, $0.52
07/06/2020, $0.5672, 219105, $0.541, $0.5879, $0.535
07/02/2020, $0.5504, 72592, $0.565, $0.5705, $0.541
07/01/2020, $0.551, 123138, $0.577, $0.61, $0.5422
06/30/2020, $0.5782, 54398, $0.5503, $0.615, $0.5251
06/29/2020, $0.55, 189974, $0.53, $0.5599, $0.5
06/26/2020, $0.53, 1683558, $0.56, $0.5699, $0.481
06/25/2020, $0.56, 277522, $0.55, $0.56, $0.52
06/24/2020, $0.56, 371386, $0.6171, $0.6171, $0.5511
06/23/2020, $0.6295, 2569055, $0.58, $0.84, $0.5701
06/22/2020, $0.5641, 139314, $0.5635, $0.5896, $0.541
06/19/2020, $0.5667, 213340, $0.558, $0.5997, $0.5412
06/18/2020, $0.557, 194830, $0.587, $0.62, $0.541
06/17/2020, $0.595, 111100, $0.62, $0.634, $0.5807
06/16/2020, $0.6201, 179201, $0.6353, $0.65, $0.6011
06/15/2020, $0.6051, 287957, $0.6057, $0.6108, $0.5527
06/12/2020, $0.6057, 852057, $0.6522, $0.6994, $0.563
06/11/2020, $0.5901, 208483, $0.6119, $0.6119, $0.58
06/10/2020, $0.6746, 341809, $0.74, $0.77, $0.6274
06/09/2020, $0.7362, 548635, $0.87, $0.909, $0.7302
06/08/2020, $0.94, 1140624, $0.84, $0.95, $0.754
06/05/2020, $0.6097, 408631, $0.5345, $0.65, $0.518
06/04/2020, $0.507, 178459, $0.5139, $0.5221, $0.5
06/03/2020, $0.51, 207373, $0.496, $0.5299, $0.495
06/02/2020, $0.481, 101985, $0.5, $0.5078, $0.4752
06/01/2020, $0.49, 146269, $0.518, $0.5266, $0.4722
05/29/2020, $0.5199, 126299, $0.55, $0.5994, $0.5
05/28/2020, $0.55, 132500, $0.5469, $0.5904, $0.5349
05/27/2020, $0.5311, 95718, $0.535, $0.548, $0.5212
05/26/2020, $0.539, 276623, $0.548, $0.548, $0.5206
05/22/2020, $0.529, 80243, $0.5611, $0.5611, $0.505
05/21/2020, $0.5463, 140500, $0.5145, $0.59, $0.5
05/20/2020, $0.49, 50176, $0.4822, $0.5064, $0.4711
05/19/2020, $0.499, 69514, $0.53, $0.5565, $0.48
05/18/2020, $0.51, 260752, $0.46, $0.533, $0.46
05/15/2020, $0.455, 94198, $0.489, $0.489, $0.4376
05/14/2020, $0.4742, 65069, $0.47, $0.4893, $0.45
05/13/2020, $0.4657, 291353, $0.515, $0.515, $0.45
05/12/2020, $0.525, 225137, $0.568, $0.57, $0.491
05/11/2020, $0.541, 103030, $0.561, $0.589, $0.54
