Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.985, 297448, $0.99, $1.02, $0.9752
07/30/2020, $1.01, 205975, $1.01, $1.02, $0.972
07/29/2020, $0.9999, 665678, $1.04, $1.0408, $0.9613
07/28/2020, $1.04, 237919, $1.06, $1.06, $1
07/27/2020, $1.0109, 430815, $1.07, $1.07, $1
07/24/2020, $1.04, 1778364, $0.97, $1.09, $0.96
07/23/2020, $0.9701, 630286, $1.02, $1.0497, $0.9693
07/22/2020, $1.01, 891709, $1.02, $1.09, $0.972
07/21/2020, $1, 607833, $1.04, $1.04, $0.9753
07/20/2020, $1.0091, 1291133, $0.9773, $1.06, $0.9311
07/17/2020, $0.9308, 415438, $0.932, $0.99, $0.9211
07/16/2020, $0.9254, 362701, $0.9146, $0.9488, $0.8802
07/15/2020, $0.8943, 179281, $0.87, $0.8943, $0.8623
07/14/2020, $0.8908, 153788, $0.884, $0.92, $0.86
07/13/2020, $0.8954, 291845, $0.89, $0.95, $0.876
07/10/2020, $0.8886, 189960, $0.909, $0.91, $0.88
07/09/2020, $0.909, 262565, $0.909, $0.909, $0.87
07/08/2020, $0.925, 408581, $0.879, $0.9558, $0.8718
07/07/2020, $0.9, 359638, $0.8783, $0.91, $0.85
07/06/2020, $0.8883, 279843, $0.899, $0.9007, $0.85
07/02/2020, $0.899, 4248964, $0.93, $1.13, $0.85
07/01/2020, $0.9299, 228503, $0.94, $0.97, $0.9107
06/30/2020, $0.9624, 402169, $0.98, $1, $0.94
06/29/2020, $1.02, 383400, $0.99, $1.08, $0.971
06/26/2020, $0.97, 596588, $0.91, $1.02, $0.87
06/25/2020, $0.93, 901029, $0.98, $1.02, $0.9002
06/24/2020, $0.9601, 332014, $1.01, $1.03, $0.94
06/23/2020, $1.03, 2182826, $1.12, $1.12, $0.9
06/22/2020, $1.04, 475635, $1.15, $1.15, $1.02
06/19/2020, $1.05, 502824, $1.1, $1.17, $1.05
06/18/2020, $1.05, 287664, $1.1, $1.12, $1
06/17/2020, $1.1, 291316, $1.08, $1.1, $1.0201
06/16/2020, $1.05, 631649, $0.99, $1.1, $0.97
06/15/2020, $0.9316, 372170, $0.8925, $0.98, $0.82
06/12/2020, $0.8651, 140860, $0.888, $0.9324, $0.832
06/11/2020, $0.85, 395146, $0.947, $0.95, $0.805
06/10/2020, $0.9511, 419480, $0.997, $1, $0.94
06/09/2020, $0.948, 283559, $0.949, $0.95, $0.9
06/08/2020, $0.92, 698949, $0.92, $0.95, $0.86
06/05/2020, $0.9275, 585685, $1, $1.01, $0.895
06/04/2020, $0.93, 251539, $0.96, $0.99, $0.91
06/03/2020, $0.94, 301620, $0.9006, $0.99, $0.8654
06/02/2020, $0.909, 245840, $0.91, $0.91, $0.8408
06/01/2020, $0.91, 383374, $0.9, $0.95, $0.891
05/29/2020, $0.92, 286667, $0.9, $0.9651, $0.8705
05/28/2020, $0.89, 368213, $0.9, $0.9754, $0.86
05/27/2020, $0.8746, 171629, $0.872, $0.89, $0.81
05/26/2020, $0.8403, 435302, $0.86, $0.89, $0.7905
05/22/2020, $0.79, 403004, $0.7122, $0.82, $0.7122
05/21/2020, $0.7092, 85964, $0.7, $0.73, $0.6865
05/20/2020, $0.699, 164522, $0.699, $0.699, $0.655
05/19/2020, $0.6652, 145467, $0.668, $0.6772, $0.63
05/18/2020, $0.65, 219557, $0.69, $0.7199, $0.64
05/15/2020, $0.6805, 689522, $0.71, $0.8495, $0.6805
05/14/2020, $0.7153, 445710, $0.65, $0.74, $0.61
05/13/2020, $0.63, 229471, $0.67, $0.6748, $0.6
05/12/2020, $0.6746, 268328, $0.68, $0.6896, $0.651
05/11/2020, $0.685, 273058, $0.7, $0.74, $0.6599
