Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.33, 3641, $2.41, $2.41, $2.33
07/30/2020, $2.35, 2736, $2.25, $2.68, $2.25
07/29/2020, $2.25, 15580, $2.26, $2.26, $2.0501
07/28/2020, $2.2612, 39735, $2.05, $2.3926, $2.05
07/27/2020, $1.99, N/A, $1.99, $1.99, $1.99
07/24/2020, $1.99, 578, $1.99, $1.99, $1.99
07/23/2020, $2.02, 1210, $1.9001, $2.03, $1.9001
07/22/2020, $1.94, 2537, $1.9799, $1.9799, $1.9
07/21/2020, $2.0199, 251, $2.0199, $2.0199, $2.0199
07/20/2020, $1.97, N/A, $1.97, $1.97, $1.97
07/17/2020, $1.97, N/A, $1.97, $1.97, $1.97
07/16/2020, $1.97, 141, $1.97, $1.97, $1.97
07/15/2020, $1.97, 3104, $2.02, $2.02, $1.97
07/14/2020, $1.97, 3238, $1.99, $2, $1.97
07/13/2020, $2.03, 226, $2.03, $2.03, $2.03
07/10/2020, $1.9306, 939, $1.955, $1.955, $1.9306
07/09/2020, $1.97, 379, $2, $2, $1.97
07/08/2020, $1.98, 1006, $1.9371, $1.99, $1.9371
07/07/2020, $1.94, 1474, $1.921, $1.94, $1.921
07/06/2020, $2.025, 1929, $1.9913, $2.025, $1.9913
07/02/2020, $1.94, 1142, $2, $2, $1.94
07/01/2020, $2, 283, $2, $2, $2
06/30/2020, $2, N/A, $2, $2, $2
06/29/2020, $2, 7123, $1.8, $2.1, $1.65
06/26/2020, $1.9, 16149, $2.14, $2.1858, $1.9
06/25/2020, $2.13, 3034, $2.0201, $2.1505, $2.0201
06/24/2020, $2.12, 1684, $2.06, $2.12, $2.06
06/23/2020, $2.215, 1534, $2.2, $2.215, $2.2
06/22/2020, $2.17, 16234, $1.98, $2.4858, $1.98
06/19/2020, $1.97, 15027, $2.02, $2.14, $1.97
06/18/2020, $1.9754, 1288, $1.92, $1.9754, $1.92
06/17/2020, $1.95, 15116, $2.04, $2.04, $1.95
06/16/2020, $2.04, 1061, $2.03, $2.04, $2
06/15/2020, $1.94, 1396, $1.94, $2.02, $1.94
06/12/2020, $1.93, 2113, $1.894, $1.94, $1.83
06/11/2020, $1.94, 1008, $1.88, $1.94, $1.88
06/10/2020, $1.94, 2767, $1.85, $1.94, $1.85
06/09/2020, $1.94, 3466, $1.94, $1.94, $1.8601
06/08/2020, $1.92, 7521, $1.9263, $1.9706, $1.91
06/05/2020, $1.9633, 1922, $1.955, $1.976, $1.955
06/04/2020, $1.905, 839, $1.81, $1.905, $1.81
06/03/2020, $1.96, 2822, $1.97, $2.04, $1.91
06/02/2020, $2, 3292, $2.02, $2.03, $1.97
06/01/2020, $2.04, 3389, $2.02, $2.04, $2.02
05/29/2020, $2.02, 9968, $2.02, $2.03, $1.91
05/28/2020, $2, 12011, $2.02, $2.02, $1.93
05/27/2020, $2.02, 1469, $2.03, $2.04, $2.02
05/26/2020, $2.0202, 3026, $2.05, $2.05, $2.02
05/22/2020, $2.04, 5004, $2.02, $2.04, $2.01
05/21/2020, $2.02, 10055, $2.02, $2.04, $2.02
05/20/2020, $2.04, 4027, $2.01, $2.04, $2.01
05/19/2020, $2.0201, 7644, $2.02, $2.03, $2.02
05/18/2020, $2.035, 11251, $2.02, $2.139, $2.02
05/15/2020, $2.0001, 7460, $2.0001, $2.0001, $2.0001
05/14/2020, $2.09, 245, $2.09, $2.09, $2.09
05/13/2020, $2.02, 21921, $2.0642, $2.07, $2.01
05/12/2020, $2.0203, 7735, $2.01, $2.0507, $2.01
05/11/2020, $2.02, 12358, $2.2399, $2.2399, $2.01
