Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.4757, 1067236, $0.4869, $0.4954, $0.457
07/30/2020, $0.4949, 1113582, $0.49, $0.505, $0.451
07/29/2020, $0.4888, 4182919, $0.5017, $0.5294, $0.461
07/28/2020, $0.5307, 9598984, $0.539, $0.6492, $0.49
07/27/2020, $0.5091, 716377, $0.52, $0.5209, $0.5025
07/24/2020, $0.514, 442347, $0.54, $0.54, $0.511
07/23/2020, $0.5379, 1344305, $0.5388, $0.542, $0.512
07/22/2020, $0.571, 471492, $0.57, $0.58, $0.561
07/21/2020, $0.5796, 1252399, $0.55, $0.588, $0.55
07/20/2020, $0.55, 712018, $0.56, $0.56, $0.5307
07/17/2020, $0.545, 677917, $0.529, $0.565, $0.526
07/16/2020, $0.5363, 576249, $0.5102, $0.537, $0.5102
07/15/2020, $0.52, 640834, $0.5237, $0.54, $0.5102
07/14/2020, $0.5241, 964933, $0.5, $0.5275, $0.485
07/13/2020, $0.502, 3328024, $0.54, $0.54, $0.484
07/10/2020, $0.5485, 1818098, $0.56, $0.5749, $0.5321
07/09/2020, $0.5799, 2340065, $0.62, $0.62, $0.57
07/08/2020, $0.6158, 2250469, $0.58, $0.6187, $0.5525
07/07/2020, $0.5825, 1781946, $0.595, $0.6075, $0.57
07/06/2020, $0.6216, 2706123, $0.65, $0.65, $0.5992
07/02/2020, $0.6401, 3875445, $0.7, $0.7015, $0.611
07/01/2020, $0.7222, 18728670, $0.795, $0.82, $0.6565
06/30/2020, $0.5729, 2969761, $0.67, $0.67, $0.5547
06/29/2020, $0.5607, 637388, $0.5351, $0.58, $0.52
06/26/2020, $0.5348, 810980, $0.53, $0.586, $0.52
06/25/2020, $0.5444, 472448, $0.5378, $0.5559, $0.5152
06/24/2020, $0.5383, 818162, $0.5426, $0.56, $0.5188
06/23/2020, $0.5346, 721235, $0.5954, $0.5977, $0.5301
06/22/2020, $0.5654, 420785, $0.59, $0.598, $0.5622
06/19/2020, $0.5754, 292392, $0.585, $0.605, $0.5701
06/18/2020, $0.5928, 282828, $0.6, $0.62, $0.581
06/17/2020, $0.5975, 413229, $0.6055, $0.63, $0.5901
06/16/2020, $0.5901, 229552, $0.611, $0.638, $0.5815
06/15/2020, $0.6, 150147, $0.58, $0.6155, $0.57
06/12/2020, $0.6, 289319, $0.6, $0.63, $0.576
06/11/2020, $0.579, 490893, $0.62, $0.62, $0.55
06/10/2020, $0.6206, 417173, $0.68, $0.69, $0.591
06/09/2020, $0.6638, 252901, $0.69, $0.69, $0.6601
06/08/2020, $0.6729, 531025, $0.69, $0.69, $0.62
06/05/2020, $0.6688, 1099341, $0.6, $0.69, $0.57
06/04/2020, $0.58, 254917, $0.5723, $0.599, $0.5631
06/03/2020, $0.58, 162582, $0.5772, $0.587, $0.5555
06/02/2020, $0.5661, 163659, $0.58, $0.58, $0.5505
06/01/2020, $0.5799, 146965, $0.5516, $0.5999, $0.55
05/29/2020, $0.565, 205202, $0.5722, $0.5997, $0.54
05/28/2020, $0.574, 78030, $0.6, $0.6098, $0.5602
05/27/2020, $0.5999, 287573, $0.578, $0.615, $0.5551
05/26/2020, $0.5763, 195371, $0.5688, $0.58, $0.5601
05/22/2020, $0.5688, 209200, $0.59, $0.59, $0.551
05/21/2020, $0.5873, 186010, $0.5848, $0.6, $0.56
05/20/2020, $0.557, 407276, $0.6, $0.61, $0.55
05/19/2020, $0.5952, 256658, $0.63, $0.63, $0.5806
05/18/2020, $0.61, 467190, $0.619, $0.65, $0.59
05/15/2020, $0.625, 302438, $0.6125, $0.6431, $0.6
05/14/2020, $0.609, 572012, $0.68, $0.68, $0.5535
05/13/2020, $0.6862, 694382, $0.759, $0.765, $0.65
05/12/2020, $0.737, 1478970, $0.64, $0.76, $0.64
05/11/2020, $0.625, 945074, $0.65, $0.65, $0.565
