Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.29, 807707, $2.35, $2.35, $2.25
07/30/2020, $2.35, 1189798, $2.27, $2.37, $2.25
07/29/2020, $2.29, 1139053, $2.23, $2.32, $2.2
07/28/2020, $2.23, 986971, $2.29, $2.3, $2.17
07/27/2020, $2.27, 1873053, $2.44, $2.48, $2.23
07/24/2020, $2.4, 3411951, $2.29, $2.48, $2.13
07/23/2020, $2.26, 2456363, $2.43, $2.5, $2.21
07/22/2020, $2.4, 2942484, $2.22, $2.42, $2.15
07/21/2020, $2.22, 1371417, $2.24, $2.265, $2.12
07/20/2020, $2.23, 2531538, $2.28, $2.295, $2.15
07/17/2020, $2.15, 7678223, $2.04, $2.43, $2.03
07/16/2020, $1.99, 1378669, $1.82, $1.99, $1.735
07/15/2020, $1.82, 1466259, $1.75, $1.87, $1.71
07/14/2020, $1.71, 2081829, $1.8, $1.825, $1.6301
07/13/2020, $1.83, 1715721, $1.92, $1.92, $1.8273
07/10/2020, $1.93, 1757399, $1.96, $2.05, $1.89
07/09/2020, $1.88, 3033969, $1.95, $1.96, $1.75
07/08/2020, $1.94, 2627726, $2.05, $2.05, $1.9
07/07/2020, $2.03, 2212677, $2.1, $2.14, $2.01
07/06/2020, $2.15, 1881024, $2.15, $2.18, $2.08
07/02/2020, $2.12, 1116936, $2.13, $2.17, $2.09
07/01/2020, $2.12, 1543769, $2.25, $2.25, $2.09
06/30/2020, $2.2, 1420455, $2.13, $2.2299, $2.07
06/29/2020, $2.12, 1501093, $2.11, $2.2, $2.05
06/26/2020, $2.1, 2421055, $2.19, $2.19, $2.08
06/25/2020, $2.2, 1934185, $2.21, $2.29, $2.16
06/24/2020, $2.25, 3114589, $2.29, $2.31, $2.11
06/23/2020, $2.31, 6483014, $2.51, $2.57, $2.26
06/22/2020, $2.24, 2049411, $2.27, $2.33, $2.21
06/19/2020, $2.31, 4345287, $2.23, $2.43, $2.16
06/18/2020, $2.19, 2677465, $2.19, $2.29, $2.1
06/17/2020, $2.25, 3537370, $2.28, $2.305, $2.21
06/16/2020, $2.42, 2981831, $2.44, $2.45, $2.28
06/15/2020, $2.36, 3294402, $2.25, $2.46, $2.16
06/12/2020, $2.31, 2553963, $2.42, $2.45, $2.27
06/11/2020, $2.36, 3767238, $2.4, $2.5, $2.28
06/10/2020, $2.53, 4550304, $2.64, $2.64, $2.51
06/09/2020, $2.6, 3412998, $2.62, $2.7, $2.52
06/08/2020, $2.62, 5932870, $2.72, $2.84, $2.6
06/05/2020, $2.61, 4220767, $2.56, $2.75, $2.53
06/04/2020, $2.63, 7699898, $2.6, $2.89, $2.48
06/03/2020, $2.75, 9837905, $2.9, $2.99, $2.65
06/02/2020, $3.08, 31082450, $2.39, $3.31, $2.3
06/01/2020, $2.48, 5259745, $2.54, $2.61, $2.4
05/29/2020, $2.59, 5106099, $2.65, $2.7, $2.51
05/28/2020, $2.67, 7369695, $2.62, $2.87, $2.5101
05/27/2020, $2.59, 8773360, $2.76, $2.8, $2.51
05/26/2020, $2.85, 12737380, $3.05, $3.11, $2.71
05/22/2020, $3.03, 16739440, $2.99, $3.35, $2.81
05/21/2020, $3.09, 64271240, $2.75, $3.46, $2.34
05/20/2020, $2.96, 147139200, $3.21, $4.8891, $2.81
05/19/2020, $3.4, 331855200, $1.24, $3.97, $1.14
05/18/2020, $0.7698, 660625, $0.79, $0.79, $0.7568
05/15/2020, $0.7997, 457560, $0.78, $0.824, $0.73
05/14/2020, $0.78, 949733, $0.765, $0.78, $0.705
05/13/2020, $0.8386, 836561, $0.8895, $0.8895, $0.74
05/12/2020, $0.8686, 1258564, $0.965, $0.97, $0.84
05/11/2020, $0.9809, 2353657, $0.8908, $1.07, $0.82
