Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.6656, 16932730, $0.705, $0.725, $0.632
07/30/2020, $0.675, 21183130, $0.6506, $0.7299, $0.64
07/29/2020, $0.69, 39329910, $0.76, $0.7801, $0.67
07/28/2020, $0.7825, 63202570, $0.93, $0.945, $0.7556
07/27/2020, $0.985, 63273690, $0.9696, $1.05, $0.93
07/24/2020, $0.8591, 77024020, $0.7477, $1, $0.7202
07/23/2020, $0.81, 42853030, $0.8848, $0.895, $0.7606
07/22/2020, $0.8474, 118746400, $1.06, $1.07, $0.8311
07/21/2020, $1.23, 318088400, $0.746, $1.34, $0.72
07/20/2020, $0.69, 35832680, $0.6947, $0.73, $0.652
07/17/2020, $0.6151, 42352340, $0.6164, $0.68, $0.565
07/16/2020, $0.604, 52809240, $0.55, $0.643, $0.54
07/15/2020, $0.54, 20598680, $0.54, $0.559, $0.5053
07/14/2020, $0.5044, 11476870, $0.5099, $0.512, $0.482
07/13/2020, $0.4994, 17372740, $0.5249, $0.5475, $0.4906
07/10/2020, $0.5114, 12055330, $0.52, $0.535, $0.5
07/09/2020, $0.4962, 13296640, $0.5, $0.515, $0.48
07/08/2020, $0.4938, 10150590, $0.5165, $0.5199, $0.4808
07/07/2020, $0.508, 12338920, $0.525, $0.5399, $0.4909
07/06/2020, $0.54, 33738680, $0.52, $0.5761, $0.498
07/02/2020, $0.4896, 8977643, $0.504, $0.51, $0.4803
07/01/2020, $0.5095, 16466060, $0.4872, $0.527, $0.477
06/30/2020, $0.4831, 11042600, $0.4875, $0.495, $0.46
06/29/2020, $0.4891, 14896470, $0.5069, $0.5199, $0.4725
06/26/2020, $0.4658, 18342890, $0.4989, $0.4989, $0.43
06/25/2020, $0.4941, 37785660, $0.581, $0.5887, $0.4758
06/24/2020, $0.5336, 37265060, $0.5875, $0.59, $0.51
06/23/2020, $0.5763, 97591680, $0.489, $0.635, $0.44
06/22/2020, $0.4813, 12729260, $0.4999, $0.5038, $0.4636
06/19/2020, $0.4661, 10103250, $0.495, $0.509, $0.4501
06/18/2020, $0.4903, 15652610, $0.5, $0.5499, $0.4661
06/17/2020, $0.504, 28566520, $0.57, $0.5738, $0.482
06/16/2020, $0.585, 118361300, $0.75, $0.89, $0.562
06/15/2020, $0.67, 126627500, $0.42, $0.7177, $0.41
06/12/2020, $0.414, 4561387, $0.4398, $0.44, $0.3912
06/11/2020, $0.4049, 9726008, $0.46, $0.46, $0.3906
06/10/2020, $0.49, 8382253, $0.535, $0.57, $0.482
06/09/2020, $0.5069, 10333030, $0.49, $0.54, $0.465
06/08/2020, $0.4867, 7606376, $0.483, $0.5199, $0.465
06/05/2020, $0.4631, 5642436, $0.4748, $0.4799, $0.4401
06/04/2020, $0.48, 16922890, $0.4453, $0.52, $0.43
06/03/2020, $0.4399, 6149872, $0.45, $0.4545, $0.4222
06/02/2020, $0.444, 7546752, $0.4011, $0.4633, $0.3985
06/01/2020, $0.405, 2562709, $0.4, $0.4109, $0.384
05/29/2020, $0.403, 3582535, $0.405, $0.412, $0.395
05/28/2020, $0.4088, 3059864, $0.42, $0.4299, $0.4005
05/27/2020, $0.4174, 4215583, $0.4234, $0.44, $0.4
05/26/2020, $0.42, 4965298, $0.4, $0.4349, $0.395
05/22/2020, $0.4035, 5445152, $0.414, $0.42, $0.385
05/21/2020, $0.425, 11345110, $0.418, $0.4438, $0.41
05/20/2020, $0.455, 45291770, $0.409, $0.49, $0.362
05/19/2020, $0.3663, 2538390, $0.3636, $0.375, $0.3596
05/18/2020, $0.3696, 4042839, $0.365, $0.375, $0.3521
05/15/2020, $0.3691, 3893057, $0.355, $0.3691, $0.343
05/14/2020, $0.36, 2727895, $0.375, $0.3762, $0.342
05/13/2020, $0.3704, 6950083, $0.4002, $0.426, $0.36
05/12/2020, $0.4034, 13880490, $0.3988, $0.439, $0.3843
05/11/2020, $0.3925, 11785290, $0.4, $0.418, $0.385
