Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.6849, 120650, $0.71, $0.71, $0.6
07/30/2020, $0.6901, 60340, $0.6902, $0.6937, $0.6627
07/29/2020, $0.69, 66296, $0.69, $0.7, $0.68
07/28/2020, $0.69, 28641, $0.715, $0.715, $0.69
07/27/2020, $0.6906, 84008, $0.71, $0.74, $0.6752
07/24/2020, $0.67, 34451, $0.6702, $0.69, $0.6507
07/23/2020, $0.68, 77956, $0.68, $0.69, $0.68
07/22/2020, $0.68, 57986, $0.73, $0.7301, $0.67
07/21/2020, $0.68, 36531, $0.7199, $0.74, $0.6504
07/20/2020, $0.71, 41096, $0.67, $0.73, $0.67
07/17/2020, $0.66, 48480, $0.7, $0.7, $0.65
07/16/2020, $0.6715, 49357, $0.6502, $0.695, $0.65
07/15/2020, $0.65, 26296, $0.6802, $0.6994, $0.635
07/14/2020, $0.67, 35905, $0.6601, $0.6987, $0.63
07/13/2020, $0.6503, 107612, $0.72, $0.78, $0.6503
07/10/2020, $0.6999, 78724, $0.71, $0.74, $0.6631
07/09/2020, $0.6796, 24634, $0.6693, $0.69, $0.63
07/08/2020, $0.62, 12818, $0.73, $0.73, $0.6001
07/07/2020, $0.6, 119092, $0.7037, $0.725, $0.6
07/06/2020, $0.7037, 160204, $0.75, $0.78, $0.69
07/02/2020, $0.75, 60844, $0.72, $0.77, $0.675
07/01/2020, $0.73, 176306, $0.8, $0.85, $0.6511
06/30/2020, $0.72, 238390, $0.89, $0.89, $0.7
06/29/2020, $0.77, 338346, $0.69, $0.8795, $0.685
06/26/2020, $0.5784, 166013, $0.65, $0.67, $0.52
06/25/2020, $0.6188, 94673, $0.59, $0.69, $0.4815
06/24/2020, $0.58, 170665, $0.7, $0.7, $0.52
06/23/2020, $0.6462, 213282, $0.78, $0.78, $0.611
06/22/2020, $0.67, 189961, $0.79, $0.79, $0.6
06/19/2020, $0.75, 252884, $0.9301, $0.9301, $0.7463
06/18/2020, $0.7701, 434951, $1.05, $1.05, $0.751
06/17/2020, $0.85, 869428, $1.47, $3.02, $0.8
06/16/2020, $0.5489, 42327, $0.4, $0.6, $0.386
06/15/2020, $0.0001, N/A, $0.0001, $0.0001, $0.0001
06/12/2020, $0.0001, N/A, $0.0001, $0.0001, $0.0001
