Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.52, 24678, $1.575, $1.63, $1.51
07/30/2020, $1.65, 11709, $1.63, $1.67, $1.62
07/29/2020, $1.62, 9741, $1.72, $1.72, $1.58
07/28/2020, $1.7, 12282, $1.625, $1.73, $1.616
07/27/2020, $1.57, 14885, $1.51, $1.62, $1.51
07/24/2020, $1.51, 31239, $1.7, $1.82, $1.51
07/23/2020, $1.64, 73543, $1.78, $1.79, $1.64
07/22/2020, $1.79, 91907, $2.07, $2.16, $1.79
07/21/2020, $2.11, 11396, $2.2, $2.2, $2.07
07/20/2020, $2.15, 16444, $2.16, $2.1787, $2.05
07/17/2020, $2.05, 22203, $2.13, $2.21, $2.05
07/16/2020, $2.1, 26716, $2.13, $2.19, $2.1
07/15/2020, $2.14, 8125, $2.03, $2.2, $2.03
07/14/2020, $2.03, 113719, $2.17, $2.2719, $2.02
07/13/2020, $2.09, 14373, $1.91, $2.09, $1.9
07/10/2020, $2, 29231, $1.88, $2.0387, $1.88
07/09/2020, $1.88, 40087, $1.84, $2.07, $1.7486
07/08/2020, $1.85, 14035, $1.92, $1.96, $1.8001
07/07/2020, $1.89, 16047, $1.81, $1.99, $1.81
07/06/2020, $1.95, 29107, $2.15, $2.2, $1.95
07/02/2020, $2.08, 110771, $1.93, $2.28, $1.88
07/01/2020, $1.83, 13856, $1.9, $1.93, $1.8
06/30/2020, $1.93, 26419, $1.74, $1.9894, $1.74
06/29/2020, $1.67, 56719, $1.79, $1.825, $1.6281
06/26/2020, $1.79, 31245, $1.76, $1.91, $1.75
06/25/2020, $1.78, 46285, $1.93, $1.935, $1.68
06/24/2020, $1.95, 107054, $2.24, $2.35, $1.9
06/23/2020, $2.25, 27248, $2.19, $2.35, $2.17
06/22/2020, $2.21, 94580, $2.61, $2.61, $2.08
06/19/2020, $2.36, 324336, $2.14, $2.7, $2.12
06/18/2020, $2.45, 3542459, $2.5, $2.7, $1.74
06/17/2020, $1.9, 507519, $1.55, $1.96, $1.47
06/16/2020, $1.54, 30159, $1.67, $1.67, $1.42
06/15/2020, $1.69, 38208, $1.7, $1.7, $1.51
06/12/2020, $1.7, 172991, $1.41, $1.75, $1.33
06/11/2020, $1.325, 177371, $1.47, $1.47, $1.325
06/10/2020, $1.45, 17870, $1.41, $1.66, $1.41
06/09/2020, $1.51, 88168, $1.69, $1.79, $1.5061
06/08/2020, $1.45, 127303, $1.35, $1.56, $1.24
06/05/2020, $1.3, 21917, $1.25, $1.31, $1.25
06/04/2020, $1.265, 12757, $1.26, $1.3278, $1.25
06/03/2020, $1.2713, 12488, $1.24, $1.33, $1.24
06/02/2020, $1.27, 20835, $1.26, $1.42, $1.11
06/01/2020, $1.325, 29637, $1.22, $1.3701, $1.2
05/29/2020, $1.2, 155431, $1.2, $1.61, $1.2
05/28/2020, $1.2, 22785, $1.23, $1.44, $1.2
05/27/2020, $1.18, 126966, $1.06, $1.27, $1.06
05/26/2020, $1.08, 17374, $1.14, $1.14, $1.0773
05/22/2020, $1.13, 10965, $1.07, $1.13, $1.06
05/21/2020, $1.06, 6551, $1.09, $1.1, $1.06
05/20/2020, $1.1, 12917, $1.09, $1.13, $1.0355
05/19/2020, $1.0529, 100929, $1.14, $1.2, $0.9933
05/18/2020, $1.1394, 29686, $1.14, $1.14, $1.11
05/15/2020, $1.125, 1813, $1.105, $1.125, $1.105
05/14/2020, $1.115, 3596, $1.11, $1.14, $1.08
05/13/2020, $1.1004, 3880, $1.0836, $1.12, $1.05
05/12/2020, $1.12, 3387, $1.1, $1.14, $1.08
05/11/2020, $1.08, 10202, $1.14, $1.14, $1.05
