Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.53, 159850, $1.65, $1.65, $1.46
07/30/2020, $1.58, 446410, $1.71, $1.75, $1.36
07/29/2020, $1.74, 98518, $1.72, $1.78, $1.7
07/28/2020, $1.7, 273927, $1.93, $1.93, $1.68
07/27/2020, $1.88, 1862367, $1.63, $1.98, $1.5
07/24/2020, $1.62, 126495, $1.67, $1.67, $1.6
07/23/2020, $1.65, 209376, $1.76, $1.76, $1.6
07/22/2020, $1.74, 211071, $1.93, $1.93, $1.72
07/21/2020, $1.8, 1107505, $1.65, $1.94, $1.61
07/20/2020, $1.66, 170783, $1.64, $1.7, $1.59
07/17/2020, $1.65, 120943, $1.49, $1.65, $1.49
07/16/2020, $1.49, 42896, $1.57, $1.57, $1.46
07/15/2020, $1.5405, 156845, $1.48, $1.5799, $1.48
07/14/2020, $1.4497, 306690, $1.4, $1.61, $1.4
07/13/2020, $1.41, 110349, $1.45, $1.5, $1.41
07/10/2020, $1.44, 49941, $1.46, $1.46, $1.43
07/09/2020, $1.43, 114839, $1.45, $1.48, $1.41
07/08/2020, $1.46, 90236, $1.44, $1.49, $1.44
07/07/2020, $1.47, 42440, $1.49, $1.49, $1.45
07/06/2020, $1.48, 146284, $1.47, $1.5, $1.43
07/02/2020, $1.47, 239476, $1.52, $1.57, $1.4601
07/01/2020, $1.54, 155107, $1.56, $1.6032, $1.51
06/30/2020, $1.575, 119776, $1.63, $1.6513, $1.56
06/29/2020, $1.61, 98628, $1.58, $1.64, $1.58
06/26/2020, $1.57, 113296, $1.63, $1.64, $1.56
06/25/2020, $1.62, 157070, $1.57, $1.64, $1.57
06/24/2020, $1.58, 185544, $1.62, $1.64, $1.55
06/23/2020, $1.64, 155801, $1.65, $1.72, $1.6
06/22/2020, $1.67, 293773, $1.65, $1.69, $1.56
06/19/2020, $1.63, 221029, $1.68, $1.73, $1.63
06/18/2020, $1.65, 118318, $1.67, $1.74, $1.64
06/17/2020, $1.69, 198049, $1.8, $1.8001, $1.67
06/16/2020, $1.75, 394408, $1.79, $1.85, $1.68
06/15/2020, $1.68, 435243, $1.66, $1.88, $1.61
06/12/2020, $1.6999, 363574, $1.71, $1.79, $1.61
06/11/2020, $1.684, 761700, $1.6, $1.73, $1.54
06/10/2020, $1.98, 2475002, $2.5, $2.55, $1.8
06/09/2020, $2.07, 2015253, $1.95, $2.1999, $1.67
06/08/2020, $1.9, 1352939, $1.65, $2.06, $1.65
06/05/2020, $1.67, 881172, $1.63, $1.83, $1.56
06/04/2020, $1.68, 1079783, $1.51, $1.79, $1.5
06/03/2020, $1.53, 282860, $1.52, $1.54, $1.49
06/02/2020, $1.54, 199485, $1.55, $1.5501, $1.47
06/01/2020, $1.55, 453056, $1.53, $1.58, $1.5
05/29/2020, $1.52, 486504, $1.49, $1.53, $1.38
05/28/2020, $1.48, 312700, $1.46, $1.51, $1.45
05/27/2020, $1.48, 276470, $1.48, $1.52, $1.41
05/26/2020, $1.5, 409484, $1.55, $1.55, $1.44
05/22/2020, $1.56, 641560, $1.68, $1.6801, $1.5
05/21/2020, $1.62, 1368422, $1.52, $1.66, $1.48
05/20/2020, $1.5, 615129, $1.45, $1.53, $1.42
05/19/2020, $1.43, 421352, $1.5, $1.53, $1.43
05/18/2020, $1.48, 1172942, $1.39, $1.54, $1.37
05/15/2020, $1.34, 555370, $1.32, $1.3998, $1.28
05/14/2020, $1.32, 249979, $1.38, $1.38, $1.27
05/13/2020, $1.36, 480851, $1.39, $1.405, $1.26
05/12/2020, $1.41, 317221, $1.44, $1.44, $1.39
05/11/2020, $1.41, 291862, $1.44, $1.45, $1.39
