Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.22, 159115, $3.18, $3.23, $3.06
07/30/2020, $3.18, 76258, $3.22, $3.22, $3.11
07/29/2020, $3.22, 113753, $3.28, $3.2858, $3.14
07/28/2020, $3.28, 121247, $3.36, $3.43, $3.27
07/27/2020, $3.39, 63672, $3.36, $3.42, $3.27
07/24/2020, $3.36, 59455, $3.48, $3.5, $3.32
07/23/2020, $3.47, 66002, $3.38, $3.47, $3.345
07/22/2020, $3.42, 104832, $3.38, $3.5, $3.27
07/21/2020, $3.4, 101188, $3.35, $3.4799, $3.2966
07/20/2020, $3.4, 83804, $3.45, $3.45, $3.2393
07/17/2020, $3.46, 56217, $3.39, $3.56, $3.34
07/16/2020, $3.41, 67093, $3.45, $3.45, $3.31
07/15/2020, $3.45, 122979, $3.33, $3.57, $3.29
07/14/2020, $3.27, 135800, $3.09, $3.31, $3.09
07/13/2020, $3.1, 143379, $3.22, $3.27, $3.09
07/10/2020, $3.22, 117009, $3.31, $3.32, $3.2
07/09/2020, $3.31, 200433, $3.45, $3.45, $3.205
07/08/2020, $3.465, 164377, $3.51, $3.51, $3.41
07/07/2020, $3.485, 152965, $3.68, $3.69, $3.46
07/06/2020, $3.65, 193937, $3.71, $3.72, $3.5
07/02/2020, $3.66, 125008, $3.65, $3.75, $3.59
07/01/2020, $3.61, 172101, $3.56, $3.72, $3.46
06/30/2020, $3.55, 157332, $3.59, $3.66, $3.47
06/29/2020, $3.52, 227109, $4, $4.12, $3.46
06/26/2020, $3.94, 4711650, $3.82, $4.23, $3.82
06/25/2020, $3.96, 672996, $3.26, $3.99, $3.26
06/24/2020, $3.33, 273821, $3.66, $3.8, $3.265
06/23/2020, $3.6, 222246, $3.64, $3.74, $3.44
06/22/2020, $3.55, 257679, $3.54, $3.73, $3.51
06/19/2020, $3.55, 596142, $3.29, $3.56, $3.2101
06/18/2020, $3.14, 455978, $3.8, $3.88, $3.14
06/17/2020, $3.76, 260324, $4.12, $4.3596, $3.75
06/16/2020, $4.15, 484550, $4.65, $4.79, $4.11
06/15/2020, $4.6, 502662, $4.1, $4.6, $3.97
06/12/2020, $4.1, 420518, $3.83, $4.2, $3.8135
06/11/2020, $3.73, 158127, $3.78, $3.89, $3.68
06/10/2020, $3.96, 126390, $3.86, $3.97, $3.82
06/09/2020, $3.87, 123954, $3.8, $4, $3.8
06/08/2020, $3.85, 160865, $3.89, $4, $3.85
06/05/2020, $3.89, 190338, $3.84, $3.91, $3.73
06/04/2020, $3.84, 164259, $3.91, $3.95, $3.78
06/03/2020, $3.95, 276397, $3.87, $3.95, $3.68
06/02/2020, $3.71, 271010, $3.42, $3.75, $3.41
06/01/2020, $3.46, 60296, $3.45, $3.5, $3.3805
05/29/2020, $3.46, 187978, $3.38, $3.49, $3.29
05/28/2020, $3.4, 120732, $3.36, $3.46, $3.31
05/27/2020, $3.36, 106204, $3.39, $3.4, $3.25
05/26/2020, $3.42, 122827, $3.48, $3.48, $3.3
05/22/2020, $3.45, 90781, $3.46, $3.46, $3.31
05/21/2020, $3.44, 142430, $3.38, $3.47, $3.3
05/20/2020, $3.4, 158293, $3.38, $3.43, $3.29
05/19/2020, $3.26, 342474, $3.18, $3.37, $3.18
05/18/2020, $3.2, 103144, $3.08, $3.22, $3.04
05/15/2020, $3.06, 94606, $2.96, $3.12, $2.91
05/14/2020, $3.01, 111240, $3.05, $3.115, $2.88
05/13/2020, $3.1, 164230, $3.16, $3.27, $3.05
05/12/2020, $3.25, 119334, $3.17, $3.25, $3.14
05/11/2020, $3.15, 79774, $3.07, $3.3, $3.02
