Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.96, 252836, $4.14, $4.2, $3.9
07/30/2020, $4.13, 298914, $4.24, $4.28, $4.1
07/29/2020, $4.26, 220465, $4.41, $4.41, $4.21
07/28/2020, $4.36, 313189, $4.26, $4.43, $4.21
07/27/2020, $4.27, 384874, $4.14, $4.27, $4.13
07/24/2020, $4.14, 448407, $4.15, $4.19, $4.02
07/23/2020, $4.13, 374512, $3.94, $4.14, $3.92
07/22/2020, $3.92, 223009, $4.04, $4.04, $3.87
07/21/2020, $4.05, 507786, $4.04, $4.0791, $3.87
07/20/2020, $3.99, 706675, $3.833, $4.095, $3.83
07/17/2020, $3.8, 408963, $3.65, $3.81, $3.61
07/16/2020, $3.64, 283424, $3.7, $3.75, $3.59
07/15/2020, $3.7, 478726, $3.57, $3.75, $3.57
07/14/2020, $3.51, 179976, $3.46, $3.55, $3.405
07/13/2020, $3.41, 361155, $3.7, $3.71, $3.4
07/10/2020, $3.66, 340716, $3.71, $3.76, $3.62
07/09/2020, $3.7, 326549, $3.82, $3.82, $3.6
07/08/2020, $3.8, 431551, $3.62, $3.815, $3.58
07/07/2020, $3.61, 434829, $3.74, $3.74, $3.49
07/06/2020, $3.75, 656275, $3.78, $3.79, $3.64
07/02/2020, $3.64, 875470, $3.59, $3.72, $3.45
07/01/2020, $3.49, 511997, $3.43, $3.5, $3.34
06/30/2020, $3.46, 315658, $3.38, $3.4932, $3.3
06/29/2020, $3.33, 312970, $3.2, $3.36, $3.16
06/26/2020, $3.22, 3289279, $3.35, $3.3899, $3.03
06/25/2020, $3.38, 356282, $3.33, $3.44, $3.29
06/24/2020, $3.33, 605428, $3.46, $3.5, $3.27
06/23/2020, $3.45, 362843, $3.46, $3.55, $3.4
06/22/2020, $3.45, 325828, $3.55, $3.6, $3.42
06/19/2020, $3.54, 743813, $3.3, $3.5696, $3.29
06/18/2020, $3.28, 1011845, $3.45, $3.46, $3.22
06/17/2020, $3.39, 350505, $3.48, $3.5, $3.33
06/16/2020, $3.44, 502462, $3.45, $3.5, $3.38
06/15/2020, $3.39, 495657, $3.45, $3.45, $3.37
06/12/2020, $3.52, 382352, $3.46, $3.62, $3.46
06/11/2020, $3.4, 576361, $3.65, $3.65, $3.4
06/10/2020, $3.78, 537398, $3.92, $3.99, $3.7
06/09/2020, $3.92, 1187750, $4.2, $4.2, $3.79
06/08/2020, $4.22, 780400, $4.2, $4.4, $4
06/05/2020, $4.14, 614866, $4.47, $4.62, $4.1
06/04/2020, $4.44, 1584002, $4.8, $4.8, $3.71
06/03/2020, $4.89, 479785, $5, $5.01, $4.8
06/02/2020, $4.84, 516764, $4.73, $4.99, $4.62
06/01/2020, $4.58, 350143, $4.55, $4.7374, $4.44
05/29/2020, $4.48, 139615, $4.47, $4.54, $4.3324
05/28/2020, $4.46, 206092, $4.5, $4.56, $4.41
05/27/2020, $4.45, 263348, $4.64, $4.66, $4.26
05/26/2020, $4.57, 277315, $4.4, $4.6, $4.3101
05/22/2020, $4.28, 228267, $4.42, $4.539, $4.23
05/21/2020, $4.39, 130824, $4.52, $4.59, $4.39
05/20/2020, $4.47, 167692, $4.54, $4.6, $4.4291
05/19/2020, $4.48, 165305, $4.68, $4.7, $4.48
05/18/2020, $4.59, 222012, $4.75, $4.9, $4.57
05/15/2020, $4.52, 181805, $4.46, $4.615, $4.45
05/14/2020, $4.41, 184706, $4.32, $4.45, $4.21
05/13/2020, $4.38, 398637, $4.68, $4.73, $4.22
05/12/2020, $4.68, 268174, $4.98, $5.0899, $4.67
05/11/2020, $4.94, 312766, $4.88, $5.08, $4.88
