Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.27, 250608, $4.3, $4.64, $4.17
07/30/2020, $4.04, 46407, $4.08, $4.12, $4
07/29/2020, $4.11, 65441, $4.12, $4.15, $4
07/28/2020, $4.12, 44822, $4.11, $4.165, $4.1
07/27/2020, $4.15, 68539, $4.18, $4.185, $4.08
07/24/2020, $4.215, 36087, $4.21, $4.275, $4.16
07/23/2020, $4.25, 38883, $4.34, $4.34, $4.2
07/22/2020, $4.36, 41408, $4.16, $4.38, $4.16
07/21/2020, $4.19, 65200, $4.16, $4.28, $4.12
07/20/2020, $4.16, 23984, $4.11, $4.35, $4.1
07/17/2020, $4.16, 41546, $4.155, $4.35, $4.155
07/16/2020, $4.18, 76563, $4.25, $4.325, $4.02
07/15/2020, $4.25, 41682, $4.19, $4.39, $4.19
07/14/2020, $4.175, 44290, $4.25, $4.45, $4.11
07/13/2020, $4.27, 54141, $4.38, $4.43, $4.25
07/10/2020, $4.39, 43284, $4.38, $4.43, $4.36
07/09/2020, $4.36, 50449, $4.62, $4.62, $4.31
07/08/2020, $4.65, 25450, $4.69, $4.7, $4.6
07/07/2020, $4.7, 47729, $4.62, $4.72, $4.5176
07/06/2020, $4.63, 41928, $4.59, $4.72, $4.54
07/02/2020, $4.53, 57729, $4.54, $4.63, $4.51
07/01/2020, $4.51, 71512, $4.52, $4.55, $4.45
06/30/2020, $4.52, 79002, $4.55, $4.55, $4.4329
06/29/2020, $4.51, 51752, $4.57, $4.57, $4.38
06/26/2020, $4.54, 45992, $4.53, $4.593, $4.4
06/25/2020, $4.565, 61705, $4.55, $4.79, $4.4002
06/24/2020, $4.52, 232461, $4.82, $4.95, $4.38
06/23/2020, $4.88, 85086, $5.04, $5.04, $4.84
06/22/2020, $5.06, 144472, $5.04, $5.07, $4.8801
06/19/2020, $5.19, 193258, $5.35, $5.35, $5.07
06/18/2020, $5.06, 124575, $5.06, $5.282, $5.03
06/17/2020, $5.15, 120667, $5.25, $5.33, $5.12
06/16/2020, $5.16, 94195, $5.51, $5.55, $5.05
06/15/2020, $5.15, 41469, $5.02, $5.21, $4.9513
06/12/2020, $5.16, 61135, $5.17, $5.5, $4.97
06/11/2020, $5.01, 125144, $5, $5.115, $4.68
06/10/2020, $5.25, 85304, $5.7, $5.7, $5.19
06/09/2020, $5.65, 109938, $5.99, $5.99, $5.56
06/08/2020, $5.7, 169597, $5.54, $5.78, $5.33
06/05/2020, $5.26, 153937, $5.15, $5.55, $5.15
06/04/2020, $5.01, 76127, $4.63, $5.1199, $4.63
06/03/2020, $4.65, 97323, $4.71, $4.83, $4.6
06/02/2020, $4.66, 73779, $4.88, $4.95, $4.57
06/01/2020, $4.84, 63452, $4.95, $5.15, $4.81
05/29/2020, $4.99, 109274, $4.97, $5.1655, $4.895
05/28/2020, $4.99, 72912, $4.91, $5.2803, $4.91
05/27/2020, $4.9, 151381, $5.01, $5.415, $4.88
05/26/2020, $4.89, 160925, $4.65, $5.035, $4.649
05/22/2020, $4.56, 66910, $4.48, $4.69, $4.3901
05/21/2020, $4.47, 61793, $4.5, $4.7, $4.46
05/20/2020, $4.48, 76939, $4.32, $4.49, $4.2501
05/19/2020, $4.25, 58981, $4.2, $4.48, $4.16
05/18/2020, $4.2, 52365, $4.17, $4.39, $4.1
05/15/2020, $4.09, 43374, $4.2, $4.39, $4.01
05/14/2020, $4.26, 90386, $4.08, $4.48, $3.85
05/13/2020, $4.15, 99104, $4.49, $4.55, $4.1008
05/12/2020, $4.52, 116884, $4.62, $4.74, $4.485
05/11/2020, $4.61, 153657, $4.76, $5.051, $4.51
