Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.2, 459456, $4.37, $4.44, $4.1
07/30/2020, $4.36, 470061, $4.64, $4.68, $4.29
07/29/2020, $4.7, 1406905, $3.83, $4.8899, $3.3
07/28/2020, $3.83, 852937, $3.32, $3.95, $3.13
07/27/2020, $3.3, 609186, $3.35, $3.44, $2.99
07/24/2020, $3.19, 126389, $3.22, $3.26, $3.04
07/23/2020, $3.25, 201210, $3.48, $3.59, $3.23
07/22/2020, $3.48, 324248, $3.32, $3.55, $3.218
07/21/2020, $3.33, 560437, $3.72, $3.85, $3.2
07/20/2020, $3.57, 703387, $3.41, $3.85, $3.1
07/17/2020, $3.36, 394488, $2.98, $3.38, $2.9092
07/16/2020, $2.89, 227970, $3.26, $3.2767, $2.73
07/15/2020, $3.05, 760593, $3.27, $3.6, $2.69
07/14/2020, $3.23, 1153925, $2.63, $3.48, $2.28
07/13/2020, $2.78, 2908715, $2.09, $2.85, $2.04
07/10/2020, $1.95, 60524, $1.98, $1.99, $1.91
07/09/2020, $1.96, 57709, $1.99, $1.995, $1.89
07/08/2020, $1.97, 52267, $1.97, $2.01, $1.94
07/07/2020, $1.98, 67904, $1.95, $2.03, $1.9
07/06/2020, $1.97, 221142, $1.94, $2.02, $1.84
07/02/2020, $1.97, 141909, $1.99, $1.99, $1.89
07/01/2020, $2, 179698, $2.03, $2.07, $1.95
06/30/2020, $2.05, 340789, $2.07, $2.2, $1.97
06/29/2020, $2.07, 249664, $1.97, $2.2, $1.9204
06/26/2020, $2.01, 147766, $1.99, $2.02, $1.91
06/25/2020, $1.98, 76390, $2.01, $2.0799, $1.96
06/24/2020, $2.02, 79237, $2, $2.06, $1.91
06/23/2020, $1.97, 101639, $2.04, $2.055, $1.935
06/22/2020, $2.07, 191883, $2.11, $2.12, $1.9
06/19/2020, $2.14, 99615, $2.21, $2.23, $2.09
06/18/2020, $2.24, 337378, $2.2, $2.39, $2.1
06/17/2020, $2.17, 214610, $2.12, $2.27, $2.05
06/16/2020, $2.14, 68385, $2.11, $2.16, $2.08
06/15/2020, $2.07, 103039, $1.98, $2.11, $1.98
06/12/2020, $2.08, 175168, $1.99, $2.13, $1.9775
06/11/2020, $1.95, 486795, $2.18, $2.2, $1.91
06/10/2020, $2.27, 300967, $2.18, $2.34, $2.1
06/09/2020, $2.37, 675724, $2.4, $2.64, $2.2417
06/08/2020, $2.22, 141059, $2.15, $2.27, $2.09
06/05/2020, $2.19, 499907, $2.24, $2.3099, $1.99
06/04/2020, $2.25, 105164, $2.35, $2.3584, $2.2
06/03/2020, $2.33, 109215, $2.4, $2.43, $2.2801
06/02/2020, $2.39, 110344, $2.28, $2.4, $2.2
06/01/2020, $2.22, 275780, $2.21, $2.285, $2.1
05/29/2020, $2.23, 149120, $2.36, $2.4295, $2.2
05/28/2020, $2.36, 86184, $2.32, $2.45, $2.28
05/27/2020, $2.34, 283341, $2.61, $2.6595, $2.14
05/26/2020, $2.49, 263433, $2.39, $2.57, $2.3601
05/22/2020, $2.39, 144498, $2.4, $2.46, $2.35
05/21/2020, $2.43, 331213, $2.25, $2.53, $2.24
05/20/2020, $2.2, 250277, $2.18, $2.23, $2.05
05/19/2020, $2.31, 2343169, $2.13, $2.45, $2.03
05/18/2020, $1.95, 466602, $1.87, $2.03, $1.78
05/15/2020, $1.855, 164433, $1.91, $1.9998, $1.795
05/14/2020, $1.92, 395831, $1.93, $2.057, $1.82
05/13/2020, $2.03, 1188821, $1.81, $2.22, $1.7
05/12/2020, $1.68, 283378, $1.6, $1.83, $1.51
05/11/2020, $1.61, 297910, $1.69, $1.71, $1.61
