Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.85, 128750, $2.81, $3.04, $2.65
07/30/2020, $2.87, 130308, $3.12, $3.12, $2.83
07/29/2020, $3.28, 284027, $3.26, $3.35, $3.0501
07/28/2020, $3.1, 186268, $3.12, $3.2, $3
07/27/2020, $3.04, 175731, $3.05, $3.09, $2.89
07/24/2020, $2.9, 536095, $2.71, $2.99, $2.61
07/23/2020, $2.35, 34636, $2.5, $2.5, $2.35
07/22/2020, $2.44, 19723, $2.57, $2.58, $2.44
07/21/2020, $2.54, 52555, $2.58, $2.64, $2.4277
07/20/2020, $2.49, 72048, $2.24, $2.56, $2.24
07/17/2020, $2.41, 28116, $2.39, $2.56, $2.2901
07/16/2020, $2.35, 5971, $2.31, $2.3798, $2.252
07/15/2020, $2.29, 18958, $2.3, $2.37, $2.241
07/14/2020, $2.32, 36218, $2.4, $2.4, $2.1146
07/13/2020, $2.39, 81644, $2.28, $2.57, $2.21
07/10/2020, $2.23, 158464, $2.4506, $2.4506, $2.16
07/09/2020, $2.48, 28182, $2.6444, $2.6444, $2.45
07/08/2020, $2.59, 30656, $2.75, $2.75, $2.5
07/07/2020, $2.59, 19598, $2.78, $2.78, $2.553
07/06/2020, $2.58, 46183, $2.73, $2.73, $2.58
07/02/2020, $2.75, 17911, $2.7, $2.8, $2.7
07/01/2020, $2.7, 78442, $2.8, $2.99, $2.66
06/30/2020, $2.84, 125218, $3.1, $3.21, $2.7601
06/29/2020, $2.98, 46230, $3.2, $3.2, $2.9
06/26/2020, $3.19, 53749, $2.875, $3.24, $2.8
06/25/2020, $2.96, 27709, $2.99, $3.09, $2.8
06/24/2020, $2.9, 44679, $2.985, $3, $2.7471
06/23/2020, $2.92, 112509, $2.95, $3.08, $2.89
06/22/2020, $3, 610967, $3.03, $3.83, $2.9
06/19/2020, $2.98, 22388, $3.14, $3.14, $2.98
06/18/2020, $3.06, 12402, $2.91, $3.15, $2.91
06/17/2020, $2.98, 12514, $3.13, $3.13, $2.98
06/16/2020, $2.97, 23048, $3.04, $3.12, $2.93
06/15/2020, $2.85, 7284, $2.93, $2.95, $2.7
06/12/2020, $2.93, 55614, $3.06, $3.06, $2.9
06/11/2020, $2.94, 28585, $2.9, $2.99, $2.81
06/10/2020, $2.86, 10247, $2.96, $3.03, $2.85
06/09/2020, $3.01, 9652, $3.08, $3.08, $2.875
06/08/2020, $2.96, 23989, $3.02, $3.1, $2.9
06/05/2020, $2.99, 49415, $3.1639, $3.1639, $2.8706
06/04/2020, $2.9, 31441, $2.89, $3.28, $2.88
06/03/2020, $2.88, 62504, $3.24, $3.31, $2.8501
06/02/2020, $3.23, 139133, $3.1, $3.64, $3.05
06/01/2020, $3.09, 34952, $3.15, $3.41, $3
05/29/2020, $3.06, 51936, $3.3, $3.3, $3.06
05/28/2020, $3.06, 27979, $3.14, $3.3, $3.03
05/27/2020, $3.1927, 54909, $3.3, $3.3165, $3.1829
05/26/2020, $3.2, 111277, $3.33, $3.5327, $3.025
05/22/2020, $3.04, 23980, $3.04, $3.04, $2.87
05/21/2020, $2.98, 22751, $3, $3.05, $2.91
05/20/2020, $3.05, 138685, $2.8, $3.59, $2.75
05/19/2020, $3.11, 145541, $2.599, $3.48, $2.56
05/18/2020, $2.525, 17031, $2.54, $2.63, $2.4438
05/15/2020, $2.5109, 770, $2.555, $2.58, $2.5109
05/14/2020, $2.535, 6087, $2.47, $2.56, $2.47
05/13/2020, $2.56, 2413, $2.46, $2.56, $2.46
05/12/2020, $2.55, 7782, $2.48, $2.68, $2.48
05/11/2020, $2.5, 13107, $2.63, $2.68, $2.43
