Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.1738, 346512, $0.15, $0.21, $0.12
07/30/2020, $0.128, 135079, $0.1003, $0.1473, $0.1
07/29/2020, $0.16, 271727, $0.1769, $0.1769, $0.0901
07/28/2020, $0.13, 45440, $0.1687, $0.1687, $0.13
07/27/2020, $0.1289, 297152, $0.1099, $0.13, $0.08
07/24/2020, $0.091, 34745, $0.0982, $0.1098, $0.091
07/23/2020, $0.0982, 64353, $0.1099, $0.1099, $0.09
07/22/2020, $0.1099, 142553, $0.13, $0.15, $0.089
07/21/2020, $0.1175, 397603, $0.1, $0.13, $0.079
07/20/2020, $0.0781, 155902, $0.1, $0.116, $0.06
07/17/2020, $0.1, 139325, $0.08, $0.1, $0.0624
07/16/2020, $0.075, 88880, $0.0791, $0.1085, $0.075
07/15/2020, $0.072, 9125, $0.0604, $0.0835, $0.0602
07/14/2020, $0.0785, 91500, $0.085, $0.085, $0.06
07/13/2020, $0.0774, 1248, $0.0701, $0.0774, $0.07
07/10/2020, $0.0701, 26666, $0.0849, $0.0849, $0.0701
07/09/2020, $0.08, 1931, $0.0809, $0.0809, $0.08
07/08/2020, $0.0702, 9097, $0.0799, $0.096, $0.07
07/07/2020, $0.0703, 17545, $0.0849, $0.085, $0.0703
07/06/2020, $0.0701, 13486, $0.085, $0.1, $0.06
07/02/2020, $0.0849, 17049, $0.088, $0.0885, $0.06
07/01/2020, $0.0873, 34045, $0.0799, $0.0885, $0.0725
06/30/2020, $0.0725, 10723, $0.085, $0.085, $0.0725
06/29/2020, $0.0749, 90926, $0.07, $0.088, $0.06
06/26/2020, $0.074, 10400, $0.08, $0.0801, $0.074
06/25/2020, $0.078, 33420, $0.0841, $0.0841, $0.078
06/24/2020, $0.0711, 19950, $0.0879, $0.0879, $0.0711
06/23/2020, $0.0803, 12787, $0.088, $0.088, $0.0801
06/22/2020, $0.08, 36391, $0.1, $0.1, $0.08
06/19/2020, $0.089, 71578, $0.087, $0.0946, $0.0789
06/18/2020, $0.105, 70175, $0.092, $0.105, $0.092
06/17/2020, $0.094, 24220, $0.09, $0.097, $0.08
06/16/2020, $0.09, 81008, $0.0934, $0.116, $0.0751
06/15/2020, $0.095, 33523, $0.075, $0.095, $0.0701
06/12/2020, $0.0819, 73903, $0.12, $0.12, $0.07
06/11/2020, $0.11, 106297, $0.098, $0.14, $0.0883
06/10/2020, $0.0925, 2900, $0.09, $0.0979, $0.09
06/09/2020, $0.09, 782, $0.104, $0.104, $0.09
06/08/2020, $0.0967, 4876, $0.09, $0.0967, $0.075
06/05/2020, $0.09, 13095, $0.0963, $0.098, $0.0742
06/04/2020, $0.0731, 21174, $0.09, $0.09, $0.0731
06/03/2020, $0.095, 10460, $0.12, $0.12, $0.08
06/02/2020, $0.12, 67605, $0.1, $0.125, $0.0785
06/01/2020, $0.11, 4747, $0.1017, $0.1135, $0.1017
05/29/2020, $0.0841, 16483, $0.1153, $0.1153, $0.08
05/28/2020, $0.081, 14107, $0.0787, $0.124, $0.0782
05/27/2020, $0.1199, 67770, $0.1, $0.125, $0.0749
05/26/2020, $0.1101, 94195, $0.149, $0.149, $0.1101
05/22/2020, $0.11, 55480, $0.11, $0.1101, $0.1039
05/21/2020, $0.0639, 5002, $0.07, $0.07, $0.0639
05/20/2020, $0.071, 503, $0.071, $0.0714, $0.071
05/19/2020, $0.0704, 5051, $0.11, $0.11, $0.07
05/18/2020, $0.1, 841, $0.11, $0.11, $0.1
05/15/2020, $0.07, 7800, $0.073, $0.08, $0.06
05/14/2020, $0.08, 1046, $0.085, $0.0864, $0.08
05/13/2020, $0.1094, 1600, $0.11, $0.11, $0.1094
05/12/2020, $0.11, 11677, $0.09, $0.115, $0.09
05/11/2020, $0.08, 40485, $0.0671, $0.083, $0.0671
