Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.825, 440207, $0.825, $0.84, $0.807
07/30/2020, $0.85, 2691345, $0.739, $0.93, $0.73
07/29/2020, $0.77, 742027, $0.779, $0.7899, $0.731
07/28/2020, $0.7755, 527077, $0.78, $0.7848, $0.7601
07/27/2020, $0.79, 816232, $0.82, $0.82, $0.7601
07/24/2020, $0.8078, 1694662, $0.83, $0.8691, $0.766
07/23/2020, $0.852, 11932950, $0.77, $1.01, $0.7542
07/22/2020, $0.742, 1617161, $0.7, $0.752, $0.69
07/21/2020, $0.6823, 498482, $0.69, $0.69, $0.6707
07/20/2020, $0.6786, 418696, $0.6841, $0.695, $0.6707
07/17/2020, $0.6841, 405198, $0.699, $0.699, $0.6801
07/16/2020, $0.69, 420587, $0.685, $0.7, $0.675
07/15/2020, $0.6751, 455214, $0.7, $0.7, $0.67
07/14/2020, $0.666, 471665, $0.7, $0.7, $0.651
07/13/2020, $0.69, 856711, $0.7947, $0.7947, $0.69
07/10/2020, $0.696, 297751, $0.69, $0.71, $0.69
07/09/2020, $0.692, 362077, $0.71, $0.7298, $0.6905
07/08/2020, $0.7053, 1565525, $0.7403, $0.77, $0.695
07/07/2020, $0.6945, 480161, $0.72, $0.72, $0.685
07/06/2020, $0.72, 972045, $0.71, $0.749, $0.684
07/02/2020, $0.701, 887498, $0.73, $0.75, $0.69
07/01/2020, $0.75, 1650503, $0.7098, $0.77, $0.68
06/30/2020, $0.7048, 879922, $0.7401, $0.76, $0.69
06/29/2020, $0.738, 1933946, $0.7213, $0.78, $0.686
06/26/2020, $0.8099, 13402200, $1.05, $1.12, $0.722
06/25/2020, $0.698, 392905, $0.7, $0.7, $0.666
06/24/2020, $0.72, 1051282, $0.73, $0.73, $0.65
06/23/2020, $0.75, 660520, $0.7614, $0.78, $0.72
06/22/2020, $0.7769, 577831, $0.8, $0.804, $0.742
06/19/2020, $0.7955, 830749, $0.7802, $0.8199, $0.732
06/18/2020, $0.77, 1533465, $0.823, $0.829, $0.72
06/17/2020, $0.816, 6348127, $0.78, $0.95, $0.701
06/16/2020, $0.78, 21754100, $0.548, $0.9599, $0.511
06/15/2020, $0.52, 887783, $0.48, $0.54, $0.462
06/12/2020, $0.5066, 649420, $0.504, $0.528, $0.48
06/11/2020, $0.478, 1203539, $0.486, $0.5355, $0.4686
06/10/2020, $0.55, 1037999, $0.59, $0.605, $0.5132
06/09/2020, $0.58, 2635436, $0.7, $0.7, $0.56
06/08/2020, $0.65, 7188262, $0.54, $0.685, $0.54
06/05/2020, $0.484, 10102160, $0.47, $0.645, $0.454
06/04/2020, $0.4553, 1622526, $0.4399, $0.4789, $0.422
06/03/2020, $0.435, 1054223, $0.44, $0.46, $0.412
06/02/2020, $0.4112, 650486, $0.4237, $0.4447, $0.405
06/01/2020, $0.4237, 835610, $0.41, $0.438, $0.4024
05/29/2020, $0.4192, 710195, $0.43, $0.435, $0.405
05/28/2020, $0.42, 504954, $0.4219, $0.4367, $0.4085
05/27/2020, $0.4281, 516934, $0.48, $0.48, $0.412
05/26/2020, $0.4598, 2367574, $0.42, $0.478, $0.4028
05/22/2020, $0.4086, 209810, $0.4095, $0.41, $0.396
05/21/2020, $0.4, 496808, $0.4243, $0.425, $0.3806
05/20/2020, $0.42, 297574, $0.4197, $0.4248, $0.405
05/19/2020, $0.4152, 357968, $0.4287, $0.4295, $0.4
05/18/2020, $0.4295, 622952, $0.4357, $0.44, $0.414
05/15/2020, $0.415, 1295571, $0.39, $0.4478, $0.3808
05/14/2020, $0.3826, 313486, $0.4049, $0.4049, $0.36
05/13/2020, $0.4068, 548601, $0.4231, $0.4231, $0.39
05/12/2020, $0.415, 307590, $0.43, $0.43, $0.4
05/11/2020, $0.4366, 773549, $0.41, $0.4448, $0.4
