Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.68, 57175, $3.76, $3.88, $3.5937
07/30/2020, $3.76, 47363, $3.74, $3.84, $3.71
07/29/2020, $3.8, 33324, $3.79, $3.82, $3.72
07/28/2020, $3.78, 25746, $3.71, $3.95, $3.67
07/27/2020, $3.86, 80105, $3.77, $3.94, $3.7201
07/24/2020, $3.76, 58535, $3.99, $3.99, $3.75
07/23/2020, $3.91, 77243, $3.97, $4.05, $3.87
07/22/2020, $3.98, 86506, $3.98, $4.0198, $3.85
07/21/2020, $3.99, 225172, $3.98, $4.1, $3.9001
07/20/2020, $3.98, 95054, $3.98, $4.01, $3.866
07/17/2020, $3.99, 223372, $3.82, $4.087, $3.7701
07/16/2020, $3.835, 205926, $3.78, $3.88, $3.75
07/15/2020, $3.84, 1318552, $3.87, $4.2, $3.5801
07/14/2020, $3.29, 80798, $3.33, $3.387, $3.23
07/13/2020, $3.34, 75152, $3.46, $3.55, $3.33
07/10/2020, $3.45, 64506, $3.32, $3.52, $3.3101
07/09/2020, $3.32, 102126, $3.55, $3.58, $3.3
07/08/2020, $3.54, 64798, $3.58, $3.63, $3.47
07/07/2020, $3.58, 57774, $3.63, $3.66, $3.51
07/06/2020, $3.64, 80021, $3.76, $3.86, $3.6
07/02/2020, $3.72, 91266, $3.79, $3.79, $3.635
07/01/2020, $3.75, 53585, $3.84, $3.85, $3.73
06/30/2020, $3.84, 92422, $3.8, $3.9499, $3.76
06/29/2020, $3.82, 159879, $3.84, $4.05, $3.73
06/26/2020, $3.84, 1036303, $3.83, $4, $3.77
06/25/2020, $3.83, 161582, $3.8, $4, $3.75
06/24/2020, $3.93, 137658, $3.79, $4, $3.65
06/23/2020, $3.84, 110779, $3.88, $4.007, $3.78
06/22/2020, $3.88, 93150, $3.89, $3.94, $3.69
06/19/2020, $3.87, 182253, $3.84, $4.01, $3.7
06/18/2020, $3.82, 158667, $3.92, $3.96, $3.76
06/17/2020, $3.95, 64415, $3.95, $4.04, $3.89
06/16/2020, $3.96, 154384, $4.01, $4.08, $3.91
06/15/2020, $3.99, 147317, $3.85, $4.05, $3.75
06/12/2020, $3.84, 141195, $3.99, $4.01, $3.7
06/11/2020, $3.66, 153186, $3.83, $3.87, $3.5
06/10/2020, $3.99, 216462, $3.96, $4.1, $3.93
06/09/2020, $3.95, 164423, $4.15, $4.3299, $3.9
06/08/2020, $4.22, 177158, $4.34, $4.45, $4.1
06/05/2020, $4.34, 266823, $4.11, $4.42, $4.01
06/04/2020, $4.1, 140663, $4.15, $4.3, $4
06/03/2020, $4.21, 267464, $4.18, $4.6141, $4.1203
06/02/2020, $4.18, 292569, $3.86, $4.36, $3.8501
06/01/2020, $3.94, 289989, $4.14, $4.14, $3.8
05/29/2020, $4.13, 730219, $4.79, $4.8, $3.71
05/28/2020, $4.61, 3149904, $3.76, $4.78, $3.63
05/27/2020, $3.46, 581955, $3.89, $4, $3.35
05/26/2020, $3.34, 287809, $3.5, $3.5499, $3.25
05/22/2020, $3.34, 79678, $3.54, $3.631, $3.29
05/21/2020, $3.38, 81612, $3.6, $3.64, $3.38
05/20/2020, $3.6, 84254, $3.22, $3.7, $3.22
05/19/2020, $3.2, 76499, $3.39, $3.4, $3.14
05/18/2020, $3.41, 78443, $3.21, $3.54, $3.21
05/15/2020, $3.11, 70257, $3.27, $3.3484, $3.01
05/14/2020, $3.18, 85855, $3.4, $3.549, $3.05
05/13/2020, $3.3, 72474, $3.48, $3.65, $3.24
05/12/2020, $3.45, 114615, $3.8, $4.09, $3.42
05/11/2020, $3.78, 81264, $3.95, $4.45, $3.78
